GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201010260BOS,MIA,0.471,0.419,0.27,0.338,24.4,77.8,48.1,55.6,11.3,11.3,16.7,90.4,99.5,80.0,BOS,0.55,0.522,0.232,0.362,22.2,75.6,51.9,78.1,6.8,7.4,18.4,99.5,90.4,88.0
201010260POR,PHO,0.568,0.547,0.257,0.216,18.9,56.1,38.5,41.7,3.3,5.5,19.0,102.7,118.3,92.0,POR,0.532,0.516,0.215,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,118.3,102.7,106.0
201010260LAL,HOU,0.532,0.462,0.22,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,107.2,109.1,110.0,LAL,0.517,0.464,0.219,0.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,109.1,107.2,112.0
201010270TOR,NYK,0.513,0.472,0.273,0.193,28.3,75.0,52.1,31.6,4.1,11.9,13.6,101.2,96.0,98.0,TOR,0.445,0.399,0.106,0.255,25.0,71.7,47.9,55.6,6.2,7.8,9.5,96.0,101.2,93.0
201010270PHI,MIA,0.5289999999999999,0.47750000000000004,0.251,0.3935,19.799999999999997,77.0,48.7,50.55,10.0,10.25,16.45,98.2,97.3,97.0,PHI,0.495,0.476,0.217,0.133,23.8,84.8,50.7,66.7,10.9,7.5,15.4,95.1,106.0,87.0
201010270NJN,DET,0.509,0.494,0.229,0.361,22.2,75.0,45.7,56.8,7.8,4.5,5.9,109.1,112.4,98.0,NJN,0.558,0.525,0.175,0.3,25.0,77.8,54.3,43.6,4.5,6.3,10.8,112.4,109.1,101.0
201010270CLE,BOS,0.5425,0.5075000000000001,0.1995,0.32699999999999996,19.65,77.8,51.3,74.35,7.699999999999999,4.5,18.7,96.45,96.2,87.0,CLE,0.526,0.481,0.247,0.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,102.0,93.4,95.0
201010270DEN,UTA,0.495,0.407,0.186,0.614,24.4,73.3,48.9,77.8,7.1,6.7,19.8,89.6,112.0,88.0,DEN,0.561,0.475,0.25,0.513,26.7,75.6,51.1,65.7,9.2,3.5,13.3,112.0,89.6,110.0
201010270GSW,HOU,0.5569999999999999,0.478,0.202,0.45299999999999996,33.7,67.85,50.5,62.15,7.4,6.050000000000001,11.899999999999999,117.94999999999999,120.89999999999999,128.0,GSW,0.638,0.598,0.217,0.283,36.8,67.4,53.6,49.0,5.0,9.9,10.4,132.7,128.7,132.0
201010270LAC,POR,0.5155000000000001,0.48550000000000004,0.221,0.21100000000000002,43.849999999999994,74.65,58.45,59.65,11.3,6.7,10.850000000000001,115.19999999999999,101.7,98.0,LAC,0.477,0.437,0.228,0.38,31.8,56.3,44.6,59.4,9.2,11.8,14.0,100.7,112.1,88.0
201010270SAS,IND,0.61,0.584,0.273,0.364,25.7,75.0,50.7,48.8,8.9,9.5,20.5,108.1,121.0,109.0,SAS,0.617,0.56,0.241,0.434,25.0,74.3,49.3,69.0,14.9,8.9,12.4,121.0,108.1,122.0
201010270OKC,CHI,0.463,0.441,0.151,0.237,30.0,80.0,53.7,52.5,6.1,10.0,12.0,96.1,107.2,95.0,OKC,0.537,0.436,0.231,0.603,20.0,70.0,46.3,53.1,11.1,12.7,10.8,107.2,96.1,106.0
201010270NOH,MIL,0.509,0.481,0.299,0.364,17.4,86.0,50.6,42.4,4.3,3.2,11.8,98.4,102.8,91.0,NOH,0.518,0.456,0.215,0.367,14.0,82.6,49.4,67.6,4.3,0.0,8.9,102.8,98.4,95.0
201010270MIN,SAC,0.554,0.482,0.129,0.553,28.6,73.8,49.5,64.1,7.8,5.5,11.0,114.4,113.5,117.0,MIN,0.561,0.516,0.198,0.308,26.2,71.4,50.5,51.2,4.9,10.8,11.2,113.5,114.4,116.0
201010270MEM,ATL,0.635,0.575,0.2,0.388,23.1,79.5,53.0,47.6,7.1,11.7,13.8,120.2,105.1,119.0,MEM,0.536,0.488,0.105,0.291,20.5,76.9,47.0,32.5,7.1,6.3,12.6,105.1,120.2,104.0
201010270DAL,CHA,0.515,0.432,0.178,0.329,19.0,80.0,46.8,75.9,8.7,5.0,19.3,93.2,109.5,86.0,DAL,0.609,0.573,0.2,0.24,20.0,81.0,53.2,70.7,13.0,8.3,16.2,109.5,93.2,101.0
201010280ORL,WAS,0.455,0.397,0.244,0.385,6.7,66.7,32.1,58.6,10.1,5.7,12.5,83.8,113.0,83.0,ORL,0.615,0.61,0.312,0.416,33.3,93.3,67.9,46.5,5.0,5.1,18.7,113.0,83.8,112.0
201010280UTA,PHO,0.5734999999999999,0.536,0.29100000000000004,0.3205,23.4,62.849999999999994,43.95,47.900000000000006,7.449999999999999,5.55,15.9,109.25,108.65,110.0,UTA,0.4925,0.4265,0.17049999999999998,0.4675,27.4,72.69999999999999,49.75,65.3,7.75,8.9,17.05,94.3,113.9,94.0
201010290PHI,ATL,0.6285000000000001,0.5660000000000001,0.2215,0.4155,26.25,77.25,54.55,57.150000000000006,5.199999999999999,11.25,16.55,116.45,107.3,104.0,PHI,0.501,0.4585,0.173,0.2605,24.4,77.69999999999999,47.3,67.65,10.350000000000001,9.4,11.4,102.3,109.35,101.0
201010290TOR,CLE,0.492,0.45799999999999996,0.2365,0.189,20.25,75.75,45.55,56.8,7.45,4.95,15.55,93.8,100.05000000000001,81.0,TOR,0.5035000000000001,0.4555,0.175,0.2375,28.2,75.6,53.05,58.55,8.9,7.75,13.45,101.35,93.4,101.0
201010290BOS,NYK,0.517,0.48,0.2955,0.2555,23.35,71.2,46.7,48.25,6.1499999999999995,11.95,11.5,102.35,101.8,101.0,BOS,0.5386666666666667,0.5086666666666667,0.19166666666666665,0.284,23.96666666666667,79.06666666666666,53.76666666666667,74.56666666666666,5.8,3.5666666666666664,17.366666666666664,100.16666666666667,98.63333333333333,105.0
201010290NJN,SAC,0.5165,0.46399999999999997,0.172,0.41650000000000004,24.700000000000003,77.3,45.7,58.949999999999996,7.35,5.75,10.65,106.6,109.1,100.0,NJN,0.607,0.5495,0.1775,0.519,22.1,78.5,56.2,49.95,3.25,5.9,17.55,108.55000000000001,103.94999999999999,106.0
