GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201211030BRK,TOR,0.49050000000000005,0.445,0.20350000000000001,0.257,26.3,75.0,47.55,58.35,10.7,9.75,11.1,99.44999999999999,104.1,100.0,BRK,0.55,0.494,0.185,0.457,25.0,76.2,52.6,54.1,6.1,7.8,14.9,109.4,102.3,107.0
201211030IND,SAC,0.4453333333333333,0.40599999999999997,0.19933333333333333,0.18866666666666668,24.933333333333334,64.1,44.166666666666664,48.56666666666667,10.733333333333334,9.9,13.4,90.2,99.16666666666667,98.0,IND,0.492,0.4533333333333333,0.2253333333333333,0.26766666666666666,32.166666666666664,74.86666666666667,55.666666666666664,52.699999999999996,6.033333333333334,12.866666666666667,16.2,97.89999999999999,95.03333333333335,106.0
201211030MIA,DEN,0.4756666666666667,0.4543333333333333,0.24533333333333332,0.219,34.86666666666667,75.63333333333334,54.166666666666664,50.96666666666667,6.8,6.833333333333333,13.833333333333334,100.16666666666667,109.16666666666667,116.0,MIA,0.6063333333333334,0.5623333333333332,0.262,0.30433333333333334,17.4,70.66666666666666,45.76666666666667,57.699999999999996,7.5,9.766666666666667,12.399999999999999,116.0,117.86666666666667,119.0
201211030WAS,BOS,0.5459999999999999,0.5053333333333333,0.204,0.27066666666666667,15.433333333333332,80.33333333333333,46.76666666666667,64.96666666666665,7.5,5.333333333333333,13.866666666666667,101.26666666666667,108.63333333333333,89.0,WAS,0.46399999999999997,0.437,0.306,0.22,26.349999999999998,70.25,49.349999999999994,70.05,10.1,11.6,12.850000000000001,95.0,102.35,86.0
201211030CHI,NOH,0.5183333333333334,0.4703333333333333,0.20866666666666667,0.256,25.7,70.83333333333333,50.199999999999996,59.03333333333333,7.866666666666667,9.9,13.5,101.5,99.53333333333335,89.0,CHI,0.537,0.48133333333333334,0.15066666666666667,0.379,27.03333333333333,75.10000000000001,52.366666666666674,71.10000000000001,9.366666666666667,10.733333333333334,14.666666666666666,103.90000000000002,94.10000000000001,82.0
201211030HOU,POR,0.5176666666666666,0.48100000000000004,0.26366666666666666,0.24533333333333332,22.333333333333332,70.16666666666667,45.666666666666664,56.70000000000001,8.533333333333333,6.900000000000001,11.700000000000001,104.46666666666665,102.60000000000001,95.0,HOU,0.5093333333333333,0.46799999999999997,0.31533333333333335,0.26699999999999996,34.300000000000004,80.0,56.23333333333334,61.86666666666667,10.866666666666665,4.6000000000000005,16.7,101.86666666666667,99.56666666666666,85.0
201211030SAS,UTA,0.5263333333333333,0.486,0.21833333333333335,0.2996666666666667,33.0,76.8,53.6,54.06666666666666,10.066666666666668,11.066666666666668,13.5,107.46666666666665,105.56666666666668,100.0,SAS,0.565,0.5343333333333333,0.22233333333333336,0.2796666666666667,20.099999999999998,75.39999999999999,48.53333333333333,68.0,9.4,9.6,14.933333333333332,106.53333333333335,100.76666666666667,110.0
201211030LAC,GSW,0.5176666666666666,0.47933333333333333,0.21266666666666667,0.31466666666666665,31.53333333333333,77.16666666666667,53.133333333333326,56.53333333333334,7.3999999999999995,5.666666666666667,14.766666666666667,103.66666666666667,105.13333333333333,114.0,LAC,0.574,0.5156666666666667,0.255,0.48533333333333334,21.099999999999998,68.83333333333333,45.666666666666664,66.33333333333333,10.466666666666667,9.200000000000001,15.066666666666668,109.83333333333333,104.56666666666668,110.0
201211030DAL,CHA,0.479,0.4255,0.20550000000000002,0.273,25.4,71.55000000000001,45.5,53.400000000000006,12.05,9.700000000000001,9.25,99.4,112.80000000000001,99.0,DAL,0.5823333333333333,0.5513333333333333,0.24933333333333332,0.2353333333333333,21.53333333333333,66.3,46.4,60.26666666666667,8.033333333333333,8.0,15.033333333333331,110.86666666666667,104.93333333333334,126.0
201211040TOR,MIN,0.5005000000000001,0.4395,0.2225,0.44899999999999995,30.25,70.1,51.6,57.6,6.6,12.649999999999999,16.65,97.95,102.1,86.0,TOR,0.5066666666666667,0.4633333333333334,0.21333333333333335,0.23433333333333337,29.666666666666668,74.73333333333333,49.03333333333333,53.9,10.5,8.6,10.766666666666666,105.39999999999999,101.39999999999999,105.0
201211040ORL,PHO,0.4726666666666666,0.4423333333333333,0.19733333333333333,0.20833333333333334,31.233333333333334,71.0,51.300000000000004,45.4,6.8,12.066666666666668,13.833333333333334,96.5,103.53333333333332,94.0,ORL,0.558,0.5275000000000001,0.147,0.208,29.25,68.0,50.5,57.45,8.05,7.6000000000000005,9.8,116.4,98.2,115.0
