DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,Efg%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/26/2014,201404260ATL,IND,240,0.547,0.539,0.299,0.182,20,79.5,51.2,59.5,8,20.8,10.7,100,104,100.6,ATL,240,0.481,0.423,0.369,0.202,20.5,80,48.8,73.3,9.1,7.4,11.6,100,100.6,104
4/26/2014,201404260MEM,OKC,265,0.466,0.411,0.311,0.222,39.2,67.9,54.2,42.4,8.4,14.9,17.5,100,96.3,93.2,MEM,265,0.427,0.404,0.213,0.245,32.1,60.8,45.8,54.3,13.6,6.5,11.1,100,93.2,96.3
4/26/2014,201404260DAL,SAS,240,0.61,0.58,0.222,0.21,28.6,72.2,50.7,59.1,15.2,6.8,13.7,100,117.3,118.3,DAL,240,0.603,0.567,0.28,0.232,27.8,71.4,49.3,59.5,4.3,9.5,15,100,118.3,117.3
4/27/2014,201404270BRK,TOR,240,0.511,0.453,0.307,0.307,21.4,77.3,50,48.4,10.6,6.3,10.5,100,102.4,92.9,BRK,240,0.489,0.441,0.294,0.426,22.7,78.6,50,60.7,7.1,5.8,16.5,100,92.9,102.4
4/27/2014,201404270WAS,CHI,240,0.521,0.474,0.244,0.218,35.1,67.4,52.5,62.9,2.4,6,15.8,100,105.4,116.1,WAS,240,0.505,0.453,0.221,0.291,32.6,64.9,47.5,62.9,9.5,8.5,5.8,100,116.1,105.4
4/27/2014,201404270GSW,LAC,240,0.554,0.494,0.403,0.312,20,80.6,48.5,60.6,5.3,4.8,17.8,100,102.3,124.5,GSW,240,0.684,0.655,0.432,0.378,19.4,80,51.5,78,8.4,10.9,14.8,100,124.5,102.3
4/27/2014,201404270POR,HOU,265,0.596,0.554,0.333,0.452,29.8,76.1,52.7,39,4.9,6.3,13.7,100,117.8,120.8,POR,265,0.59,0.555,0.308,0.33,23.9,70.2,47.3,55.6,9.8,14.3,9.5,100,120.8,117.8
4/28/2014,201404280CHA,MIA,240,0.6,0.558,0.308,0.372,14.3,82.4,47.8,64.1,7.7,4.5,8.1,100,119.6,107.6,CHA,240,0.596,0.558,0.362,0.435,17.6,85.7,52.2,62.9,4.4,11.1,16.3,100,107.6,119.6
4/28/2014,201404280IND,ATL,240,0.664,0.614,0.409,0.5,17.6,82.1,52.1,57.6,5.6,12.5,16.6,100,120.2,108.9,IND,240,0.564,0.551,0.385,0.231,17.9,82.4,47.9,66.7,12.4,17.9,12.3,100,108.9,120.2
4/28/2014,201404280DAL,SAS,240,0.519,0.481,0.213,0.275,25,70.4,50,44.4,4.5,3.3,13.5,100,104.1,99.6,DAL,240,0.462,0.423,0.286,0.333,29.6,75,50,56.3,9,4.8,8.5,100,99.6,104.1
4/29/2014,201404290CHI,WAS,240,0.455,0.419,0.122,0.257,28.9,76.6,53.3,53.3,11.2,18.6,12.7,100,93.6,86.1,CHI,240,0.418,0.373,0.213,0.227,23.4,71.1,46.7,76,5,12.3,11.8,100,86.1,93.6
4/29/2014,201404290OKC,MEM,265,0.508,0.466,0.218,0.299,28.9,66.1,49.5,56.8,11.8,4.9,8.4,100,106.8,105.8,OKC,265,0.493,0.457,0.337,0.207,33.9,71.1,50.5,66.7,2.1,4.4,14.5,100,105.8,106.8
4/29/2014,201404290LAC,GSW,240,0.552,0.529,0.306,0.224,31,70.7,50.6,60,6.6,1.8,12.2,100,112.6,123.6,LAC,240,0.601,0.539,0.263,0.539,29.3,69,49.4,54.1,10.9,6.8,11.3,100,123.6,112.6
4/30/2014,201404300TOR,BRK,240,0.641,0.607,0.307,0.4,26.3,72.7,47.9,55,8.8,7.8,13.7,100,124.3,126.5,TOR,240,0.619,0.558,0.338,0.468,27.3,73.7,52.1,56.8,6.6,3.8,10.6,100,126.5,124.3
4/30/2014,201404300HOU,POR,240,0.526,0.488,0.301,0.277,20.9,64.1,41.5,38.9,8.7,21.2,9.7,100,106.8,117.8,HOU,240,0.546,0.516,0.275,0.198,35.9,79.1,58.5,53.5,7.6,13.8,10.8,100,117.8,106.8
4/30/2014,201404300SAS,DAL,240,0.539,0.506,0.315,0.169,20.5,76,50,46.2,2.2,11.1,7.7,100,112.1,118.6,SAS,240,0.546,0.511,0.182,0.307,24,79.5,50,58.5,6.5,8.2,4.8,100,118.6,112.1
