GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
200910270CLE,BOS,0.569,0.507,0.264,0.361,18.8,84.2,54.3,62.5,10.2,15.1,14.4,107.2,100.4,CLE,0.529,0.457,0.243,0.457,15.8,81.3,45.7,58.6,7.9,17.0,13.4,100.4,107.2
200910270POR,HOU,0.464,0.401,0.222,0.358,20.4,65.7,39.3,60.0,12.4,3.6,14.6,90.1,99.4,POR,0.554,0.494,0.273,0.286,34.3,79.6,60.7,69.7,9.3,19.0,23.1,99.4,90.1
200910270LAL,LAC,0.489,0.466,0.172,0.184,33.3,67.9,52.0,69.2,10.3,5.9,17.5,94.4,101.6,LAL,0.489,0.435,0.2,0.435,32.1,66.7,48.0,48.6,13.3,5.6,13.6,101.6,94.4
200910270DAL,WAS,0.539,0.488,0.155,0.286,22.5,77.1,52.3,48.7,6.7,6.9,8.7,113.9,101.6,DAL,0.5,0.421,0.237,0.447,22.9,77.5,47.7,53.3,6.7,12.7,9.0,101.6,113.9
200910280TOR,CLE,0.49350000000000005,0.4305,0.254,0.4515,19.950000000000003,82.5,48.1,62.05,6.0,10.2,12.9,97.2,105.80000000000001,TOR,0.553,0.487,0.213,0.493,16.3,75.9,49.5,67.6,4.1,9.8,12.5,104.4,94.0
200910280ORL,PHI,0.581,0.545,0.231,0.385,21.6,76.5,47.9,48.7,9.6,11.5,12.5,112.9,127.9,ORL,0.678,0.654,0.358,0.21,23.5,78.4,52.1,62.2,5.3,10.0,14.5,127.9,112.9
200910280BOS,CHA,0.347,0.311,0.135,0.338,29.2,76.2,51.1,43.5,7.0,8.5,17.5,69.1,107.8,BOS,0.5569999999999999,0.507,0.323,0.3055,21.3,77.5,51.599999999999994,73.65,10.95,13.8,13.45,107.5,84.75
200910280MIA,NYK,0.483,0.437,0.448,0.241,25.0,79.4,47.6,57.6,8.3,4.4,11.9,97.0,119.9,MIA,0.635,0.608,0.181,0.205,20.6,75.0,52.4,44.7,6.3,6.3,15.0,119.9,97.0
200910280ATL,IND,0.649,0.603,0.247,0.342,18.2,81.0,53.3,59.0,1.0,5.3,22.9,108.1,119.0,ATL,0.601,0.569,0.138,0.333,19.0,81.8,46.7,65.2,15.9,10.9,9.1,119.0,108.1
200910280GSW,HOU,0.517,0.468,0.262,0.2955,26.049999999999997,67.0,44.65,67.5,13.350000000000001,6.3,15.3,100.35,104.5,GSW,0.54,0.517,0.124,0.258,31.7,68.3,50.0,56.8,7.2,13.3,13.9,109.6,110.6
200910280LAC,PHO,0.593,0.556,0.188,0.338,26.3,78.8,50.7,46.3,6.4,7.8,13.2,115.4,113.3,LAC,0.5455,0.5315,0.17049999999999998,0.26749999999999996,27.25,70.80000000000001,50.65,66.0,9.9,8.350000000000001,15.95,103.85,108.5
200910280OKC,SAC,0.487,0.424,0.203,0.354,23.3,77.1,47.4,40.6,6.8,8.1,11.6,100.3,115.0,OKC,0.601,0.566,0.184,0.263,22.9,76.7,52.6,51.3,4.5,9.5,12.4,115.0,100.3
200910280MIN,NJN,0.496,0.42,0.099,0.358,30.4,67.9,51.0,58.8,4.1,11.6,19.0,94.9,96.9,MIN,0.438,0.371,0.075,0.376,32.1,69.6,49.0,41.2,15.3,2.7,8.4,96.9,94.9
200910280SAS,NOH,0.547,0.532,0.128,0.282,13.9,71.8,44.0,43.6,5.5,6.5,10.2,105.1,123.7,SAS,0.596,0.576,0.279,0.233,28.2,86.1,56.0,64.4,4.4,0.0,9.5,123.7,105.1
200910280MEM,DET,0.566,0.556,0.222,0.403,23.8,63.0,44.3,54.1,6.1,6.7,9.6,117.1,90.3,MEM,0.432,0.375,0.167,0.431,37.0,76.2,55.7,38.5,3.7,5.4,14.1,90.3,117.1
200910280DEN,UTA,0.56,0.494,0.123,0.358,26.3,67.4,48.1,70.3,3.1,5.3,13.8,108.7,118.0,DEN,0.558,0.511,0.146,0.337,32.6,73.7,51.9,51.2,5.2,8.5,11.3,118.0,108.7
200910290CHI,SAS,0.5389999999999999,0.5125,0.274,0.264,23.0,78.35,50.9,54.95,4.95,3.7,11.2,108.95,103.55,CHI,0.478,0.435,0.19,0.333,29.4,82.2,54.2,57.1,5.5,15.8,8.5,102.0,94.2
200910290POR,DEN,0.5725,0.4975,0.16299999999999998,0.5700000000000001,23.450000000000003,71.30000000000001,48.45,45.25,6.1,6.65,10.05,115.95,109.55000000000001,POR,0.5145,0.4355,0.254,0.396,32.7,82.65,57.85,63.400000000000006,7.0,14.5,14.850000000000001,104.9,102.0
200910300BOS,CHI,0.4785,0.431,0.1865,0.331,31.349999999999998,74.45,50.2,56.5,6.1,10.9,11.15,101.2,112.94999999999999,BOS,0.604,0.5586666666666668,0.3233333333333333,0.3116666666666667,25.3,73.89999999999999,52.333333333333336,74.66666666666667,9.9,11.700000000000001,14.266666666666666,115.56666666666666,89.96666666666665
200910300PHI,MIL,0.461,0.441,0.271,0.224,23.5,84.2,49.4,50.0,7.1,3.8,17.6,87.8,101.1,PHI,0.582,0.5225,0.244,0.4355,18.700000000000003,76.5,49.25,52.5,10.899999999999999,11.4,15.4,107.0,107.85
200910300NJN,ORL,0.615,0.5935,0.319,0.2715,22.75,81.6,53.650000000000006,59.5,3.2,8.8,14.25,117.05000000000001,103.95,NJN,0.479,0.417,0.14200000000000002,0.3335,22.799999999999997,72.95,47.9,55.2,6.5,10.45,12.55,94.95,101.55000000000001
200910300IND,MIA,0.5865,0.525,0.14100000000000001,0.436,26.55,73.85,53.0,49.0,7.1,5.85,14.7,114.0,95.2,IND,0.554,0.4975,0.269,0.3355,22.75,74.25,49.849999999999994,57.1,2.75,9.9,18.15,100.75,113.55
200910300CHA,NYK,0.4775,0.4355,0.4075,0.2125,21.95,78.15,47.6,55.1,6.45,6.95,12.850000000000001,94.5,106.85,CHA,0.41,0.354,0.1655,0.36450000000000005,26.15,78.65,51.75,47.45,7.2,9.1,14.85,81.44999999999999,99.9
