GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
200810280BOS,CLE,0.515,0.449,0.221,0.485,23.5,76.7,53.2,55.2,8.6,3.3,20.3,91.5,96.9,85.0,BOS,0.506,0.466,0.189,0.459,23.3,76.5,46.8,48.5,10.8,0.0,15.2,96.9,91.5,90.0
200810280CHI,MIL,0.547,0.513,0.179,0.256,33.3,57.6,44.4,56.8,5.6,5.3,18.0,105.8,120.3,95.0,CHI,0.611,0.543,0.174,0.638,42.4,66.7,55.6,77.1,10.0,9.4,16.9,120.3,105.8,108.0
200810280LAL,POR,0.421,0.405,0.286,0.167,24.5,77.5,47.3,65.5,9.0,4.3,11.7,85.3,107.7,76.0,LAL,0.552,0.513,0.127,0.228,22.5,75.5,52.7,51.4,9.0,11.7,14.7,107.7,85.3,96.0
200810290PHI,TOR,0.537,0.506,0.198,0.21,23.3,50.0,37.1,66.7,9.5,7.8,9.2,112.8,99.8,95.0,PHI,0.436,0.375,0.238,0.333,50.0,76.7,62.9,51.7,3.6,12.3,15.0,99.8,112.8,84.0
200810290ORL,ATL,0.497,0.471,0.233,0.36,39.1,67.3,54.1,44.7,10.8,11.3,12.3,106.5,91.5,99.0,ORL,0.43,0.391,0.287,0.31,32.7,60.9,45.9,31.3,9.7,16.7,13.2,91.5,106.5,85.0
200810290DET,IND,0.589,0.522,0.179,0.433,15.6,70.2,48.1,54.5,7.4,10.3,20.8,99.4,105.8,94.0,DET,0.51,0.473,0.143,0.176,29.8,84.4,51.9,57.5,11.6,14.5,12.5,105.8,99.4,100.0
200810290WAS,NJN,0.553,0.513,0.244,0.231,15.2,71.1,47.4,59.5,7.8,15.0,9.5,105.7,94.6,95.0,WAS,0.451,0.401,0.259,0.37,28.9,84.8,52.6,60.0,4.4,8.5,13.7,94.6,105.7,85.0
200810290HOU,MEM,0.409,0.383,0.16,0.16,31.3,75.6,52.7,35.5,8.2,10.0,15.6,83.1,95.9,71.0,HOU,0.471,0.401,0.211,0.329,24.4,68.8,47.3,35.7,10.5,2.9,12.1,95.9,83.1,82.0
200810290NYK,MIA,0.54,0.489,0.25,0.359,28.9,70.8,50.5,52.4,7.7,3.2,11.6,111.4,116.2,115.0,NYK,0.581,0.534,0.287,0.425,29.2,71.1,49.5,64.3,6.8,0.0,12.7,116.2,111.4,120.0
200810290GSW,NOH,0.575,0.543,0.207,0.329,22.2,75.6,51.9,56.1,8.3,10.2,12.2,112.6,107.4,108.0,GSW,0.536,0.494,0.28,0.39,24.4,77.8,48.1,50.0,10.4,7.7,11.9,107.4,112.6,103.0
200810290UTA,DEN,0.526,0.494,0.169,0.364,17.1,70.0,43.2,47.2,12.9,4.2,12.7,100.8,105.1,94.0,UTA,0.537,0.481,0.101,0.354,30.0,82.9,56.8,45.9,5.4,7.8,14.9,105.1,100.8,98.0
200810290SAS,PHO,0.567,0.532,0.19,0.342,22.5,81.1,50.6,61.5,5.7,7.7,9.9,116.6,110.9,103.0,SAS,0.555,0.531,0.188,0.238,18.9,77.5,49.4,45.0,4.5,4.7,7.3,110.9,116.6,98.0
200810290OKC,MIL,0.5535000000000001,0.51,0.208,0.29900000000000004,36.099999999999994,63.3,49.75,52.7,6.699999999999999,5.65,17.95,107.6,108.69999999999999,98.0,OKC,0.502,0.445,0.082,0.425,31.0,61.1,44.9,50.0,10.0,5.2,18.0,97.1,109.4,87.0
200810290MIN,SAC,0.527,0.481,0.213,0.313,23.7,76.6,52.9,61.1,2.1,10.5,14.2,101.4,103.5,96.0,MIN,0.507,0.5,0.126,0.253,23.4,76.3,47.1,59.5,10.6,11.1,10.2,103.5,101.4,98.0
200810290LAC,LAL,0.5855,0.544,0.1825,0.3205,30.7,77.1,57.05,59.849999999999994,8.25,8.55,14.6,116.35,84.85,117.0,LAC,0.448,0.417,0.282,0.295,21.3,61.1,38.6,80.0,9.6,8.2,17.0,84.4,125.0,79.0
200810300CLE,CHA,0.451,0.358,0.162,0.419,29.8,60.6,42.5,64.0,7.2,8.0,12.9,94.7,115.1,79.0,CLE,0.5405,0.492,0.2635,0.444,31.45,73.45,55.35,60.45,8.5,10.5,17.65,103.3,95.80000000000001,96.0
200810300DAL,HOU,0.5365,0.463,0.194,0.367,22.75,73.75,50.099999999999994,48.1,7.9,3.6500000000000004,10.899999999999999,107.85,96.1,112.0,DAL,0.515,0.44,0.19,0.405,21.3,78.9,47.1,65.7,7.5,7.7,7.5,109.1,119.8,102.0
200810300PHO,NOH,0.5865,0.5505,0.2575,0.344,23.299999999999997,76.15,49.2,49.650000000000006,9.65,10.1,11.1,115.9,106.15,108.0,PHO,0.591,0.5640000000000001,0.2275,0.3255,22.9,78.35,52.05,52.35,3.95,6.65,16.8,110.75,115.05000000000001,95.0
200810310TOR,GSW,0.532,0.4995,0.2945,0.29600000000000004,30.3,80.35,52.1,48.8,8.25,8.4,13.45,108.95,113.6,108.0,TOR,0.5755,0.5285,0.176,0.2975,20.200000000000003,56.9,40.5,63.35,9.35,10.8,10.85,113.69999999999999,105.15,112.0
200810310PHI,NYK,0.4935,0.448,0.2865,0.3195,26.9,69.3,45.25,61.849999999999994,9.85,0.6,10.6,101.2,113.2,87.0,PHI,0.516,0.4855,0.147,0.273,41.25,76.05000000000001,60.95,48.95,3.8,11.15,15.65,107.4,99.5,116.0
200810310BOS,CHI,0.5115,0.4265,0.1345,0.4975,33.45,72.1,51.45,60.55,9.0,9.3,17.0,100.3,101.1,80.0,BOS,0.519,0.459,0.1495,0.49650000000000005,22.9,76.0,49.75,47.7,9.4,4.6,16.7,96.65,85.9,96.0
200810310MIA,SAC,0.49050000000000005,0.438,0.23149999999999998,0.28800000000000003,24.65,73.85,51.45,47.8,4.7,6.8,18.5,91.1,105.8,77.0,MIA,0.541,0.504,0.22999999999999998,0.377,28.9,72.6,50.25,53.849999999999994,11.7,8.6,12.2,109.75,98.5,103.0
200810310POR,SAS,0.6095,0.5780000000000001,0.2115,0.22949999999999998,18.049999999999997,72.1,47.5,54.1,2.85,2.35,11.55,115.7,119.15,99.0,POR,0.48050000000000004,0.4525,0.2465,0.22999999999999998,28.9,80.15,50.849999999999994,55.1,11.2,6.949999999999999,8.899999999999999,103.5,114.1,100.0
200810310LAC,DEN,0.5385,0.47950000000000004,0.161,0.4175,24.5,70.7,48.85,48.6,9.3,8.25,13.8,104.4,101.8,113.0,LAC,0.454,0.40700000000000003,0.22349999999999998,0.32299999999999995,24.950000000000003,64.6,42.05,62.95,10.05,8.25,14.05,91.45,116.5,103.0
200810310MEM,ORL,0.476,0.442,0.3535,0.3435,23.85,71.75,48.55,43.25,8.75,12.3,15.299999999999999,92.55,101.2,84.0,MEM,0.4455,0.39549999999999996,0.1655,0.2775,24.35,80.3,50.75,36.1,7.449999999999999,13.75,12.85,89.5,94.75,86.0
200811010MIL,TOR,0.5873333333333334,0.5323333333333333,0.20199999999999999,0.336,16.500000000000004,63.93333333333334,42.76666666666667,66.66666666666667,8.466666666666667,10.133333333333335,13.733333333333334,109.46666666666665,102.26666666666667,91.0,MIL,0.5313333333333334,0.49433333333333335,0.19199999999999998,0.2776666666666667,31.399999999999995,72.5,50.73333333333333,57.366666666666674,7.066666666666666,6.6000000000000005,16.466666666666665,103.89999999999999,106.13333333333333,87.0
200811010NJN,GSW,0.5316666666666667,0.48866666666666664,0.2796666666666667,0.4253333333333334,31.066666666666666,74.5,50.63333333333333,51.29999999999999,8.299999999999999,8.233333333333334,13.6,109.56666666666666,109.83333333333333,105.0,NJN,0.531,0.48550000000000004,0.2425,0.28400000000000003,26.200000000000003,69.25,49.849999999999994,61.2,7.6,13.65,12.3,104.0,102.69999999999999,97.0
