GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201112250NYK,BOS,0.5623170731707315,0.5199146341463413,0.18062195121951224,0.3112560975609756,20.974390243902434,74.77926829268293,49.39390243902439,63.368292682926814,9.148780487804878,6.737804878048782,13.67073170731708,107.3560975609756,101.45853658536586,104.0,NYK,0.5621219512195121,0.5144878048780487,0.3032682926829269,0.3075975609756099,24.37682926829269,72.22317073170731,48.00000000000001,55.87560975609756,7.958536585365854,8.613414634146343,12.320731707317071,111.75487804878045,110.92073170731709,106.0
201112250GSW,LAC,0.5359024390243904,0.4969756097560976,0.23098780487804876,0.33428048780487796,28.30609756097561,73.52195121951219,51.02073170731708,59.85365853658536,7.642682926829267,7.83780487804878,14.415853658536584,106.23902439024386,109.78414634146343,105.0,GSW,0.5444390243902438,0.5109268292682925,0.2485365853658536,0.24304878048780484,26.398780487804874,69.61951219512193,47.49268292682927,56.913414634146335,9.469512195121952,7.690243902439027,12.891463414634151,108.95731707317069,111.3878048780488,86.0
201112250OKC,ORL,0.5550121951219513,0.5213536585365852,0.328780487804878,0.3323536585365854,25.8670731707317,77.23170731707319,52.14634146341466,55.064634146341476,7.309756097560976,7.534146341463413,13.841463414634148,108.78048780487808,102.86829268292682,89.0,OKC,0.5628536585365855,0.5034268292682929,0.21280487804878043,0.3671829268292683,26.901219512195123,73.83170731707318,51.25365853658538,54.25243902439024,8.51951219512195,8.84756097560976,12.597560975609762,112.19634146341461,108.05609756097562,97.0
201112250LAL,CHI,0.5427195121951222,0.5022317073170731,0.21526829268292674,0.307841463414634,29.13170731707316,76.42073170731706,53.50487804878048,60.131707317073165,7.956097560975611,8.98292682926829,12.873170731707313,109.30609756097559,101.0682926829268,88.0,LAL,0.5458658536585366,0.5022439024390244,0.219890243902439,0.2973414634146341,29.098780487804884,72.6268292682927,51.53170731707318,57.458536585365835,8.049999999999999,8.073170731707322,11.875609756097564,111.61219512195119,105.00000000000003,87.0
201112250DAL,MIA,0.572829268292683,0.5245365853658538,0.23523170731707316,0.3680853658536586,25.10609756097561,75.68292682926831,51.85365853658538,54.142682926829266,7.345121951219517,8.537804878048782,12.898780487804876,112.6146341463415,104.34756097560978,105.0,DAL,0.5657195121951218,0.525439024390244,0.27468292682926826,0.2897073170731707,23.87682926829269,74.95853658536586,50.445121951219534,63.692682926829285,7.428048780487804,6.778048780487807,13.219512195121949,110.24878048780492,105.76097560975612,94.0
201112260IND,DET,0.5333780487804879,0.49608536585365864,0.18940243902439022,0.2816463414634147,27.145121951219508,72.72439024390242,48.77195121951221,56.50609756097561,8.121951219512196,6.564634146341463,11.84390243902439,108.3634146341463,112.50365853658536,79.0,IND,0.5342439024390244,0.4876463414634149,0.24493902439024387,0.30382926829268303,25.66341463414634,74.3756097560976,50.2170731707317,53.2817073170732,7.4987804878048765,8.393902439024389,13.595121951219511,105.53048780487808,106.73292682926828,91.0
201112260ORL,HOU,0.5515609756097561,0.5045975609756097,0.26452439024390245,0.30376829268292693,27.241463414634143,72.92195121951217,50.02804878048781,61.88902439024391,7.4817073170731705,6.406097560975609,11.787804878048776,112.02073170731708,109.66463414634151,95.0,ORL,0.481,0.42,0.346,0.321,28.0,81.6,51.1,60.0,7.6,7.5,16.3,96.2,104.8,104.0
201112260CHA,MIL,0.5120609756097563,0.4682073170731706,0.21687804878048775,0.29057317073170724,24.473170731707317,75.02439024390242,49.1219512195122,54.75243902439023,8.391463414634147,7.89390243902439,12.197560975609758,102.46097560975606,103.46219512195124,95.0,CHA,0.5288902439024389,0.48304878048780486,0.18881707317073168,0.3185731707317072,25.509756097560974,75.58780487804876,50.28658536585367,59.98170731707318,7.117073170731707,8.815853658536586,13.434146341463416,104.32195121951221,108.92195121951218,96.0
201112260WAS,NJN,0.5189024390243903,0.47625609756097564,0.2003048780487805,0.2871707317073171,25.771951219512193,74.29390243902438,49.398780487804885,58.85487804878053,6.135365853658535,7.362195121951219,12.53170731707317,103.99024390243899,110.94390243902441,90.0,WAS,0.5140365853658537,0.47148780487804876,0.1723536585365854,0.29351219512195126,27.79146341463413,70.6170731707317,48.353658536585364,52.09756097560975,8.597560975609758,9.697560975609756,13.497560975609762,103.11829268292679,110.93292682926827,84.0
201112260CLE,TOR,0.5340731707317072,0.49250000000000005,0.16160975609756098,0.29608536585365847,27.947560975609747,72.26951219512196,49.61341463414635,57.073170731707314,7.630487804878051,6.634146341463416,13.141463414634147,106.85365853658534,113.57195121951229,104.0,CLE,0.5185731707317071,0.4736707317073171,0.22423170731707312,0.3163048780487805,23.930487804878055,73.69268292682932,48.01829268292683,59.44756097560974,7.107317073170735,6.550000000000001,12.967073170731709,102.74756097560974,112.55975609756098,96.0
