DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2010-10-26,201010260BOS,MIA,240,.471,.419,.270,.338,24.4,77.8,48.1,55.6,11.3,11.3,16.7,100.0,90.4,99.5,80,BOS,240,.550,.522,.232,.362,22.2,75.6,51.9,78.1,6.8,7.4,18.4,100.0,99.5,90.4,88
2010-10-26,201010260POR,PHO,240,.568,.547,.257,.216,18.9,56.1,38.5,41.7,3.3,5.5,19.0,100.0,102.7,118.3,92,POR,240,.532,.516,.215,.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,100.0,118.3,102.7,106
2010-10-26,201010260LAL,HOU,240,.532,.462,.220,.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,100.0,107.2,109.1,110,LAL,240,.517,.464,.219,.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,100.0,109.1,107.2,112
2010-10-27,201010270TOR,NYK,240,.513,.472,.273,.193,28.3,75.0,52.1,31.6,4.1,11.9,13.6,100.0,101.2,96.0,98,TOR,240,.445,.399,.106,.255,25.0,71.7,47.9,55.6,6.2,7.8,9.5,100.0,96.0,101.2,93
2010-10-27,201010270PHI,MIA,240,.587,.536,.232,.449,15.2,76.2,49.3,45.5,8.7,9.2,16.2,100.0,106.0,95.1,97,PHI,240,.495,.476,.217,.133,23.8,84.8,50.7,66.7,10.9,7.5,15.4,100.0,95.1,106.0,87
2010-10-27,201010270NJN,DET,240,.509,.494,.229,.361,22.2,75.0,45.7,56.8,7.8,4.5,5.9,100.0,109.1,112.4,98,NJN,240,.558,.525,.175,.300,25.0,77.8,54.3,43.6,4.5,6.3,10.8,100.0,112.4,109.1,101
2010-10-27,201010270CLE,BOS,240,.535,.493,.167,.292,17.1,80.0,50.7,70.6,8.6,1.6,19.0,100.0,93.4,102.0,87,CLE,240,.526,.481,.247,.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,100.0,102.0,93.4,95
2010-10-27,201010270DEN,UTA,240,.495,.407,.186,.614,24.4,73.3,48.9,77.8,7.1,6.7,19.8,100.0,89.6,112.0,88,DEN,240,.561,.475,.250,.513,26.7,75.6,51.1,65.7,9.2,3.5,13.3,100.0,112.0,89.6,110
2010-10-27,201010270GSW,HOU,240,.582,.494,.184,.598,32.6,63.2,46.4,58.5,9.0,2.8,7.6,100.0,128.7,132.7,128,GSW,240,.638,.598,.217,.283,36.8,67.4,53.6,49.0,5.0,9.9,10.4,100.0,132.7,128.7,132
2010-10-27,201010270LAC,POR,240,.499,.455,.227,.261,43.8,68.2,55.4,47.2,10.3,9.8,10.9,100.0,112.1,100.7,98,LAC,240,.477,.437,.228,.380,31.8,56.3,44.6,59.4,9.2,11.8,14.0,100.0,100.7,112.1,88
2010-10-27,201010270SAS,IND,240,.610,.584,.273,.364,25.7,75.0,50.7,48.8,8.9,9.5,20.5,100.0,108.1,121.0,109,SAS,240,.617,.560,.241,.434,25.0,74.3,49.3,69.0,14.9,8.9,12.4,100.0,121.0,108.1,122
2010-10-27,201010270OKC,CHI,240,.463,.441,.151,.237,30.0,80.0,53.7,52.5,6.1,10.0,12.0,100.0,96.1,107.2,95,OKC,240,.537,.436,.231,.603,20.0,70.0,46.3,53.1,11.1,12.7,10.8,100.0,107.2,96.1,106
2010-10-27,201010270NOH,MIL,240,.509,.481,.299,.364,17.4,86.0,50.6,42.4,4.3,3.2,11.8,100.0,98.4,102.8,91,NOH,240,.518,.456,.215,.367,14.0,82.6,49.4,67.6,4.3,0.0,8.9,100.0,102.8,98.4,95
2010-10-27,201010270MIN,SAC,240,.554,.482,.129,.553,28.6,73.8,49.5,64.1,7.8,5.5,11.0,100.0,114.4,113.5,117,MIN,240,.561,.516,.198,.308,26.2,71.4,50.5,51.2,4.9,10.8,11.2,100.0,113.5,114.4,116
2010-10-27,201010270MEM,ATL,240,.635,.575,.200,.388,23.1,79.5,53.0,47.6,7.1,11.7,13.8,100.0,120.2,105.1,119,MEM,240,.536,.488,.105,.291,20.5,76.9,47.0,32.5,7.1,6.3,12.6,100.0,105.1,120.2,104
2010-10-27,201010270DAL,CHA,240,.515,.432,.178,.329,19.0,80.0,46.8,75.9,8.7,5.0,19.3,100.0,93.2,109.5,86,DAL,240,.609,.573,.200,.240,20.0,81.0,53.2,70.7,13.0,8.3,16.2,100.0,109.5,93.2,101
2010-10-28,201010280ORL,WAS,240,.455,.397,.244,.385,6.7,66.7,32.1,58.6,10.1,5.7,12.5,100.0,83.8,113.0,83,ORL,240,.615,.610,.312,.416,33.3,93.3,67.9,46.5,5.0,5.1,18.7,100.0,113.0,83.8,112
2010-10-28,201010280UTA,PHO,240,.579,.525,.325,.425,27.9,69.6,49.4,54.1,11.6,5.6,12.8,100.0,115.8,99.0,110,UTA,240,.490,.446,.155,.321,30.4,72.1,50.6,52.8,8.4,11.1,14.3,100.0,99.0,115.8,94
2010-10-29,201010290PHI,ATL,240,.622,.557,.243,.443,29.4,75.0,56.1,66.7,3.3,10.8,19.3,100.0,112.7,109.5,104,PHI,240,.507,.441,.129,.388,25.0,70.6,43.9,68.6,9.8,11.3,7.4,100.0,109.5,112.7,101
2010-10-29,201010290TOR,CLE,240,.458,.435,.226,.119,20.5,68.6,41.8,46.9,9.5,3.2,17.7,100.0,85.6,106.7,81,TOR,240,.562,.512,.244,.220,31.4,79.5,58.2,61.5,11.6,7.7,17.4,100.0,106.7,85.6,101
2010-10-29,201010290BOS,NYK,240,.521,.488,.318,.318,18.4,67.4,41.3,64.9,8.2,12.0,9.4,100.0,103.5,107.6,101,BOS,240,.531,.511,.176,.198,32.6,81.6,58.7,75.0,2.0,1.7,14.7,100.0,107.6,103.5,105
2010-10-29,201010290NJN,SAC,240,.479,.446,.215,.280,20.8,80.8,41.9,53.8,6.9,6.0,10.3,100.0,98.8,104.7,100,NJN,240,.656,.574,.180,.738,19.2,79.2,58.1,56.3,2.0,5.5,24.3,100.0,104.7,98.8,106
2010-10-29,201010290DET,OKC,240,.503,.400,.176,.518,39.1,65.9,52.2,48.5,14.9,5.5,10.3,100.0,112.1,111.0,105,DET,240,.554,.518,.141,.235,34.1,60.9,47.8,40.0,1.1,10.0,16.1,100.0,111.0,112.1,104
2010-10-29,201010290MIA,ORL,240,.417,.333,.348,.493,17.8,69.6,44.0,23.8,5.7,4.8,14.3,100.0,79.7,109.3,70,MIA,240,.517,.463,.222,.333,30.4,82.2,56.0,51.5,6.8,11.1,11.4,100.0,109.3,79.7,96
2010-10-29,201010290CHA,IND,240,.574,.525,.363,.300,23.1,62.5,43.0,69.4,5.6,19.0,9.9,100.0,116.8,113.4,104,CHA,240,.562,.471,.171,.643,37.5,76.9,57.0,54.8,3.4,13.7,15.9,100.0,113.4,116.8,101
2010-10-29,201010290GSW,LAC,240,.469,.416,.217,.386,27.5,74.3,46.5,53.1,7.3,1.8,14.1,100.0,95.2,114.0,91,GSW,240,.616,.617,.296,.210,25.7,72.5,53.5,74.4,8.4,10.8,16.1,100.0,114.0,95.2,109
2010-10-29,201010290NOH,DEN,240,.572,.528,.208,.347,31.4,70.3,51.4,54.3,10.1,3.3,18.6,100.0,106.9,113.6,95,NOH,240,.577,.532,.221,.312,29.7,68.6,48.6,60.5,12.4,14.0,14.6,100.0,113.6,106.9,101
2010-10-29,201010290MIN,MIL,240,.434,.374,.230,.287,17.6,60.0,38.6,58.1,4.1,7.9,11.7,100.0,87.6,98.9,85,MIN,240,.476,.412,.259,.424,40.0,82.4,61.4,40.6,8.2,16.4,15.1,100.0,98.9,87.6,96
2010-10-29,201010290PHO,LAL,240,.568,.547,.284,.126,29.5,73.3,51.7,45.7,8.5,4.3,9.1,100.0,120.9,112.5,114,PHO,240,.537,.522,.258,.140,26.7,70.5,48.3,47.7,4.2,10.3,9.2,100.0,112.5,120.9,106
2010-10-29,201010290DAL,MEM,240,.475,.413,.188,.450,27.5,79.5,50.0,54.8,13.0,5.6,11.9,100.0,98.8,97.7,91,DAL,240,.545,.514,.250,.333,20.5,72.5,50.0,70.6,7.6,9.2,17.9,100.0,97.7,98.8,90
2010-10-30,201010300MIL,CHA,240,.594,.539,.297,.359,16.1,62.2,41.2,43.3,7.1,10.2,19.5,100.0,103.9,115.7,88,MIL,240,.591,.528,.310,.380,37.8,83.9,58.8,59.4,8.3,11.1,17.8,100.0,115.7,103.9,98
2010-10-30,201010300IND,PHI,240,.483,.476,.134,.195,25.5,68.0,47.4,36.1,9.3,16.9,17.6,100.0,88.6,102.0,86,IND,240,.495,.455,.270,.281,32.0,74.5,52.6,48.6,10.3,8.5,15.3,100.0,102.0,88.6,99
2010-10-30,201010300ATL,WAS,240,.557,.526,.158,.276,21.1,66.7,44.2,42.1,8.6,21.0,16.6,100.0,102.7,107.0,95,ATL,240,.525,.451,.235,.370,33.3,78.9,55.8,55.9,4.3,6.3,14.5,100.0,107.0,102.7,99
2010-10-30,201010300CLE,SAC,240,.611,.578,.195,.312,30.6,76.2,55.1,60.0,7.7,6.6,13.8,100.0,117.2,113.9,107,CLE,240,.561,.525,.238,.363,23.8,69.4,44.9,56.4,8.8,3.2,12.3,100.0,113.9,117.2,104
