GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201710170CLE,BOS,0.5,0.455,0.364,0.284,18.0,80.4,47.9,66.7,11.1,6.6,9.2,99.7,102.7,99.0,CLE,0.543,0.488,0.265,0.301,19.6,82.0,52.1,50.0,3.0,7.1,15.3,102.7,99.7,102.0
201710170GSW,HOU,0.579,0.562,0.423,0.196,22.2,84.6,51.2,59.6,8.8,10.0,10.2,119.6,118.6,122.0,GSW,0.678,0.638,0.375,0.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,118.6,119.6,121.0
201710180BOS,MIL,0.605,0.546,0.276,0.395,15.8,78.0,51.1,50.0,6.1,6.3,14.4,110.4,102.2,108.0,BOS,0.4995,0.472,0.33599999999999997,0.2575,20.0,82.30000000000001,48.4,62.85,11.7,5.1,9.95,100.95,106.55000000000001,100.0
201710180IND,BRK,0.606,0.543,0.319,0.34,25.0,69.6,47.8,48.9,6.2,2.9,15.6,115.7,123.6,131.0,IND,0.603,0.564,0.333,0.314,30.4,75.0,52.2,54.7,10.6,14.1,10.8,123.6,115.7,140.0
201710180ORL,MIA,0.502,0.475,0.297,0.168,22.0,75.0,46.8,61.4,5.7,5.8,10.7,103.6,110.3,109.0,ORL,0.564,0.522,0.233,0.322,25.0,78.0,53.2,51.2,7.6,12.7,12.0,110.3,103.6,116.0
201710180DET,CHO,0.525,0.459,0.411,0.397,7.3,83.0,50.0,55.2,4.1,4.3,16.5,91.4,103.6,90.0,DET,0.504,0.474,0.271,0.125,17.0,92.7,50.0,58.5,14.2,7.0,7.3,103.6,91.4,102.0
201710180WAS,PHI,0.567,0.543,0.376,0.204,23.4,69.8,48.0,58.1,5.8,8.0,14.4,110.3,115.1,115.0,WAS,0.528,0.464,0.227,0.392,30.2,76.6,52.0,50.0,7.7,17.2,7.3,115.1,110.3,120.0
201710180UTA,DEN,0.583,0.552,0.351,0.156,18.9,83.8,51.4,58.3,4.2,5.3,19.6,101.6,112.2,96.0,UTA,0.602,0.562,0.296,0.198,16.2,81.1,48.6,68.3,9.5,10.0,14.6,112.2,101.6,106.0
201710180SAS,MIN,0.52,0.482,0.224,0.271,22.4,72.1,45.7,62.2,7.4,5.9,12.0,104.8,113.3,99.0,SAS,0.55,0.506,0.236,0.213,27.9,77.6,54.3,53.7,8.5,16.7,10.2,113.3,104.8,107.0
201710180SAC,HOU,0.5635,0.516,0.48250000000000004,0.27249999999999996,24.45,81.3,51.2,58.6,8.05,7.3,11.5,114.35,111.25,105.0,SAC,0.541,0.523,0.261,0.114,22.0,73.3,48.8,45.2,5.2,10.5,15.5,103.9,109.1,100.0
201710180DAL,ATL,0.582,0.559,0.191,0.16,30.4,80.0,54.9,41.7,11.2,14.6,11.4,118.7,112.6,117.0,DAL,0.583,0.541,0.523,0.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,112.6,118.7,111.0
201710180MEM,NOP,0.496,0.424,0.316,0.367,34.8,70.0,53.1,50.0,4.3,19.0,15.6,97.6,110.4,91.0,MEM,0.494,0.473,0.315,0.304,30.0,65.2,46.9,48.7,9.6,14.8,9.5,110.4,97.6,103.0
201710180PHO,POR,0.606,0.567,0.267,0.311,39.5,80.8,63.3,50.0,8.1,11.3,13.5,125.6,77.0,124.0,PHO,0.392,0.354,0.303,0.202,19.2,60.5,36.7,35.7,9.1,12.1,14.2,77.0,125.6,76.0
201710190TOR,CHI,0.516,0.472,0.36,0.202,21.7,69.0,44.3,59.5,7.0,3.7,16.4,100.1,117.2,100.0,TOR,0.614,0.548,0.349,0.337,31.0,78.3,55.7,66.7,10.0,7.0,15.1,117.2,100.1,117.0
201710190OKC,NYK,0.481,0.449,0.304,0.241,28.2,69.8,50.0,59.4,8.1,7.7,22.2,85.0,106.2,84.0,OKC,0.527,0.494,0.422,0.244,30.2,71.8,50.0,66.7,14.2,12.7,15.3,106.2,85.0,105.0
201710190LAL,LAC,0.479,0.449,0.308,0.121,29.8,77.8,53.2,54.8,11.3,4.0,11.0,102.0,86.9,108.0,LAL,0.455,0.429,0.176,0.253,22.2,70.2,46.8,56.8,7.6,9.5,15.8,86.9,102.0,92.0
