DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
10/19/2018,201810190MIN,CLE,240,0.582,0.527,0.247,0.312,29.5,76.9,51.8,57.8,4.8,3.2,11.7,100,119,126.7,MIN,240,0.64,0.563,0.287,0.402,23.1,70.5,48.2,63.6,8.7,10,11.3,100,126.7,119
10/19/2018,201810190MEM,ATL,240,0.592,0.578,0.361,0.434,24.4,80.6,49.4,65.9,8.5,9.1,16.1,100,110.4,123.6,MEM,240,0.656,0.623,0.321,0.531,19.4,75.6,50.6,72.7,8.5,7.5,13.8,100,123.6,110.4
10/20/2018,201810200PHI,ORL,240,0.577,0.544,0.322,0.244,29.8,72.9,51.6,75.6,7.3,11.5,12.3,100,120.4,121.5,PHI,240,0.589,0.569,0.351,0.106,27.1,70.2,48.4,73.3,8.4,4.9,9.2,100,121.5,120.4
10/20/2018,201810200IND,BRK,240,0.585,0.57,0.43,0.256,23.1,75.6,50,61,5.9,8.8,17.3,100,109.9,129.5,IND,240,0.649,0.641,0.261,0.239,24.4,76.9,50,41.2,11.8,10.2,9,100,129.5,109.9
10/20/2018,201810200MIA,CHO,240,0.548,0.527,0.452,0.247,24.5,70,44.9,56.1,6,21.8,9.6,100,113.6,112.6,MIA,240,0.555,0.522,0.382,0.303,30,75.5,55.1,51.2,4,21.6,12.9,100,112.6,113.6
10/20/2018,201810200NYK,BOS,240,0.534,0.457,0.305,0.402,23.9,76.6,50.5,63.6,8.1,3.8,13.5,100,103.7,101.7,NYK,240,0.511,0.483,0.402,0.31,23.4,76.1,49.5,63.9,8.1,1.8,13.9,100,101.7,103.7
10/20/2018,201810200WAS,TOR,240,0.563,0.5,0.33,0.409,33.3,80.9,58.4,53.8,4.9,10,14.1,100,114.7,110.7,WAS,240,0.548,0.489,0.438,0.36,19.1,66.7,41.6,54.1,10.8,15.3,9.6,100,110.7,114.7
10/20/2018,201810200CHI,DET,240,0.531,0.495,0.396,0.228,33.3,86.1,54.4,51.2,4,6.1,7.5,100,118.1,116.1,CHI,240,0.589,0.546,0.241,0.299,13.9,66.7,45.6,59.1,4,4.9,10.1,100,116.1,118.1
10/20/2018,201810200DEN,PHO,240,0.492,0.448,0.506,0.455,18.2,76.9,42.6,69,5.9,7,17.1,100,88.8,116.2,DEN,240,0.609,0.559,0.329,0.341,23.1,81.8,57.4,65.1,11.7,15.8,15.5,100,116.2,88.8
10/20/2018,201810200POR,SAS,240,0.509,0.485,0.3,0.14,28.3,75.8,46.5,69,5.3,7.7,5.3,100,115.2,129.1,POR,240,0.655,0.625,0.381,0.226,24.2,71.7,53.5,53.3,5.3,4.3,11.5,100,129.1,115.2
10/20/2018,201810200LAL,HOU,240,0.568,0.542,0.438,0.313,27.1,82,55.1,50,6.5,5.9,12.8,100,114.8,106.4,LAL,240,0.533,0.52,0.32,0.18,18,72.9,44.9,58.3,7.4,18.5,8.5,100,106.4,114.8
10/20/2018,201810200DAL,MIN,240,0.669,0.607,0.321,0.476,18.2,64.3,44,52.3,9.2,6.3,14.3,100,124.7,128.4,DAL,240,0.62,0.587,0.51,0.347,35.7,81.8,56,59.2,7.3,14,12.4,100,128.4,124.7
10/21/2018,201810210DEN,GSW,240,0.547,0.5,0.367,0.304,15,72.3,46,61.1,4.1,11.1,16.7,100,100.3,102.4,DEN,240,0.479,0.442,0.372,0.488,27.7,85,54,60,11.3,8,7.1,100,102.4,100.3
10/21/2018,201810210CLE,ATL,240,0.625,0.602,0.48,0.194,20.9,70,47.3,66.7,8.5,9.7,10.1,100,125.5,104.7,CLE,240,0.528,0.515,0.273,0.141,30,79.1,52.7,50,4.7,3.9,14.6,100,104.7,125.5
10/21/2018,201810210OKC,SAC,240,0.634,0.604,0.242,0.308,26.7,65.4,47.4,56,10,10.8,14.1,100,119.1,109.1,OKC,240,0.512,0.486,0.375,0.288,34.6,73.3,52.6,50,10,13,13.3,100,109.1,119.1
10/21/2018,201810210LAC,HOU,240,0.586,0.567,0.393,0.169,14,70.7,41.7,65.1,6.1,9.4,11.2,100,113.2,116.3,LAC,240,0.572,0.5,0.281,0.292,29.3,86,58.3,52.4,8.1,13,11.5,100,116.3,113.2
