GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201411250WAS,ATL,0.5625454545454546,0.5226363636363637,0.30381818181818177,0.2920909090909091,21.772727272727277,73.15454545454544,48.06363636363637,64.57272727272728,9.036363636363639,8.463636363636361,13.109090909090908,109.11818181818181,109.10909090909094,99.0,WAS,0.5360833333333334,0.49875,0.18316666666666667,0.2866666666666667,23.958333333333332,76.79166666666667,50.50000000000001,64.31666666666666,9.241666666666665,7.808333333333334,12.70833333333333,105.35833333333333,101.74166666666667,111.0
201411250DEN,CHI,0.5508571428571429,0.5104285714285715,0.2613571428571429,0.3315,23.70714285714286,73.35000000000001,49.05714285714287,60.11428571428571,6.9,8.085714285714287,13.257142857142858,107.80714285714285,105.41428571428571,97.0,DEN,0.5313076923076923,0.4893076923076923,0.31138461538461537,0.3073846153846154,25.553846153846152,76.59230769230768,49.95384615384616,56.29230769230769,6.976923076923076,8.33076923076923,12.099999999999998,107.37692307692306,108.83846153846154,101.0
201411250NOP,SAC,0.5503846153846154,0.4826923076923077,0.18876923076923077,0.42653846153846153,29.923076923076923,78.3076923076923,55.37692307692308,53.82307692307692,6.661538461538461,6.438461538461539,13.815384615384612,109.6923076923077,106.9923076923077,113.0,NOP,0.5428333333333334,0.5048333333333334,0.23374999999999999,0.2654166666666667,24.63333333333334,72.74166666666666,48.73333333333334,56.425000000000004,8.783333333333333,10.424999999999999,9.85,111.86666666666666,107.88333333333334,106.0
201411260PHI,BRK,0.548,0.5047692307692307,0.26338461538461544,0.27899999999999997,24.207692307692305,73.73846153846154,49.592307692307685,53.06923076923077,7.1923076923076925,7.292307692307691,13.37692307692308,107.00000000000001,107.86923076923075,87.0,PHI,0.49099999999999994,0.45757142857142863,0.29264285714285715,0.3072857142857143,21.935714285714287,72.95714285714286,45.51428571428571,58.36428571428572,10.128571428571425,8.471428571428572,15.735714285714284,93.28571428571429,109.67142857142855,104.0
201411260DET,LAC,0.570923076923077,0.5328461538461539,0.3211538461538461,0.3136923076923077,16.692307692307693,77.36153846153846,47.0923076923077,61.91538461538461,7.476923076923077,8.207692307692305,11.2,110.79999999999998,107.74615384615385,91.0,DET,0.4937857142857142,0.4612857142857143,0.27078571428571424,0.2702857142857143,25.53571428571428,75.74999999999999,49.86428571428571,52.7,6.0,6.757142857142858,12.307142857142855,100.35714285714286,106.32857142857144,86.0
201411260ATL,TOR,0.5573571428571429,0.5002857142857143,0.2661428571428571,0.36742857142857144,23.90714285714285,72.62142857142857,48.285714285714285,52.40714285714285,9.100000000000001,8.571428571428571,10.242857142857144,114.62142857142855,102.14999999999999,104.0,ATL,0.5598333333333334,0.5178333333333334,0.30299999999999994,0.3010833333333333,22.283333333333335,72.55833333333332,48.041666666666664,63.12500000000001,9.675000000000002,8.541666666666666,12.774999999999999,109.22500000000001,108.86666666666669,106.0
201411260ORL,GSW,0.5922307692307692,0.5550769230769231,0.3146923076923077,0.2818461538461539,20.52307692307692,74.82307692307693,50.74615384615384,63.699999999999996,8.292307692307691,10.00769230769231,16.046153846153846,109.05384615384614,98.22307692307693,114.0,ORL,0.5314375,0.49993750000000003,0.2188125,0.2589375,22.43125,77.89375,50.4,54.39999999999999,6.4625,5.593749999999999,14.318749999999998,102.33125000000003,107.71875000000001,74.0
201411260CLE,WAS,0.5353846153846155,0.4974615384615385,0.18738461538461537,0.29115384615384615,24.73076923076923,76.43076923076923,50.630769230769246,64.7076923076923,8.692307692307692,7.592307692307693,13.046153846153844,105.42307692307692,102.40769230769232,102.0,CLE,0.546,0.49876923076923074,0.2706153846153846,0.3116153846153846,26.192307692307693,74.93076923076924,50.669230769230765,57.86923076923077,7.907692307692309,7.730769230769231,12.715384615384615,109.98461538461538,108.38461538461539,106.0
201411260CHO,POR,0.5577142857142856,0.5195000000000001,0.30278571428571427,0.25199999999999995,28.071428571428573,76.02857142857144,53.12857142857144,62.157142857142865,6.392857142857143,7.642857142857143,13.185714285714285,111.94999999999997,102.2142857142857,114.0,CHO,0.5078666666666666,0.4699333333333333,0.21826666666666666,0.2752,21.15333333333333,78.85999999999999,49.013333333333335,57.11333333333333,6.286666666666667,6.679999999999999,10.699999999999998,102.06,108.92000000000002,92.0
201411260HOU,SAC,0.5514285714285715,0.4848571428571429,0.1882857142857143,0.41835714285714287,29.3,77.63571428571429,54.9,53.06428571428571,6.935714285714285,6.442857142857143,13.492857142857142,110.08571428571429,106.75,99.0,HOU,0.5421428571428571,0.5005,0.44492857142857145,0.36171428571428577,28.27142857142857,72.57142857142857,51.07857142857143,59.75,9.828571428571427,8.457142857142857,16.442857142857143,104.87142857142854,99.25714285714288,91.0
201411260OKC,UTA,0.5484666666666667,0.5082666666666668,0.2710666666666667,0.29486666666666667,27.06,74.48666666666665,50.993333333333325,60.03333333333333,7.720000000000001,8.513333333333332,14.146666666666668,107.25333333333334,112.55999999999999,95.0,OKC,0.49973333333333336,0.46046666666666675,0.27246666666666663,0.29233333333333333,25.619999999999997,73.06,50.066666666666656,56.419999999999995,6.200000000000001,10.053333333333335,13.74,99.62000000000002,105.55999999999999,86.0
201411260SAS,IND,0.5087142857142857,0.47364285714285703,0.27971428571428575,0.2681428571428571,28.921428571428574,78.64999999999999,53.75714285714286,51.34285714285714,4.928571428571429,9.450000000000001,13.857142857142858,102.42857142857143,104.66428571428573,111.0,SAS,0.5443076923076924,0.5018461538461538,0.27330769230769236,0.2738461538461539,23.299999999999997,80.60000000000001,52.56153846153847,65.78461538461539,8.192307692307692,8.338461538461539,13.969230769230771,104.61538461538461,98.51538461538462,99.0
201411260DAL,NYK,0.5440000000000002,0.51,0.22673333333333337,0.23033333333333336,25.953333333333337,72.16666666666666,48.85333333333333,58.10666666666666,7.293333333333334,6.453333333333332,13.700000000000001,106.87333333333335,111.62666666666664,86.0,DAL,0.5806666666666668,0.5464666666666667,0.3196,0.2660666666666667,25.92,72.18,49.20666666666668,57.88666666666666,7.766666666666667,10.073333333333332,10.3,118.21333333333335,107.83333333333333,100.0
