DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/28/2012,201204280IND,ORL,240,0.472,0.451,0.296,0.136,23.9,69.4,47.4,56.3,3.5,10.8,12.3,100,94.2,89.5,IND,240,0.398,0.368,0.149,0.253,30.6,76.1,52.6,56.7,8.1,19.3,9.4,100,89.5,94.2
4/28/2012,201204280MIA,NYK,240,0.448,0.407,0.3,0.157,37.5,66.7,51.9,44,9.7,0,24.3,100,81.4,121.4,MIA,240,0.592,0.543,0.3,0.471,33.3,62.5,48.1,47.1,14.6,8.2,14.2,100,121.4,81.4
4/28/2012,201204280CHI,PHI,240,0.471,0.404,0.108,0.373,24.5,72.2,44.7,54.5,10.7,7.8,10.2,100,97,109.8,CHI,240,0.582,0.551,0.179,0.308,27.8,75.5,55.3,70,6.4,8.1,16.9,100,109.8,97
4/28/2012,201204280OKC,DAL,240,0.551,0.5,0.282,0.321,27,78,53.8,44.1,12.1,4.8,14.4,100,107.9,109,OKC,240,0.564,0.519,0.203,0.253,22,73,46.2,44.7,8.8,19.6,13.8,100,109,107.9
4/29/2012,201204290ATL,BOS,240,0.422,0.39,0.134,0.159,15.2,75.6,45.1,65.6,10.5,5.4,6.4,100,86.7,97.3,ATL,240,0.487,0.454,0.263,0.276,24.4,84.8,54.9,51.6,3.5,1.4,13.2,100,97.3,86.7
4/29/2012,201204290LAL,DEN,240,0.432,0.378,0.156,0.3,28.1,73.2,46.9,53.1,6.5,5.8,8.9,100,95.6,111.9,LAL,240,0.556,0.535,0.198,0.174,26.8,71.9,53.1,51.2,6.5,19.7,10.6,100,111.9,95.6
4/29/2012,201204290SAS,UTA,240,0.51,0.447,0.171,0.395,31,76.2,53.6,53.1,7.6,11.9,15.2,100,99.2,115.6,SAS,240,0.55,0.512,0.202,0.333,23.8,69,46.4,62.5,10.9,3.2,9.4,100,115.6,99.2
4/29/2012,201204290MEM,LAC,240,0.575,0.539,0.237,0.303,32.5,70.8,53.4,50,9,10.1,16.5,100,110.9,109.8,MEM,240,0.527,0.512,0.188,0.212,29.2,67.5,46.6,50,3.4,1.7,11.4,100,109.8,110.9
4/30/2012,201204300IND,ORL,240,0.462,0.408,0.329,0.25,29.5,62.5,45.2,59.3,7.2,7,15.9,100,94.2,112.3,IND,240,0.521,0.442,0.26,0.364,37.5,70.5,54.8,27.3,10.9,11.8,11,100,112.3,94.2
4/30/2012,201204300MIA,NYK,240,0.551,0.526,0.195,0.247,31.6,80,54.8,39.5,3.6,3.8,13.2,100,111.4,123.3,MIA,240,0.613,0.582,0.288,0.37,20,68.4,45.2,73.7,7.1,4.8,8.6,100,123.3,111.4
4/30/2012,201204300OKC,DAL,240,0.532,0.449,0.291,0.405,27.3,82.1,48.6,39.4,9.8,5.9,12.3,100,108.3,111.5,OKC,240,0.606,0.485,0.239,0.582,17.9,72.7,51.4,43.3,9.8,5.4,16,100,111.5,108.3
