DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2011-12-25,201112250NYK,BOS,240,.580,.526,.066,.408,36.1,77.8,56.9,71.8,7.5,9.3,16.7,100.0,111.6,113.7,104,NYK,240,.596,.534,.270,.459,22.2,63.9,43.1,48.6,9.7,15.5,15.2,100.0,113.7,111.6,106
2011-12-25,201112250GSW,LAC,240,.537,.506,.284,.469,29.5,63.8,47.3,59.5,10.0,13.1,9.3,100.0,116.3,95.3,105,GSW,240,.465,.421,.256,.293,36.2,70.5,52.7,53.1,4.4,13.8,14.7,100.0,95.3,116.3,86
2011-12-25,201112250OKC,ORL,240,.481,.420,.346,.321,28.0,81.6,51.1,60.0,7.6,7.5,16.3,100.0,96.2,104.8,89,OKC,240,.581,.542,.264,.361,18.4,72.0,48.9,61.8,8.6,9.4,16.1,100.0,104.8,96.2,97
2011-12-25,201112250LAL,CHI,240,.462,.444,.169,.157,34.8,67.6,49.4,58.3,15.9,6.7,12.8,100.0,100.0,98.9,88,LAL,240,.513,.500,.211,.263,32.4,65.2,50.6,61.1,6.8,10.8,16.7,100.0,98.9,100.0,87
2011-12-25,201112250DAL,MIA,240,.559,.513,.090,.462,39.5,81.8,62.2,47.4,9.1,11.1,19.0,100.0,105.7,94.7,105,DAL,240,.494,.433,.341,.366,18.2,60.5,37.8,74.2,10.1,0.0,15.2,100.0,94.7,105.7,94
2011-12-26,201112260IND,DET,240,.469,.407,.253,.280,20.5,63.3,43.0,63.0,5.7,11.1,16.0,100.0,90.7,104.4,79,IND,240,.464,.408,.172,.287,36.7,79.5,57.0,62.5,10.3,16.1,9.3,100.0,104.4,90.7,91
2011-12-26,201112260ORL,HOU,240,.523,.476,.329,.244,27.5,83.3,53.9,72.2,4.5,8.2,9.0,100.0,107.6,117.8,95,ORL,240,.595,.584,.265,.120,16.7,72.5,46.1,43.2,1.1,7.3,11.2,100.0,117.8,107.6,104
2011-12-26,201112260CHA,MIL,240,.505,.452,.274,.274,17.8,67.4,42.9,61.8,6.3,3.0,11.3,100.0,100.3,101.4,95,CHA,240,.504,.465,.221,.244,32.6,82.2,57.1,71.1,3.2,9.8,14.4,100.0,101.4,100.3,96
2011-12-26,201112260WAS,NJN,240,.475,.430,.302,.233,36.7,83.3,59.8,50.0,7.8,4.5,13.7,100.0,100.3,93.6,90,WAS,240,.472,.426,.095,.459,16.7,63.3,40.2,41.9,8.9,11.7,11.0,100.0,93.6,100.3,84
2011-12-26,201112260CLE,TOR,240,.614,.589,.266,.165,33.3,69.4,54.9,83.3,4.7,13.8,12.4,100.0,122.5,113.1,104,CLE,240,.493,.447,.235,.329,30.6,66.7,45.1,60.0,8.2,1.7,6.7,100.0,113.1,122.5,96
