DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,Efg%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
11/1/2013,201311010WAS,PHI,240,0.544,0.543,0.245,0.149,22.5,71.2,50,54.2,7.7,8.8,15.9,100,104.3,97.6,WAS,240,0.503,0.484,0.277,0.181,28.8,77.5,50,56.1,13.4,8.5,14.3,100,97.6,104.3
11/1/2013,201311010ATL,TOR,240,0.504,0.494,0.261,0.159,25,82.1,53.2,37.5,5.3,11.1,11.3,100,101.4,108.9,ATL,240,0.563,0.532,0.299,0.403,17.9,75,46.8,66.7,7.5,4.6,12.5,100,108.9,101.4
11/1/2013,201311010DEN,POR,240,0.516,0.495,0.214,0.146,31.4,66.1,50,56.8,3.2,6.2,6,100,119,103.2,DEN,240,0.43,0.394,0.182,0.343,33.9,68.6,50,38.9,6.3,6.2,3.4,100,103.2,119
11/1/2013,201311010HOU,DAL,240,0.473,0.425,0.27,0.25,29.6,67.5,45.7,52.6,8.7,15.9,11.2,100,101.9,109.6,HOU,240,0.592,0.541,0.397,0.699,32.5,70.4,54.3,50,10.7,5.5,18.7,100,109.6,101.9
11/1/2013,201311010LAL,SAS,240,0.454,0.431,0.223,0.149,24,82.6,52.1,52.6,7.3,0,10.7,100,95.2,88.9,LAL,240,0.459,0.415,0.329,0.293,17.4,76,47.9,73.3,4.2,9.6,11.5,100,88.9,95.2
11/1/2013,201311010SAC,LAC,240,0.647,0.586,0.343,0.486,28.6,74.4,52.7,74.3,4.5,8.1,15,100,124.4,114.2,SAC,240,0.543,0.494,0.215,0.405,25.6,71.4,47.3,58.3,7.9,10.9,8.8,100,114.2,124.4
11/1/2013,201311010MIN,OKC,240,0.443,0.392,0.373,0.229,28.6,75.7,48.8,55.2,5.3,10.5,18.7,100,85.8,105.9,MIN,240,0.546,0.481,0.26,0.429,24.3,71.4,51.2,63.6,14.8,3.8,14.1,100,105.9,85.8
11/1/2013,201311010MEM,DET,265,0.542,0.511,0.236,0.27,31.9,81.3,51.9,50,9.8,10.2,16,100,106.3,109.3,MEM,265,0.615,0.558,0.234,0.39,18.8,68.1,48.1,62.5,12.8,5.9,18.1,100,109.3,106.3
11/1/2013,201311010PHO,UTA,240,0.434,0.394,0.2,0.318,42.3,66,53.5,64.5,3.3,1.6,17.1,100,92.8,96.1,PHO,240,0.465,0.41,0.265,0.289,34,57.7,46.5,48.4,11,14.7,14.6,100,96.1,92.8
11/2/2013,201311020MIL,TOR,240,0.512,0.442,0.295,0.487,36,87.5,61.2,61.3,6.3,0,15.2,100,102.1,94.7,MIL,240,0.49,0.476,0.202,0.214,12.5,64,38.8,67.6,7.4,9.1,12.4,100,94.7,102.1
11/2/2013,201311020PHI,CHI,240,0.513,0.468,0.151,0.204,37,77.3,56.7,66.7,8.2,7.8,15.1,100,106.2,109.2,PHI,240,0.57,0.552,0.256,0.209,22.7,63,43.3,57.1,8.2,7.6,13.8,100,109.2,106.2
11/2/2013,201311020IND,CLE,240,0.413,0.367,0.181,0.181,12.8,75.6,42,37.9,15.7,2,15.2,100,77.5,93.3,IND,240,0.519,0.481,0.364,0.26,24.4,87.2,58,75,6.3,8.8,18.9,100,93.3,77.5
11/2/2013,201311020GSW,SAC,240,0.446,0.379,0.299,0.276,29.1,86.5,52.2,53.3,9.7,2,12.5,100,93.4,105.2,GSW,240,0.603,0.586,0.355,0.158,13.5,70.9,47.8,71.8,8.6,11.5,18.1,100,105.2,93.4
11/2/2013,201311020POR,SAS,240,0.538,0.532,0.128,0.085,27.3,76.7,47.3,51.1,6.3,3.3,11,100,109.9,120.4,POR,240,0.643,0.605,0.247,0.235,23.3,72.7,52.7,64.4,3.1,8.5,15.2,100,120.4,109.9
11/2/2013,201311020NOP,CHA,240,0.438,0.394,0.263,0.45,28.6,77.1,48.8,43.3,8.6,6.5,11.9,100,90.3,112.9,NOP,240,0.601,0.54,0.173,0.373,22.9,71.4,51.2,81.1,10.8,30.5,16.3,100,112.9,90.3
11/2/2013,201311020UTA,HOU,240,0.631,0.575,0.328,0.522,27.3,67.4,50.6,47.1,6.7,11.9,17.9,100,115.7,103.5,UTA,240,0.501,0.444,0.272,0.333,32.6,72.7,49.4,35.3,10,13.3,13.9,100,103.5,115.7
