DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/15/2017,201704150TOR,MIL,240,0.529,0.5,0.271,0.176,18.8,81,47.8,57.9,5.7,9.6,5.2,100,110.9,94.9,TOR,240,0.464,0.393,0.307,0.44,19,81.3,52.2,55.6,3.4,6.5,10,100,94.9,110.9
4/15/2017,201704150CLE,IND,240,0.601,0.562,0.296,0.247,33.3,74.4,54.7,52.5,6.8,2,12.6,100,121.8,123,CLE,240,0.606,0.609,0.359,0.346,25.6,66.7,45.3,61.9,7.9,3.5,10.9,100,123,121.8
4/15/2017,201704150LAC,UTA,240,0.555,0.532,0.241,0.241,15.8,77.8,45.9,55.3,7.6,7,12.1,100,105.6,103.4,LAC,240,0.537,0.494,0.296,0.21,22.2,84.2,54.1,55.6,6.5,6.7,14.5,100,103.4,105.6
4/15/2017,201704150SAS,MEM,240,0.474,0.437,0.253,0.215,19,77.1,45.5,54.8,8.2,10.5,8.5,100,96.2,130.2,SAS,240,0.638,0.605,0.25,0.329,22.9,81,54.5,39,4.7,18.6,9.4,100,130.2,96.2
4/16/2017,201704160BOS,CHI,240,0.524,0.473,0.286,0.253,45.5,73.3,59.6,56.4,10.8,14.6,13.7,100,114.3,110,BOS,240,0.54,0.512,0.442,0.221,26.7,54.5,40.4,73,9.7,6.2,13.7,100,110,114.3
4/16/2017,201704160WAS,ATL,240,0.562,0.481,0.321,0.5,32.5,70,53.3,52.9,5,4.2,16.6,100,107.8,114.9,WAS,240,0.53,0.49,0.28,0.17,30,67.5,46.7,62.2,8.1,17,10,100,114.9,107.8
4/16/2017,201704160GSW,POR,240,0.531,0.489,0.323,0.237,23.4,75,45.8,37.5,8,5.6,12,100,108.7,120.7,GSW,240,0.648,0.599,0.333,0.346,25,76.6,54.2,60.5,7,15.9,14.6,100,120.7,108.7
4/16/2017,201704160HOU,OKC,240,0.477,0.426,0.358,0.284,14.3,70.8,42.3,63.3,8.2,8.6,14.1,100,89,120.7,HOU,240,0.576,0.549,0.363,0.286,29.2,85.7,57.7,46.7,8.2,5.8,9.7,100,120.7,89
4/17/2017,201704170CLE,IND,240,0.59,0.56,0.238,0.274,23.1,77.4,47.1,53.5,14.7,6.7,12.1,100,116.2,122.5,CLE,240,0.679,0.638,0.408,0.303,22.6,76.9,52.9,45.2,6.3,12.5,17.3,100,122.5,116.2
4/17/2017,201704170SAS,MEM,240,0.463,0.421,0.329,0.183,20.9,83.9,47.3,61.3,9.6,2.6,8.3,100,98.4,115.2,SAS,240,0.639,0.533,0.377,0.525,16.1,79.1,52.7,50,4.8,7.3,15.7,100,115.2,98.4
4/18/2017,201704180TOR,MIL,240,0.524,0.477,0.264,0.218,26.1,82.4,50,55.6,6.6,8.3,10.3,100,109.4,116,TOR,240,0.602,0.571,0.377,0.325,17.6,73.9,50,64.9,6.6,6.3,12,100,116,109.4
4/18/2017,201704180BOS,CHI,240,0.583,0.562,0.281,0.157,30.8,74.4,53.7,62.2,13.1,12.2,9.5,100,120.9,105.6,BOS,240,0.537,0.524,0.402,0.232,25.6,69.2,46.3,68.4,6.5,6.3,15,100,105.6,120.9
4/18/2017,201704180LAC,UTA,240,0.571,0.529,0.357,0.314,8.8,78.9,45.8,46.9,7.9,3.1,14,100,102.6,111.6,LAC,240,0.566,0.56,0.238,0.095,21.1,91.2,54.2,59.1,7.9,8.9,11.2,100,111.6,102.6
4/19/2017,201704190WAS,ATL,240,0.528,0.43,0.253,0.481,23.8,73.8,48.8,53.1,6.1,9.4,15.8,100,102.4,110.5,WAS,240,0.542,0.494,0.256,0.384,26.2,76.2,51.2,56.4,10.1,16.9,9.9,100,110.5,102.4
4/19/2017,201704190GSW,POR,240,0.412,0.372,0.378,0.211,20.4,76.6,46.5,56.7,8.7,11.9,15.5,100,78.1,106.1,GSW,240,0.542,0.495,0.352,0.264,23.4,79.6,53.5,77.5,7.7,19.6,14.3,100,106.1,78.1
4/19/2017,201704190HOU,OKC,240,0.508,0.448,0.309,0.289,34.7,86.1,56.5,50,9.3,22.4,6,100,114.5,118.6,HOU,240,0.61,0.558,0.372,0.474,13.9,65.3,43.5,52.6,5.2,11.9,12.1,100,118.6,114.5
4/20/2017,201704200MIL,TOR,240,0.457,0.38,0.31,0.423,21.4,91.2,52.6,45.8,6.7,7.8,15.1,100,86.3,116.5,MIL,240,0.631,0.608,0.311,0.257,8.8,78.6,47.4,74.4,6.7,8.2,13.6,100,116.5,86.3
