GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201104030NJN,MIA,0.571592105,0.522684211,0.23475,0.369697368,24.72368421,75.44868421,51.53947368,53.81447368,7.35,8.722368421,12.67763158,112.4960526,104.5868421,NJN,0.517546667,0.474386667,0.199253333,0.290946667,26.09733333,74.992,49.98533333,58.69733333,5.873333333,7.433333333,12.784,103.5013333,110.3053333
201104030NOH,IND,0.533506494,0.486493506,0.245246753,0.303805195,25.73376623,74.52727273,50.36233766,53.02467532,7.423376623,8.511688312,13.63896104,105.3207792,106.6337662,NOH,0.537789474,0.494013158,0.193973684,0.299789474,24.96052632,75.86052632,50.35263158,56.96842105,8.442105263,7.773684211,12.09210526,107.2618421,105.6236842
201104030SAS,PHO,0.56124,0.523146667,0.273626667,0.289986667,23.55733333,71.70266667,47.704,60.37333333,6.886666667,6.565333333,12.73466667,110.32,110.8093333,SAS,0.56675,0.527592105,0.261407895,0.299434211,24.53026316,74.74210526,50.11578947,58.39736842,8.113157895,6.726315789,12.43289474,111.8868421,106.1026316
201104030SAC,UTA,0.543802632,0.497,0.190894737,0.321960526,26.66447368,72.03157895,49.10526316,62.56842105,8.311842105,9.817105263,12.85789474,109.0171053,111.0947368,SAC,0.51932,0.48044,0.181173333,0.289346667,30.012,74.25733333,51.548,53.42933333,7.732,7.296,14.19866667,103.9053333,109.516
201104030LAL,DEN,0.575706667,0.526093333,0.25996,0.373986667,23.52133333,75.57466667,50.32133333,57.39466667,7.702666667,6.802666667,12.85866667,112.9133333,108.0666667,LAL,0.548813333,0.50512,0.219106667,0.29844,29.52533333,72.43866667,51.712,57.44133333,8.106666667,8.092,11.71466667,112.4986667,104.9906667
201104050BOS,PHI,0.538948052,0.498233766,0.184532468,0.280194805,24.46883117,74.91948052,49.83636364,59.51038961,8.158441558,6.702597403,11.78311688,107.912987,105.7311688,BOS,0.56325,0.521894737,0.182723684,0.310736842,20.98552632,75.09342105,49.52105263,63.77631579,9.172368421,6.711842105,13.57763158,107.6671053,101.3039474
201104050NJN,MIN,0.524857143,0.481363636,0.225636364,0.286753247,29.5987013,73.70649351,51.01298701,53.4012987,7.531168831,8.158441558,14.74285714,104.638961,111.1207792,NJN,0.517184211,0.474026316,0.200960526,0.290986842,25.91842105,74.99210526,49.82105263,58.77631579,5.919736842,7.335526316,12.72894737,103.4342105,110.3407895
201104050ORL,MIL,0.51075,0.467355263,0.214986842,0.292934211,24.98815789,75.48421053,49.56052632,54.65394737,8.247368421,7.939473684,12.21184211,102.3921053,103.5710526,ORL,0.555194805,0.522220779,0.327545455,0.332662338,25.5,76.93506494,51.84545455,55.00909091,7.109090909,7.435064935,13.58441558,109.0168831,103.2766234
201104050WAS,DET,0.529421053,0.493052632,0.191434211,0.277263158,26.72105263,72.36052632,48.17763158,56.24605263,8.252631579,6.517105263,11.75789474,107.6960526,112.4697368,WAS,0.512986842,0.470842105,0.17825,0.289223684,27.57763158,70.39473684,48.13552632,52.70394737,8.378947368,9.592105263,13.40921053,102.9947368,111.2947368
201104050ATL,SAS,0.567025974,0.528103896,0.262246753,0.298168831,24.66363636,74.85324675,50.21818182,58.48441558,8.102597403,6.711688312,12.45584416,111.9792208,106.038961,ATL,0.544428571,0.504090909,0.226324675,0.271519481,23.67662338,74.87792208,49.5,61.10519481,6.814285714,6.615584416,12.64025974,107.3805195,107.3922078
201104050DEN,OKC,0.561236842,0.501684211,0.213078947,0.366092105,26.66710526,73.79868421,51.03815789,54.34868421,8.480263158,8.796052632,12.53421053,111.85,108.0197368,DEN,0.574763158,0.525513158,0.259263158,0.373552632,23.54078947,75.54473684,50.30921053,57.51710526,7.778947368,6.772368421,12.88026316,112.7210526,107.8710526
201104050HOU,SAC,0.520355263,0.481447368,0.181289474,0.289197368,29.96842105,74.25131579,51.58289474,53.65657895,7.761842105,7.315789474,14.18026316,104.0881579,109.4934211,HOU,0.552831169,0.505025974,0.261961039,0.308428571,27.18311688,72.61688312,49.90779221,61.31948052,7.544155844,6.441558442,11.64545455,112.4532468,110.261039
201104050CHI,PHO,0.560855263,0.522842105,0.272197368,0.288342105,23.46710526,71.61710526,47.62894737,60.13815789,6.932894737,6.632894737,12.74210526,110.2,110.9171053,CHI,0.540184211,0.500210526,0.213184211,0.308618421,29.39473684,76.30394737,53.44342105,59.56184211,7.918421053,8.975,12.75263158,109.2092105,101.075
201104050CLE,CHA,0.527118421,0.480065789,0.190289474,0.324381579,25.62368421,75.60657895,50.45657895,59.76973684,7.048684211,8.936842105,13.72236842,103.7171053,108.3131579,CLE,0.517236842,0.472697368,0.223960526,0.315776316,23.86973684,73.67105263,47.95789474,59.48552632,7.105263158,6.543421053,13.10526316,102.2513158,113.0723684
