DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/20/2013,201304200BRK,CHI,240,0.519,0.487,0.105,0.289,21.4,81.3,47.3,41.7,4.7,7.9,9.5,100,104.9,125,BRK,240,0.627,0.597,0.182,0.221,18.8,78.6,52.7,41.9,7.1,7.4,8.7,100,125,104.9
4/20/2013,201304200NYK,BOS,240,0.532,0.454,0.308,0.292,11.8,78.3,50,66.7,5.7,9.3,21.4,100,89.2,97.2,NYK,240,0.496,0.462,0.316,0.19,21.7,88.2,50,40.6,17.2,8.9,13.2,100,97.2,89.2
4/20/2013,201304200DEN,GSW,240,0.482,0.457,0.239,0.163,25.5,85.7,55,71.1,4,14.5,14.7,100,94.9,96.9,DEN,240,0.498,0.465,0.188,0.329,14.3,74.5,45,42.1,9,5.7,10.2,100,96.9,94.9
4/20/2013,201304200LAC,MEM,240,0.555,0.5,0.169,0.352,10.8,57.6,32.9,66.7,3.6,1.8,7.9,100,109.6,134.9,LAC,240,0.639,0.601,0.257,0.419,42.4,89.2,67.1,48.8,4.8,6.8,11.2,100,134.9,109.6
4/21/2013,201304210IND,ATL,240,0.548,0.546,0.224,0.184,15.4,63.4,40,60.5,5.6,5.1,16.3,100,99.9,118.8,IND,240,0.576,0.494,0.244,0.436,36.6,84.6,60,65.7,8.9,6.8,13.1,100,118.8,99.9
4/21/2013,201304210MIA,MIL,240,0.479,0.457,0.317,0.244,22.2,65.6,40.3,41.2,11.1,0,11.7,100,96.8,122.4,MIA,240,0.667,0.61,0.338,0.485,34.4,77.8,59.7,57.9,8.9,5.4,18.7,100,122.4,96.8
4/21/2013,201304210OKC,HOU,240,0.448,0.407,0.396,0.264,21.2,84.8,45.9,51.5,5.9,1.7,12.9,100,89.5,118,OKC,240,0.629,0.59,0.289,0.337,15.2,78.8,54.1,63.6,8.9,16.4,12,100,118,89.5
4/21/2013,201304210SAS,LAL,240,0.473,0.432,0.205,0.329,14.6,82.6,50.6,50,8.5,6.3,17.7,100,84,96.8,SAS,240,0.474,0.418,0.259,0.294,17.4,85.4,49.4,62.5,12.8,5.2,8.6,100,96.8,84
4/22/2013,201304220BRK,CHI,240,0.517,0.5,0.156,0.299,24.3,76.1,53,56.8,6.7,11.5,13.8,100,100.3,91.4,BRK,240,0.445,0.378,0.256,0.28,23.9,75.7,47,75.9,8.9,7.7,11.5,100,91.4,100.3
4/22/2013,201304220LAC,MEM,240,0.517,0.466,0.151,0.466,20.5,76.9,48.7,48.5,8.9,7.9,12,100,101.4,103.6,LAC,240,0.53,0.487,0.192,0.282,23.1,79.5,51.3,51.4,5.6,16.1,12.9,100,103.6,101.4
4/23/2013,201304230MIA,MIL,240,0.541,0.528,0.25,0.236,11.4,70.7,43.4,63.9,10,3.4,16.8,100,95.9,109.3,MIA,240,0.548,0.487,0.244,0.333,29.3,88.6,56.6,48.6,11.2,5.6,13.5,100,109.3,95.9
4/23/2013,201304230DEN,GSW,240,0.746,0.734,0.316,0.253,23.1,83.3,58.1,51,7,7.4,16.2,100,131.2,117.1,DEN,240,0.608,0.556,0.325,0.463,16.7,76.9,41.9,67.5,6,1.9,13.5,100,117.1,131.2
4/23/2013,201304230NYK,BOS,240,0.456,0.407,0.271,0.257,7.9,82.9,46.8,53.8,3.5,7,12.4,100,82.9,101.6,NYK,240,0.508,0.467,0.25,0.289,17.1,92.1,53.2,43.8,5.8,11.8,10.5,100,101.6,82.9
