GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201310290IND,ORL,0.514865854,0.485085366,0.222731707,0.199060976,25.3097561,74.88170732,50.1,60.30243902,6.974390244,6.91097561,13.27439024,102.0939024,109.7914634,IND,0.52217284,0.48045679,0.246654321,0.29817284,29.9962963,74.88518519,52.8308642,57.74814815,7.943209877,9.628395062,13.78148148,104.8753086,100.5407407
201310290MIA,CHI,0.513207317,0.471841463,0.188512195,0.263231707,29.16829268,73.8902439,51.25853659,64.2402439,8.015853659,7.891463415,13.04634146,104.2353659,103.8731707,MIA,0.589,0.554060976,0.286512195,0.301365854,21.84146341,73.27560976,48.94146341,60.15,9.530487805,9.054878049,13.16829268,113.4317073,104.7682927
201310290LAL,LAC,0.557560976,0.525536585,0.265768293,0.289146341,28.71829268,73.80365854,51.59878049,61.73170732,10.52073171,9.737804878,13.16585366,111.6219512,104.4695122,LAL,0.54982716,0.513790123,0.303037037,0.351469136,26.68024691,74.48888889,51.20246914,59.17777778,7.475308642,7.751851852,13.55802469,108.4938272,107.1271605
201310300TOR,BOS,0.543975309,0.505024691,0.215555556,0.26637037,19.85185185,73.67160494,47.43703704,61.47407407,8.835802469,7.167901235,13.51975309,104.0679012,104.391358,TOR,0.532817073,0.488621951,0.249487805,0.277304878,25.27317073,73.72682927,49.06341463,59.02804878,7.935365854,7.834146341,12.62317073,106.5792683,107.9829268
201310300PHI,MIA,0.631,0.59,0.278,0.403,14.3,76.1,49.4,70.3,10.3,12.3,17.5,110.2,97.9,PHI,0.51045122,0.482292683,0.209134146,0.201914634,24.83780488,73.60853659,48.47073171,60.86585366,8.134146341,7.542682927,12.05243902,102.6890244,106.3719512
201310300DET,WAS,0.513292683,0.476743902,0.223243902,0.2635,24.43170732,75.04146341,49.48658537,60.9402439,7.846341463,7.56097561,13.83658537,100.7841463,103.604878,DET,0.523256098,0.489853659,0.21752439,0.28545122,27.91097561,73.19146341,50.04634146,58.55487805,7.682926829,8.004878049,13.78658537,104.5658537,109.0292683
201310300CLE,BRK,0.537170732,0.498243902,0.269439024,0.303073171,30.77439024,73.92317073,52.1402439,56.83292683,8.18902439,7.452439024,13.34390244,109.102439,107.1426829,CLE,0.514121951,0.474646341,0.22904878,0.266987805,28.10121951,72.7804878,49.28780488,56.67560976,8.576829268,6.703658537,12.48292683,105.0902439,110.1609756
201310300NYK,MIL,0.511487805,0.477573171,0.232426829,0.239792683,27.4402439,71.58292683,48.85853659,59.80365854,8.806097561,10.00853659,12.36585366,104.2780488,106.0146341,NYK,0.552073171,0.516280488,0.355536585,0.261731707,25.33170732,74.9695122,49.34146341,52.80365854,9.140243902,6.364634146,11.30365854,111.8292683,106.9231707
201310300GSW,LAL,0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8,9.7,15.3,115.6,102.6,GSW,0.546792683,0.506792683,0.23902439,0.258987805,25.27073171,75.6304878,51.2195122,58.81829268,7.282926829,6.815853659,13.74878049,107.1012195,106.0402439
201310300HOU,CHA,0.507695122,0.460768293,0.210646341,0.312707317,25.54756098,71.44390244,47.84634146,55.98414634,7.857317073,9.732926829,12.45365854,102.3378049,112.502439,HOU,0.564695122,0.525317073,0.350439024,0.31102439,26.22195122,75.31707317,51.14512195,60.78414634,8.58902439,6.82804878,14.39634146,110.4243902,106.6707317
