DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/23/2011,201104230POR,DAL,240,0.51,0.474,0.342,0.132,24.3,82.4,52.1,61.3,4.9,4,14.8,100,100.7,103.1,POR,240,0.531,0.449,0.275,0.333,17.6,75.7,47.9,44.8,9.8,16,11.2,100,103.1,100.7
4/23/2011,201104230DEN,OKC,240,0.49,0.4,0.263,0.538,25,79.2,53.3,58.6,5.3,16.4,8.3,100,102.3,99.1,DEN,240,0.481,0.41,0.295,0.577,20.8,75,46.7,62.1,4.2,10.2,10.9,100,99.1,102.3
4/23/2011,201104230MEM,SAS,240,0.494,0.427,0.2,0.427,29.3,81.8,56.5,61.3,4.5,14.9,12.7,100,99,102.3,MEM,240,0.501,0.449,0.141,0.372,18.2,70.7,43.5,72.7,7.9,6.7,9.9,100,102.3,99
4/24/2011,201104240PHI,MIA,240,0.47,0.417,0.295,0.269,18.4,78,45.6,46.7,9.3,13.1,8.4,100,95.2,99.8,PHI,240,0.5,0.456,0.228,0.203,22,81.6,54.4,56.3,8.1,7.3,13.1,100,99.8,95.2
4/24/2011,201104240ATL,ORL,240,0.463,0.405,0.291,0.367,21.3,82.1,48.8,35.5,8.8,5,12.4,100,93.4,96.7,ATL,240,0.525,0.507,0.2,0.267,17.9,78.7,51.2,60,7.7,7.1,14.3,100,96.7,93.4
4/24/2011,201104240NYK,BOS,240,0.552,0.512,0.148,0.296,23.7,77.2,55.8,60,6.2,9.8,14.1,100,104,91.6,NYK,240,0.444,0.386,0.307,0.318,22.8,76.3,44.2,63.3,4.1,8.7,12.2,100,91.6,104
4/24/2011,201104240NOH,LAL,240,0.516,0.458,0.25,0.417,25,65.7,45.1,54.8,7.4,10,9.6,100,108.8,115,NOH,240,0.541,0.473,0.189,0.365,34.3,75,54.9,75.8,7.4,5.6,10.4,100,115,108.8
4/25/2011,201104250DEN,OKC,240,0.545,0.487,0.241,0.392,27.9,74.5,53.2,48.6,5.3,14.1,13.9,100,107.5,110.7,DEN,240,0.508,0.44,0.229,0.53,25.5,72.1,46.8,59.4,5.3,6.7,7.2,100,110.7,107.5
4/25/2011,201104250MEM,SAS,240,0.53,0.5,0.24,0.187,23.1,75.7,48.7,45.7,6.9,5.8,17.3,100,98.4,119.1,MEM,240,0.576,0.537,0.148,0.259,24.3,76.9,51.3,53.7,9.2,5.3,8.1,100,119.1,98.4
4/25/2011,201104250DAL,POR,240,0.498,0.459,0.216,0.257,23.7,58.3,43,40.6,7.2,11.5,12.7,100,98.5,111.7,DAL,240,0.498,0.429,0.218,0.449,41.7,76.3,57,68.8,9.6,6.9,11.4,100,111.7,98.5
4/26/2011,201104260ORL,ATL,240,0.457,0.391,0.232,0.464,15.9,76.6,47.3,60,3.5,5.3,11.7,100,88,117,ORL,240,0.527,0.476,0.313,0.349,23.4,84.1,52.7,52.9,8.1,7.5,5,100,117,88
4/26/2011,201104260CHI,IND,240,0.521,0.439,0.216,0.351,30.2,75.8,50,48.3,4.3,7.7,19,100,95.4,124.4,CHI,240,0.611,0.566,0.373,0.325,24.2,69.8,50,67.5,10.7,15.5,12.9,100,124.4,95.4
4/26/2011,201104260LAL,NOH,240,0.59,0.567,0.313,0.313,10,59.5,37.3,63.6,10.3,5.3,18.2,100,103.3,121.6,LAL,240,0.601,0.54,0.24,0.4,40.5,90,62.7,56.8,5.7,15.2,14.5,100,121.6,103.3
4/27/2011,201104270MIA,PHI,240,0.503,0.482,0.12,0.205,22,68.1,46.6,51.3,4.7,8,7.2,100,107,114.1,MIA,240,0.533,0.475,0.375,0.313,31.9,78,53.4,53.1,7.1,4.1,9.9,100,114.1,107
4/27/2011,201104270OKC,DEN,240,0.556,0.513,0.231,0.269,10.3,68,42.7,44.4,8.2,5.2,17.1,100,99.6,102.7,OKC,240,0.498,0.402,0.293,0.512,32,89.7,57.3,53.3,10.3,23.3,12.2,100,102.7,99.6
4/27/2011,201104270SAS,MEM,265,0.53,0.489,0.115,0.264,22.2,80,52.6,46.3,11.8,7.9,14.1,100,100.9,107.7,SAS,265,0.555,0.5,0.259,0.376,20,77.8,47.4,59,8.8,5.2,13.1,100,107.7,100.9
4/28/2011,201104280ATL,ORL,240,0.528,0.47,0.284,0.328,22.6,63.2,44.9,48.3,10.1,12.3,14.5,100,102.1,105.9,ATL,240,0.491,0.443,0.278,0.19,36.8,77.4,55.1,58.1,10.1,8.3,13.2,100,105.9,102.1
4/28/2011,201104280POR,DAL,240,0.587,0.538,0.231,0.282,31.6,64.3,48.8,59,4.9,5.2,9.3,100,127,118.4,POR,240,0.531,0.475,0.266,0.329,35.7,68.4,51.3,45.7,3.7,5,7.2,100,118.4,127
4/28/2011,201104280NOH,LAL,240,0.574,0.493,0.189,0.351,37.8,80.6,58.9,67.6,8.6,10.7,12.3,100,120.2,98.1,NOH,240,0.513,0.45,0.2,0.257,19.4,62.2,41.1,66.7,8.6,3.3,15.2,100,98.1,120.2
4/29/2011,201104290MEM,SAS,240,0.499,0.465,0.259,0.165,23.7,62.2,42.7,40.5,10.4,9.4,10.8,100,105,114.3,MEM,240,0.574,0.527,0.123,0.411,37.8,76.3,57.3,31.6,6.9,7.9,13.1,100,114.3,105
