GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201612070LAC,GSW,0.6108095238095238,0.576095238095238,0.36314285714285716,0.28328571428571425,22.48095238095238,74.5095238095238,50.480952380952374,72.29999999999998,9.480952380952381,10.895238095238096,13.014285714285714,118.84761904761908,105.11428571428571,115.0,LAC,0.5678181818181817,0.5241363636363636,0.319,0.3457272727272728,21.572727272727278,78.56818181818181,50.818181818181806,57.34090909090909,9.254545454545452,8.254545454545454,11.390909090909089,112.71818181818183,102.60909090909094,98.0
201612070DAL,SAC,0.5385,0.4915000000000001,0.2816,0.30595,22.759999999999998,76.82499999999999,49.669999999999995,59.135000000000005,8.21,7.964999999999999,12.74,106.95500000000001,109.55,120.0,DAL,0.50545,0.46795,0.35495,0.21505000000000002,20.095,78.99499999999999,47.27499999999999,54.39,8.225000000000001,6.7700000000000005,11.5,99.85,107.41000000000001,89.0
201612070PHO,IND,0.5398571428571428,0.5003809523809524,0.24733333333333332,0.2524285714285714,20.371428571428574,72.90952380952382,46.99523809523809,56.53809523809524,9.247619047619047,10.076190476190474,12.880952380952378,104.80952380952381,108.42857142857143,109.0,PHO,0.5304761904761905,0.4869047619047618,0.2578095238095238,0.3015714285714286,24.81428571428571,78.78571428571428,50.709523809523816,46.76666666666667,8.404761904761907,6.666666666666667,13.557142857142859,103.89999999999998,110.50952380952383,94.0
201612080TOR,MIN,0.5445238095238094,0.49871428571428567,0.2795714285714285,0.3098095238095238,26.761904761904763,76.9904761904762,50.585714285714296,58.08095238095238,8.40952380952381,8.771428571428572,12.900000000000002,108.95714285714283,110.60952380952382,110.0,TOR,0.5801904761904761,0.5348095238095238,0.2894761904761905,0.3015238095238095,25.15238095238095,74.92857142857143,49.94285714285714,50.290476190476184,9.523809523809522,8.833333333333334,10.552380952380949,117.24285714285713,108.57619047619048,124.0
201612080WAS,DEN,0.5291363636363637,0.4872272727272727,0.2914545454545454,0.3083181818181818,28.036363636363635,79.68181818181817,53.9590909090909,54.85,6.5636363636363635,7.213636363636365,13.57727272727273,106.49545454545455,109.41818181818181,85.0,WAS,0.5366500000000001,0.5004,0.25034999999999996,0.24674999999999997,25.014999999999993,75.715,49.839999999999996,53.43499999999999,9.155000000000001,6.92,12.400000000000002,106.97,109.67999999999999,92.0
201612080CHI,SAS,0.5646818181818183,0.5175909090909091,0.2755909090909091,0.29622727272727273,21.08636363636364,78.46363636363638,50.03636363636363,61.16818181818183,8.52727272727273,10.136363636363637,11.836363636363636,110.97272727272728,105.5909090909091,91.0,CHI,0.5266190476190475,0.477095238095238,0.2357142857142857,0.2908095238095238,30.0047619047619,76.3095238095238,53.03809523809524,53.147619047619045,8.138095238095238,8.82857142857143,11.628571428571428,109.05238095238097,106.19047619047619,95.0
201612080UTA,GSW,0.6087272727272727,0.5731363636363636,0.3624545454545455,0.2852272727272727,22.759090909090908,74.15454545454544,50.43636363636363,72.4772727272727,9.572727272727272,10.745454545454546,12.827272727272726,118.9227272727273,105.00454545454545,106.0,UTA,0.5688695652173913,0.5277826086956522,0.33691304347826084,0.30069565217391303,19.730434782608697,77.54347826086956,50.260869565217384,52.35652173913045,6.8478260869565215,8.67391304347826,11.826086956521738,110.61739130434783,105.41304347826087,99.0
201612080MEM,POR,0.5624782608695653,0.5229565217391304,0.34521739130434786,0.26382608695652177,21.12608695652174,76.57391304347829,48.50434782608696,55.92608695652173,7.000000000000001,7.765217391304349,11.534782608695652,111.23913043478262,113.55217391304349,86.0,MEM,0.5201304347826087,0.47295652173913044,0.30113043478260865,0.29060869565217395,22.708695652173912,79.8695652173913,50.35652173913045,56.356521739130436,8.921739130434782,10.765217391304347,12.369565217391301,103.65652173913041,103.97826086956522,88.0
201612080NOP,PHI,0.5245,0.49463636363636354,0.3549545454545455,0.23163636363636364,19.981818181818184,76.22727272727273,48.39545454545455,61.386363636363626,7.931818181818182,9.627272727272727,15.040909090909095,99.36818181818184,109.4,99.0,NOP,0.5275454545454547,0.4866363636363636,0.2852727272727273,0.2684545454545454,16.85,77.95000000000003,47.46818181818182,58.98181818181818,8.090909090909092,10.472727272727273,11.245454545454546,102.54999999999997,105.90454545454548,88.0
201612090MIL,ATL,0.5321739130434783,0.5009130434782609,0.30369565217391303,0.2687391304347826,23.691304347826087,76.86086956521739,50.42173913043479,61.54782608695652,9.378260869565219,9.008695652173913,14.791304347826086,101.91304347826089,103.86956521739128,114.0,MIL,0.5490499999999999,0.50965,0.2947,0.28390000000000004,22.975,76.88999999999999,50.50500000000001,61.205000000000005,8.895,10.785,12.825000000000003,107.39000000000001,105.35000000000002,110.0
201612090BOS,TOR,0.581590909090909,0.5360909090909092,0.2904090909090909,0.30504545454545456,25.7,74.33636363636364,49.91818181818182,50.645454545454534,9.345454545454544,8.80909090909091,10.404545454545453,118.17272727272726,109.19090909090909,101.0,BOS,0.5515454545454546,0.5146818181818182,0.3539545454545454,0.2453181818181818,21.349999999999998,74.61363636363636,47.97272727272727,63.26818181818183,7.404545454545453,8.195454545454545,10.809090909090909,110.2727272727273,108.18181818181816,94.0
201612090CLE,MIA,0.5097727272727273,0.48118181818181827,0.29304545454545455,0.25818181818181823,24.504545454545454,75.51363636363637,49.28181818181818,54.16818181818181,7.781818181818181,9.318181818181815,11.286363636363637,103.97272727272728,106.67272727272729,84.0,CLE,0.5773499999999999,0.53845,0.4039,0.29910000000000003,23.88,75.18499999999999,50.615,57.44,6.95,7.130000000000001,12.215,114.98500000000001,108.11499999999998,114.0
201612090CHO,ORL,0.5063478260869565,0.473304347826087,0.29504347826086963,0.2568260869565217,22.30434782608695,77.0782608695652,49.58260869565217,58.35217391304349,6.930434782608697,9.52608695652174,12.060869565217393,100.65652173913043,105.40434782608695,88.0,CHO,0.537909090909091,0.4949090909090909,0.3252727272727273,0.3174090909090909,18.745454545454546,79.86818181818181,49.963636363636354,62.94545454545455,6.577272727272725,8.804545454545455,10.24090909090909,106.79999999999997,104.15909090909089,109.0
