GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201810160BOS,PHI,0.448,0.42,0.299,0.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,83.4,100.7,87.0,BOS,0.509,0.49,0.381,0.144,22.6,87.8,53.9,50.0,6.7,8.2,11.9,100.7,83.4,105.0
201810160GSW,OKC,0.466,0.418,0.407,0.407,28.1,63.0,43.7,63.6,11.7,8.7,11.5,97.7,105.6,100.0,GSW,0.525,0.479,0.274,0.189,37.0,71.9,56.3,66.7,6.8,13.0,16.9,105.6,97.7,108.0
201810170TOR,CLE,0.509,0.441,0.224,0.459,28.6,81.4,53.3,50.0,4.0,0.0,13.5,103.7,115.6,104.0,TOR,0.575,0.565,0.359,0.217,18.6,71.4,46.7,46.7,6.0,10.6,8.2,115.6,103.7,116.0
201810170IND,MEM,0.431,0.357,0.345,0.333,13.7,61.8,32.9,64.0,11.8,5.3,6.8,88.8,118.7,83.0,IND,0.626,0.627,0.313,0.157,38.2,86.3,67.1,61.7,2.1,12.7,18.4,118.7,88.8,111.0
201810170DET,BRK,0.545,0.518,0.329,0.268,13.5,70.8,45.9,70.0,9.0,7.4,15.6,100.0,103.0,100.0,DET,0.506,0.457,0.261,0.239,29.2,86.5,54.1,53.8,5.0,9.1,12.1,103.0,100.0,103.0
201810170ORL,MIA,0.473,0.438,0.34,0.227,27.5,73.1,50.5,42.1,3.9,7.2,13.0,97.6,100.5,101.0,ORL,0.483,0.452,0.266,0.33,26.9,72.5,49.5,51.3,6.8,10.9,10.0,100.5,97.6,104.0
201810170CHO,MIL,0.602,0.576,0.4,0.235,25.6,83.6,58.2,61.9,4.9,7.4,18.3,110.2,109.2,113.0,CHO,0.551,0.533,0.413,0.239,16.4,74.4,41.8,51.2,7.8,17.6,9.8,109.2,110.2,112.0
201810170NYK,ATL,0.546,0.511,0.4,0.2,16.3,79.2,49.5,46.3,6.2,4.5,19.7,94.3,111.0,107.0,NYK,0.559,0.515,0.333,0.313,20.8,83.7,50.5,46.7,10.6,11.1,11.8,111.0,94.3,126.0
201810170HOU,NOP,0.608,0.582,0.255,0.224,32.6,83.3,59.3,69.2,7.8,6.8,10.0,127.2,108.8,131.0,HOU,0.546,0.511,0.522,0.261,16.7,67.4,40.7,53.8,7.8,9.6,9.7,108.8,127.2,112.0
201810170SAS,MIN,0.525,0.462,0.209,0.297,29.8,62.7,46.9,51.3,9.4,2.9,9.7,112.7,116.8,108.0,SAS,0.53,0.489,0.269,0.312,37.3,70.2,53.1,55.0,3.1,5.6,10.2,116.8,112.7,112.0
201810170LAC,DEN,0.507,0.425,0.276,0.483,26.9,82.4,54.4,60.6,6.1,15.0,8.7,108.2,99.1,107.0,LAC,0.497,0.443,0.318,0.273,17.6,73.1,45.6,60.0,3.0,14.3,10.9,99.1,108.2,98.0
201810170SAC,UTA,0.642,0.601,0.342,0.481,13.5,88.6,54.3,51.2,7.6,5.3,15.1,116.4,110.7,123.0,SAC,0.568,0.553,0.2,0.189,11.4,86.5,45.7,34.7,7.6,5.8,8.0,110.7,116.4,117.0
201810170PHO,DAL,0.517,0.489,0.375,0.227,20.8,82.4,46.3,73.7,7.6,10.6,8.5,108.0,130.6,100.0,PHO,0.687,0.66,0.42,0.198,17.6,79.2,53.7,79.5,5.4,3.6,11.1,130.6,108.0,121.0
201810180PHI,CHI,0.508,0.49,0.327,0.119,10.2,75.6,41.5,63.6,3.7,10.5,10.1,99.6,117.2,108.0,PHI,0.523,0.479,0.34299999999999997,0.2935,18.299999999999997,83.6,52.3,60.55,8.45,10.05,12.5,100.30000000000001,100.15,127.0
201810180WAS,MIA,0.489,0.446,0.35050000000000003,0.289,33.75,77.8,54.2,53.95,4.9,8.15,12.75,104.19999999999999,105.2,113.0,WAS,0.57,0.512,0.321,0.481,17.5,60.0,42.1,50.0,6.9,24.2,12.5,109.9,110.8,112.0
201810180POR,LAL,0.563,0.522,0.323,0.312,16.7,73.1,46.0,51.1,9.0,9.5,12.4,107.0,115.1,119.0,POR,0.568,0.505,0.37,0.29,26.9,83.3,54.0,47.7,8.1,15.9,12.4,115.1,107.0,128.0
201810190MIL,IND,0.5685,0.5489999999999999,0.26,0.23349999999999999,28.5,80.35,56.099999999999994,49.25,4.4,9.55,16.549999999999997,107.45,100.6,101.0,MIL,0.5894999999999999,0.5705,0.4475,0.23049999999999998,25.6,82.44999999999999,56.55,61.65,6.75,9.5,16.3,111.30000000000001,102.7,118.0
201810190TOR,BOS,0.4985,0.4825,0.3725,0.1225,26.4,80.55,51.95,61.25,5.4,9.35,11.9,102.0,99.5,101.0,TOR,0.569,0.5515,0.3695,0.212,22.65,70.6,48.35,51.25,4.55,7.699999999999999,9.45,115.6,103.5,113.0
201810190BRK,NYK,0.5275000000000001,0.48150000000000004,0.311,0.2595,21.3,75.2,45.05,41.3,10.649999999999999,6.65,7.300000000000001,111.5,104.19999999999999,105.0,BRK,0.585,0.5455,0.36450000000000005,0.29400000000000004,23.4,74.5,53.15,64.75,5.55,8.05,18.05,107.05,107.5,107.0
201810190ORL,CHO,0.573,0.5465,0.413,0.22799999999999998,21.85,76.30000000000001,48.7,62.800000000000004,6.85,11.950000000000001,11.4,114.1,98.7,120.0,ORL,0.46099999999999997,0.4335,0.29800000000000004,0.2395,24.35,72.6,46.95,50.65,7.35,11.95,11.5,93.85,108.3,88.0
201810190UTA,GSW,0.589,0.55,0.246,0.198,29.6,74.85,54.7,60.900000000000006,8.25,13.5,15.649999999999999,112.94999999999999,108.55000000000001,124.0,UTA,0.623,0.5785,0.4295,0.40349999999999997,17.85,83.19999999999999,50.599999999999994,55.6,9.149999999999999,5.6,14.35,117.9,115.5,123.0
201810190LAC,OKC,0.452,0.4065,0.377,0.3245,28.200000000000003,70.85,47.85,58.25,8.399999999999999,8.0,10.85,95.65,107.69999999999999,92.0,LAC,0.5275000000000001,0.47150000000000003,0.3195,0.35850000000000004,19.450000000000003,72.4,46.8,60.0,3.05,9.55,11.75,104.44999999999999,100.9,108.0
201810190MIN,CLE,0.5455,0.484,0.2355,0.3855,29.05,79.15,52.55,53.9,4.4,1.6,12.6,111.35,121.15,123.0,MIN,0.5825,0.5125,0.248,0.34950000000000003,26.450000000000003,66.6,47.55,57.45,9.05,6.45,10.5,119.7,117.9,131.0
201810190NOP,SAC,0.584,0.563,0.23,0.23,14.899999999999999,78.95,44.3,41.35,6.5,4.45,9.4,113.30000000000001,125.15,129.0,NOP,0.644,0.628,0.2905,0.2855,30.6,82.44999999999999,58.2,65.85,6.6,6.199999999999999,11.35,130.55,112.35,149.0
201810190MEM,ATL,0.569,0.5445,0.3805,0.317,20.35,79.9,49.45,56.1,7.35,6.8,17.9,102.35,117.3,117.0,MEM,0.5435,0.49,0.33299999999999996,0.43200000000000005,16.549999999999997,68.69999999999999,41.75,68.35,10.15,6.4,10.3,106.19999999999999,114.55000000000001,131.0
201810200PHI,ORL,0.49966666666666665,0.4703333333333333,0.30600000000000005,0.241,26.166666666666668,72.7,48.5,58.96666666666666,7.333333333333333,11.799999999999999,11.766666666666666,102.7,112.7,115.0,PHI,0.545,0.509,0.3456666666666666,0.23099999999999998,21.23333333333333,79.13333333333333,51.0,64.8,8.433333333333332,8.333333333333334,11.4,107.36666666666667,106.90000000000002,116.0
201810200IND,BRK,0.585,0.5536666666666666,0.38633333333333336,0.2813333333333334,23.3,74.86666666666666,52.1,63.5,5.666666666666667,8.3,17.8,108.0,114.83333333333333,112.0,IND,0.5953333333333334,0.5796666666666667,0.26033333333333336,0.2353333333333333,27.133333333333336,79.2,54.06666666666666,46.56666666666666,6.866666666666667,9.766666666666667,14.033333333333331,114.8,103.7,132.0
201810200MIA,CHO,0.5646666666666667,0.54,0.426,0.2343333333333333,22.733333333333334,74.2,47.43333333333334,60.56666666666667,6.566666666666666,15.233333333333334,10.799999999999999,113.93333333333332,103.33333333333333,113.0,MIA,0.511,0.4713333333333334,0.36100000000000004,0.2936666666666667,32.5,77.03333333333333,54.5,53.03333333333334,4.6000000000000005,12.633333333333335,12.799999999999999,107.0,108.0,112.0
201810200WAS,TOR,0.567,0.5343333333333333,0.35633333333333334,0.2776666666666667,26.2,74.03333333333333,51.699999999999996,52.1,4.666666666666667,8.466666666666667,11.0,115.3,105.89999999999999,117.0,WAS,0.5589999999999999,0.5005,0.3795,0.4205,18.3,63.35,41.85,52.05,8.850000000000001,19.75,11.05,110.30000000000001,112.75,113.0
201810200CHI,DET,0.5185,0.476,0.3285,0.23349999999999999,31.25,86.3,54.25,52.5,4.5,7.6,9.8,110.55,108.05,118.0,CHI,0.5485,0.518,0.28400000000000003,0.209,12.05,71.15,43.55,61.35,3.85,7.7,10.1,107.85,117.65,116.0
201810200NYK,BOS,0.5103333333333334,0.474,0.35000000000000003,0.21566666666666667,25.566666666666663,79.23333333333333,51.46666666666667,62.03333333333333,6.3,7.5,12.433333333333332,102.56666666666666,100.23333333333333,103.0,NYK,0.5220000000000001,0.48200000000000004,0.3413333333333333,0.2763333333333333,22.0,75.5,46.53333333333333,48.833333333333336,9.799999999999999,5.033333333333334,9.5,108.23333333333333,104.03333333333332,101.0
201810200POR,SAS,0.5195000000000001,0.487,0.2845,0.226,32.8,73.0,49.8,62.0,4.2,6.65,7.75,116.0,120.9,108.0,POR,0.6114999999999999,0.565,0.3755,0.258,25.549999999999997,77.5,53.75,50.5,6.699999999999999,10.1,11.95,122.1,111.1,121.0
201810200DEN,PHO,0.5895,0.554,0.46299999999999997,0.3265,17.9,78.05000000000001,48.150000000000006,74.25,5.65,5.3,14.100000000000001,109.69999999999999,112.1,91.0,DEN,0.558,0.492,0.3025,0.41200000000000003,25.0,82.1,55.9,62.849999999999994,8.899999999999999,15.4,12.1,112.2,93.94999999999999,119.0
201810200LAL,HOU,0.5569999999999999,0.5265,0.48,0.28700000000000003,21.9,74.7,47.900000000000006,51.9,7.15,7.75,11.25,111.8,116.80000000000001,124.0,LAL,0.548,0.521,0.3215,0.246,17.35,73.0,45.45,54.7,8.2,14.0,10.45,106.7,114.94999999999999,115.0
201810200DAL,MIN,0.6113333333333334,0.5439999999999999,0.2723333333333333,0.39166666666666666,23.700000000000003,65.83333333333333,46.36666666666667,55.73333333333333,9.1,6.3999999999999995,11.766666666666666,121.36666666666667,121.40000000000002,136.0,DAL,0.5685,0.538,0.4425,0.287,28.25,82.1,51.15,66.45,7.449999999999999,12.3,10.45,118.2,127.65,140.0
201810210CLE,ATL,0.5876666666666667,0.5636666666666666,0.4136666666666667,0.276,20.533333333333335,76.60000000000001,48.73333333333333,59.63333333333333,7.733333333333333,7.766666666666666,15.299999999999999,110.06666666666666,113.10000000000001,133.0,CLE,0.5396666666666666,0.49433333333333335,0.248,0.304,29.366666666666664,79.13333333333334,52.6,52.6,4.5,2.3666666666666667,13.266666666666666,109.13333333333333,122.60000000000001,111.0
201810210DEN,GSW,0.5750000000000001,0.5333333333333333,0.28633333333333333,0.2333333333333333,24.733333333333334,74.0,51.800000000000004,60.96666666666667,6.866666666666667,12.700000000000001,16.0,108.73333333333333,106.5,98.0,DEN,0.5316666666666667,0.47533333333333333,0.32566666666666666,0.43733333333333335,25.900000000000002,83.06666666666666,55.26666666666667,61.9,9.7,12.933333333333332,10.433333333333332,108.93333333333334,96.06666666666666,100.0
201810210OKC,SAC,0.6006666666666667,0.5766666666666667,0.23399999999999999,0.256,18.833333333333332,74.43333333333334,45.333333333333336,46.23333333333333,7.666666666666667,6.566666666666667,10.966666666666667,115.23333333333335,119.8,131.0,OKC,0.472,0.433,0.37633333333333335,0.31233333333333335,30.333333333333332,71.66666666666667,49.43333333333334,55.5,8.933333333333332,9.666666666666666,11.666666666666666,100.13333333333333,111.5,120.0
