DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2015-10-29,201510290LAC,DAL,240,.425,.392,.309,.155,23.7,83.7,50.9,62.9,4.0,3.6,10.4,100.0,88.5,104.6,88,LAC,240,.512,.483,.356,.379,16.3,76.3,49.1,55.3,6.0,11.9,7.3,100.0,104.6,88.5,104
2015-10-30,201510300DET,CHI,265,.492,.446,.262,.310,16.3,67.7,45.0,52.9,7.6,10.5,16.6,100.0,88.9,92.7,94,DET,265,.421,.404,.269,.269,32.3,83.7,55.0,46.2,8.5,3.2,10.7,100.0,92.7,88.9,98
2015-10-30,201510300ORL,OKC,290,.548,.491,.245,.345,38.6,74.1,55.9,38.0,6.6,12.3,13.6,100.0,115.2,112.7,139,ORL,290,.554,.500,.311,.358,25.9,61.4,44.1,53.2,8.3,12.0,11.5,100.0,112.7,115.2,136
2015-10-30,201510300ATL,CHO,240,.501,.477,.341,.148,26.0,83.7,54.5,63.9,7.2,10.0,16.1,100.0,96.3,99.3,94,ATL,240,.523,.482,.277,.265,16.3,74.0,45.5,63.9,9.2,6.9,13.9,100.0,99.3,96.3,97
2015-10-30,201510300CLE,MIA,240,.531,.468,.273,.286,14.6,69.6,43.7,63.6,5.5,11.5,13.0,100.0,101.1,112.1,92,CLE,240,.535,.488,.291,.244,30.4,85.4,56.3,64.1,4.4,7.1,10.4,100.0,112.1,101.1,102
2015-10-30,201510300DEN,MIN,240,.533,.437,.155,.577,17.1,71.2,49.0,60.0,7.2,8.6,16.0,100.0,98.2,80.6,95,DEN,240,.376,.332,.263,.211,28.8,82.9,51.0,51.7,7.2,6.7,11.9,100.0,80.6,98.2,78
2015-10-30,201510300SAS,BRK,240,.449,.435,.208,.195,4.3,71.4,36.4,54.8,6.3,9.4,15.2,100.0,78.5,106.8,75,SAS,240,.556,.517,.256,.151,28.6,95.7,63.6,57.5,7.3,6.6,16.4,100.0,106.8,78.5,102
2015-10-30,201510300SAC,LAL,240,.565,.522,.382,.303,16.7,64.4,39.8,48.8,6.4,11.4,15.8,100.0,104.3,120.8,114,SAC,240,.578,.545,.218,.297,35.6,83.3,60.2,50.0,5.5,12.7,10.9,100.0,120.8,104.3,132
2015-10-30,201510300HOU,GSW,240,.538,.511,.280,.269,22.9,75.0,49.0,60.5,9.1,6.8,7.1,100.0,113.6,93.3,112,HOU,240,.470,.396,.280,.439,25.0,77.1,51.0,63.3,3.0,13.4,14.1,100.0,93.3,113.6,92
2015-10-30,201510300PHO,POR,240,.487,.448,.279,.221,20.0,73.8,43.3,50.0,8.5,7.7,19.6,100.0,87.0,104.1,92,PHO,240,.542,.470,.217,.506,26.2,80.0,56.7,45.9,12.3,11.3,15.8,100.0,104.1,87.0,110
2015-10-31,201510310IND,UTA,240,.506,.477,.170,.205,35.7,82.1,58.0,38.5,13.8,7.5,15.1,100.0,103.3,80.9,97,IND,240,.480,.429,.243,.300,17.9,64.3,42.0,35.7,8.5,9.6,23.2,100.0,80.9,103.3,76
2015-10-31,201510310POR,PHO,240,.500,.473,.340,.170,23.9,78.7,51.6,41.0,11.3,12.2,11.4,100.0,103.6,92.3,101,POR,240,.493,.468,.380,.354,21.3,76.1,48.4,60.6,7.2,8.1,14.9,100.0,92.3,103.6,90
2015-10-31,201510310LAC,SAC,240,.487,.455,.178,.248,35.2,83.3,54.4,46.5,8.7,3.4,10.4,100.0,105.3,110.2,109,LAC,240,.592,.539,.224,.605,16.7,64.8,45.6,64.1,3.9,10.8,15.0,100.0,110.2,105.3,114
2015-10-31,201510310WAS,NYK,240,.585,.529,.221,.372,22.0,73.8,48.2,51.2,7.6,7.4,15.2,100.0,110.5,103.8,117,WAS,240,.526,.456,.244,.367,26.2,78.0,51.8,44.7,8.5,4.5,14.0,100.0,103.8,110.5,110
2015-10-31,201510310NOP,GSW,240,.674,.649,.357,.417,8.6,68.6,44.2,56.5,9.5,5.1,9.1,100.0,127.3,114.0,134,NOP,240,.545,.500,.220,.230,31.4,91.4,55.8,47.8,3.8,7.4,12.0,100.0,114.0,127.3,120
2015-10-31,201510310MEM,BRK,240,.523,.500,.165,.228,20.5,76.1,50.6,55.3,3.4,5.3,12.1,100.0,102.5,113.7,91,MEM,240,.547,.481,.288,.350,23.9,79.5,49.4,76.5,6.8,3.0,8.9,100.0,113.7,102.5,101
2015-11-01,201511010TOR,MIL,240,.547,.457,.275,.348,20.0,59.1,41.8,72.4,6.8,12.3,18.5,100.0,98.0,119.4,87,TOR,240,.536,.517,.278,.222,40.9,80.0,58.2,53.7,13.5,6.0,11.6,100.0,119.4,98.0,106
2015-11-01,201511010BOS,SAS,240,.505,.464,.229,.301,25.6,71.9,53.1,61.1,10.1,8.7,16.1,100.0,95.6,87.5,95,BOS,240,.418,.388,.296,.143,28.1,74.4,46.9,60.0,10.1,7.8,13.3,100.0,87.5,95.6,87
2015-11-01,201511010CHO,ATL,240,.499,.460,.330,.159,20.0,81.3,51.6,59.5,9.7,12.2,10.5,100.0,101.2,99.0,94,CHO,240,.497,.453,.430,.174,18.8,80.0,48.4,84.4,7.5,22.0,10.6,100.0,99.0,101.2,92
2015-11-01,201511010CHI,ORL,240,.446,.428,.256,.189,25.0,73.8,47.8,60.0,7.3,18.6,14.1,100.0,90.7,96.0,87,CHI,240,.476,.420,.322,.253,26.2,75.0,52.2,69.7,7.3,11.9,11.9,100.0,96.0,90.7,92
2015-11-01,201511010MIA,HOU,240,.512,.468,.456,.228,7.5,73.8,41.5,62.5,9.3,4.7,16.4,100.0,92.0,112.7,89,MIA,240,.572,.541,.256,.244,26.2,92.5,58.5,57.1,11.4,11.6,11.2,100.0,112.7,92.0,109
2015-11-01,201511010OKC,DEN,240,.463,.429,.283,.207,27.5,61.8,41.2,57.1,8.4,4.9,11.5,100.0,97.2,122.3,93,OKC,240,.623,.599,.291,.209,38.2,72.5,58.8,71.1,9.4,15.2,16.8,100.0,122.3,97.2,117
2015-11-01,201511010LAL,DAL,240,.548,.523,.345,.184,19.0,83.7,53.8,70.0,5.2,7.8,10.5,100.0,106.4,96.1,103,LAL,240,.478,.424,.400,.329,16.3,81.0,46.2,58.1,8.3,15.8,11.0,100.0,96.1,106.4,93
2015-11-02,201511020PHI,CLE,240,.596,.568,.272,.247,20.0,80.0,53.8,66.7,5.2,14.8,15.1,100.0,110.4,103.2,107,PHI,240,.526,.488,.282,.271,20.0,80.0,46.3,57.9,7.2,8.5,12.0,100.0,103.2,110.4,100
2015-11-02,201511020BRK,MIL,240,.610,.582,.315,.356,24.2,73.7,50.7,63.2,6.6,11.7,14.2,100.0,113.2,105.5,103,BRK,240,.541,.494,.241,.278,26.3,75.8,49.3,58.3,3.3,8.0,16.9,100.0,105.5,113.2,96
2015-11-02,201511020NYK,SAS,240,.543,.519,.165,.215,20.0,68.5,47.9,53.8,6.7,9.2,13.1,100.0,105.4,94.1,94,NYK,240,.428,.382,.146,.236,31.5,80.0,52.1,53.1,9.0,4.5,9.2,100.0,94.1,105.4,84
2015-11-02,201511020GSW,MEM,240,.329,.286,.240,.208,16.7,76.7,40.4,80.8,7.9,11.9,9.5,100.0,68.2,117.6,69,GSW,240,.612,.577,.298,.357,23.3,83.3,59.6,74.4,7.9,17.8,12.6,100.0,117.6,68.2,119
2015-11-02,201511020HOU,OKC,240,.560,.536,.274,.262,34.1,85.4,61.8,42.5,6.8,15.0,20.4,100.0,102.0,106.9,105,HOU,240,.540,.511,.326,.326,14.6,65.9,38.2,53.7,17.5,11.5,10.5,100.0,106.9,102.0,110
2015-11-02,201511020LAC,PHO,240,.448,.413,.306,.214,27.1,92.9,54.5,63.9,8.2,1.8,7.7,100.0,98.3,104.5,96,LAC,240,.560,.506,.321,.284,7.1,72.9,45.5,54.1,4.1,7.4,10.8,100.0,104.5,98.3,102
2015-11-02,201511020MIN,POR,240,.542,.511,.337,.225,25.0,81.4,52.9,43.9,5.0,9.1,14.1,100.0,105.6,100.6,106,MIN,240,.525,.449,.165,.494,18.6,75.0,47.1,64.7,10.0,6.8,13.5,100.0,100.6,105.6,101
2015-11-03,201511030DET,IND,240,.504,.472,.261,.136,27.9,61.2,45.7,55.3,16.1,7.8,13.9,100.0,100.7,87.9,94,DET,240,.439,.413,.256,.198,38.8,72.1,54.3,42.4,8.6,7.7,19.7,100.0,87.9,100.7,82
2015-11-03,201511030CHO,CHI,240,.561,.567,.333,.089,9.1,70.7,38.8,59.1,5.1,0.0,11.4,100.0,107.1,132.6,105,CHO,240,.643,.593,.253,.253,29.3,90.9,61.2,55.3,6.1,6.7,8.2,100.0,132.6,107.1,130
2015-11-03,201511030MIA,ATL,240,.492,.450,.233,.244,30.8,72.9,51.0,67.6,10.4,1.7,13.1,100.0,101.6,95.4,98,MIA,240,.494,.471,.326,.186,27.1,69.2,49.0,34.2,10.4,13.0,16.2,100.0,95.4,101.6,92
2015-11-03,201511030LAL,DEN,240,.608,.547,.235,.365,27.5,77.6,55.1,69.8,5.0,11.7,12.4,100.0,121.1,110.0,120,LAL,240,.531,.453,.302,.442,22.4,72.5,44.9,50.0,9.1,6.2,8.9,100.0,110.0,121.1,109
2015-11-03,201511030SAC,MEM,240,.548,.500,.241,.301,30.8,82.6,58.8,57.5,5.3,13.0,14.5,100.0,108.7,93.9,103,SAC,240,.486,.439,.270,.541,17.4,69.2,41.2,58.6,8.4,1.6,12.4,100.0,93.9,108.7,89
2015-11-03,201511030DAL,TOR,240,.546,.482,.207,.317,25.0,72.5,51.6,48.6,8.3,9.5,14.6,100.0,106.4,94.9,102,DAL,240,.469,.424,.267,.291,27.5,75.0,48.4,60.6,5.2,4.6,13.4,100.0,94.9,106.4,91
2015-11-03,201511030NOP,ORL,240,.541,.506,.200,.133,21.7,81.8,54.5,57.1,4.9,5.6,15.9,100.0,100.8,92.0,103,NOP,240,.465,.422,.400,.278,18.2,78.3,45.5,71.9,11.7,12.5,12.2,100.0,92.0,100.8,94
