DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
10/25/2016,201610250GSW,SAS,240,0.589,0.541,0.245,0.265,43.8,81,61.1,53.2,13.2,5.8,10.6,100,131.3,101.8,GSW,240,0.538,0.512,0.388,0.212,19,56.3,38.9,60,11.2,8.1,14.7,100,101.8,131.3
10/25/2016,201610250CLE,NYK,240,0.459,0.42,0.31,0.23,24.5,72.5,45.2,53.1,6,10.2,15.8,100,88.1,117.1,CLE,240,0.572,0.548,0.372,0.202,27.5,75.5,54.8,68.9,12,8.3,12,100,117.1,88.1
10/25/2016,201610250POR,UTA,240,0.584,0.537,0.293,0.195,17.1,83.3,47.7,47.5,9.9,8.9,11,100,114.9,124.8,POR,240,0.667,0.607,0.253,0.293,16.7,82.9,52.3,56.4,5.5,5.2,12.4,100,124.8,114.9
10/26/2016,201610260MIL,CHO,240,0.537,0.489,0.258,0.27,23.4,80,52.6,67.5,5.2,13.2,9.1,100,110.9,99.5,MIL,240,0.476,0.44,0.174,0.217,20,76.6,47.4,59,4.1,7.6,7.4,100,99.5,110.9
10/26/2016,201610260BOS,BRK,240,0.553,0.521,0.454,0.206,30,70.7,48.4,51.2,7.8,5.3,13.1,100,113.6,118.4,BOS,240,0.629,0.601,0.36,0.202,29.3,70,51.6,75,12.6,17,16.4,100,118.4,113.6
10/26/2016,201610260TOR,DET,240,0.486,0.44,0.262,0.262,17.8,69.6,44,48.6,8.4,0,12.2,100,95.6,114.5,TOR,240,0.552,0.494,0.209,0.337,30.4,82.2,56,41.5,8.4,0,10,100,114.5,95.6
10/26/2016,201610260PHI,OKC,240,0.488,0.447,0.234,0.277,25.5,88.9,55.2,48.7,7,5,8.7,100,102.6,96.7,PHI,240,0.511,0.47,0.286,0.298,11.1,74.5,44.8,58.3,5,13.9,12,100,96.7,102.6
10/26/2016,201610260ORL,MIA,240,0.519,0.505,0.165,0.165,34.8,70.6,53.6,57.4,5.3,9.9,8.8,100,114.5,101.8,ORL,240,0.474,0.416,0.202,0.315,29.4,65.2,46.4,58.8,5.3,4.9,9.8,100,101.8,114.5
10/26/2016,201610260IND,DAL,265,0.541,0.519,0.462,0.173,18.5,83,48.5,57.8,7,10.8,11.8,100,105.8,113.7,IND,265,0.602,0.559,0.204,0.366,17,81.5,51.5,63.8,9.6,10.7,12.9,100,113.7,105.8
10/26/2016,201610260LAL,HOU,240,0.582,0.552,0.337,0.314,26.3,72.5,50,65.9,10.1,1.9,12.5,100,114.7,120.7,LAL,240,0.608,0.573,0.393,0.247,27.5,73.7,50,46.7,10.1,7,13.2,100,120.7,114.7
10/26/2016,201610260MEM,MIN,240,0.496,0.453,0.209,0.337,30.6,73.2,50,55.6,6.6,8.9,9.2,100,107.5,111.8,MEM,240,0.555,0.519,0.3,0.338,26.8,69.4,50,52.8,6.6,16.2,12.4,100,111.8,107.5
10/26/2016,201610260NOP,DEN,240,0.549,0.494,0.289,0.398,28.2,90.4,63.7,48.6,6.5,5.5,19.7,100,99.9,95.3,NOP,240,0.493,0.429,0.207,0.283,9.6,71.8,36.3,81.6,14.9,8.5,9.6,100,95.3,99.9
10/26/2016,201610260PHO,SAC,240,0.58,0.547,0.244,0.302,24.4,75.6,50,54.5,5.2,8.2,11.8,100,116.8,97.1,PHO,240,0.529,0.494,0.208,0.351,24.4,75.6,50,55.6,6.2,4.6,16.8,100,97.1,116.8
10/27/2016,201610270CHI,BOS,240,0.572,0.553,0.303,0.316,7.5,64.7,39.6,57.9,6.4,9,11.3,100,105.1,111.5,CHI,240,0.499,0.451,0.272,0.326,35.3,92.5,60.4,69.4,5.3,1.9,10.2,100,111.5,105.1
10/27/2016,201610270ATL,WAS,240,0.486,0.457,0.213,0.191,24,66.7,43.5,62.5,13.5,6.5,15.7,100,95.7,110.2,ATL,240,0.594,0.568,0.295,0.205,33.3,76,56.5,63.6,12.6,9.5,18,100,110.2,95.7
10/27/2016,201610270POR,LAC,240,0.512,0.451,0.319,0.505,27.8,78.6,50,32.4,9.9,6,5.9,100,113.1,105.2,POR,240,0.535,0.482,0.212,0.376,21.4,72.2,50,46.2,4,6.5,12.4,100,105.2,113.1
10/27/2016,201610270SAC,SAS,240,0.561,0.494,0.228,0.342,20.9,83.8,50,63.9,11,16,9,100,112,103.2,SAC,240,0.542,0.443,0.286,0.543,16.2,79.1,50,78.6,7.7,0,14.7,100,103.2,112
10/28/2016,201610280TOR,CLE,240,0.53,0.494,0.405,0.278,21.4,63.3,44,60.6,8.5,4.1,16.1,100,100.1,96.9,TOR,240,0.465,0.411,0.178,0.2,36.7,78.6,56,34.3,9.6,6.4,15.5,100,96.9,100.1
10/28/2016,201610280BRK,IND,240,0.44,0.413,0.245,0.204,25.9,74.5,48.5,59.5,7,11.1,10.9,100,94.1,103.2,BRK,240,0.538,0.494,0.379,0.23,25.5,74.1,51.5,52.6,6,5.4,14.3,100,103.2,94.1
10/28/2016,201610280MIA,CHO,240,0.473,0.418,0.239,0.261,24.1,76.6,48.5,57.1,10.3,17.3,7.2,100,99.8,93.6,MIA,240,0.48,0.453,0.395,0.233,23.4,75.9,51.5,59.4,2.1,5.7,16.7,100,93.6,99.8
10/28/2016,201610280UTA,LAL,240,0.477,0.435,0.274,0.25,24.4,71.1,47.8,50,6.5,14,13.1,100,96.6,104.2,UTA,240,0.518,0.453,0.333,0.533,28.9,75.6,52.2,45.2,4.3,11.5,13.1,100,104.2,96.6
10/28/2016,201610280OKC,PHO,265,0.509,0.473,0.298,0.34,14,72.5,43.6,35.7,9.5,4,12.2,100,95.3,97.9,OKC,265,0.501,0.443,0.219,0.396,27.5,86,56.4,32.5,9.5,4.5,16.3,100,97.9,95.3
10/28/2016,201610280DET,ORL,240,0.409,0.389,0.274,0.126,24.1,76.9,45.4,60.6,8.4,3.9,8.2,100,86.1,113.3,DET,240,0.553,0.542,0.2,0.063,23.1,75.9,54.6,56.3,8.4,5.8,10.9,100,113.3,86.1
10/28/2016,201610280NOP,GSW,240,0.59,0.533,0.308,0.308,19.6,76.9,50,72.7,7.4,2.6,11.9,100,113.2,105.8,NOP,240,0.518,0.495,0.22,0.23,23.1,80.4,50,61.7,7.4,7.9,10.6,100,105.8,113.2
10/29/2016,201610290PHI,ATL,240,0.547,0.524,0.235,0.271,14.6,91.1,54.7,73.8,11,11.3,11.2,100,103.7,71.8,PHI,240,0.416,0.381,0.225,0.188,8.9,85.4,45.3,57.1,9,7.7,18.8,100,71.8,103.7
10/29/2016,201610290MIL,BRK,240,0.561,0.506,0.405,0.333,23.4,81,50.6,62.2,11.8,9.1,15.7,100,106.2,108.1,MIL,240,0.558,0.511,0.25,0.273,19,76.6,49.4,61,13.8,10,12.4,100,108.1,106.2
