GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201510270ATL,DET,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,111.2,98.6,106.0,ATL,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,98.6,111.2,94.0
201510270CHI,CLE,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,95.5,97.5,95.0,CHI,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,97.5,95.5,97.0
201510270GSW,NOP,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,94.9,110.9,95.0,GSW,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,110.9,94.9,111.0
201510280TOR,IND,0.497,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,95.5,102.3,99.0,TOR,0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,102.3,95.5,106.0
201510280MIL,NYK,0.563,0.5,0.247,0.376,39.6,62.5,51.0,57.1,11.6,10.3,9.2,128.2,101.9,122.0,MIL,0.487,0.401,0.209,0.36,37.5,60.4,49.0,56.7,7.4,5.7,15.3,101.9,128.2,97.0
201510280BRK,CHI,0.5805,0.547,0.2885,0.26,14.95,73.2,47.45,41.35,7.55,9.5,14.9,106.8,98.25,115.0,BRK,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,101.0,116.1,100.0
201510280DET,UTA,0.516,0.48,0.16,0.28,10.3,81.0,46.9,42.9,4.5,9.1,12.5,96.9,102.4,87.0,DET,0.505,0.4505,0.27949999999999997,0.365,30.05,86.7,56.35,57.75,3.7,5.9,11.2,106.80000000000001,97.75,92.0
201510280ORL,WAS,0.463,0.435,0.333,0.298,27.8,66.7,46.7,51.5,8.3,12.2,15.2,91.6,90.5,88.0,ORL,0.413,0.395,0.26,0.12,33.3,72.2,53.3,54.1,9.4,10.7,11.7,90.5,91.6,87.0
201510280MIA,CHO,0.486,0.429,0.286,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,102.4,113.2,94.0,MIA,0.632,0.575,0.274,0.288,5.9,78.0,48.8,63.9,5.4,11.7,13.6,113.2,102.4,104.0
201510280BOS,PHI,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,95.5,112.6,95.0,BOS,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,112.6,95.5,112.0
201510280POR,NOP,0.488,0.457,0.29,0.2615,14.3,69.65,40.2,56.4,7.95,4.05,12.95,94.0,110.95,94.0,POR,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,111.0,93.1,112.0
