DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/14/2018,201804140PHI,MIA,240,0.568,0.532,0.338,0.403,21.4,65.3,45.1,71.4,4.1,9,15,100,106.3,134.2,PHI,240,0.603,0.568,0.295,0.305,34.7,78.6,54.9,75.6,9.3,7.8,8.5,100,134.2,106.3
4/14/2018,201804140TOR,WAS,240,0.564,0.523,0.244,0.209,15.4,85.3,47.9,70.7,11.3,6.4,12.2,100,108.6,116.8,TOR,240,0.664,0.636,0.39,0.26,14.7,84.6,52.1,63.4,6.1,10.8,16.5,100,116.8,108.6
4/14/2018,201804140GSW,SAS,240,0.508,0.456,0.275,0.3,6.8,73,37,59.4,9.4,6.8,11.7,100,95.7,117.6,GSW,240,0.623,0.605,0.272,0.272,27,93.2,63,72.7,6.2,10.3,14.2,100,117.6,95.7
4/14/2018,201804140POR,NOP,240,0.537,0.523,0.279,0.116,15.9,73.7,48.5,63.4,8.2,20.3,13.4,100,100,98,POR,240,0.46,0.439,0.398,0.122,26.3,84.1,51.5,45.9,10.3,9.7,10.4,100,98,100
4/15/2018,201804150BOS,MIL,265,0.572,0.53,0.253,0.289,12.8,77.1,48.3,55,7.5,11.8,17.6,100,100.5,106.1,BOS,265,0.534,0.473,0.277,0.287,22.9,87.2,51.7,51.3,7.5,8.1,12.4,100,106.1,100.5
4/15/2018,201804150CLE,IND,240,0.544,0.525,0.354,0.316,17.8,80,48.9,52.8,13.1,9.1,10.9,100,106.8,87.2,CLE,240,0.461,0.436,0.436,0.256,20,82.2,51.1,70,7.6,7.8,15.6,100,87.2,106.8
4/15/2018,201804150OKC,UTA,240,0.564,0.534,0.322,0.23,19.6,78.6,47.7,43.9,10,12.5,12.8,100,107.7,115.7,OKC,240,0.61,0.565,0.341,0.271,21.4,80.4,52.3,39,8,8.5,15.2,100,115.7,107.7
4/15/2018,201804150HOU,MIN,240,0.547,0.488,0.288,0.35,27.5,81.8,56,62.9,3.2,4.3,12.3,100,108.8,112.1,HOU,240,0.558,0.53,0.446,0.277,18.2,72.5,44,38.5,8.6,14,10.6,100,112.1,108.8
4/16/2018,201804160PHI,MIA,240,0.593,0.543,0.305,0.366,25.6,67.3,48.4,57.5,8.1,11.7,13.6,100,114.9,104.7,PHI,240,0.487,0.453,0.375,0.229,32.7,74.4,51.6,55,7.1,8.8,11.7,100,104.7,114.9
4/16/2018,201804160GSW,SAS,240,0.514,0.435,0.329,0.353,21.4,81.3,47.3,45.7,10.6,4.3,8.4,100,107.4,123.3,GSW,240,0.668,0.622,0.397,0.256,18.8,78.6,52.7,78,5.3,8.8,14.7,100,123.3,107.4
