GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201210300MIA,BOS,0.53519403,0.49641791,0.194164179,0.261776119,19.33880597,72.49552239,47.2,66.34776119,8.364179104,8.682089552,13.97313433,101.8865672,99.30298507,107,MIA,0.551544118,0.506838235,0.200764706,0.313617647,26.43382353,73.79117647,51.00588235,53.75147059,9.685294118,9.013235294,13.98529412,108.0911765,100.9647059,120
201210300CLE,WAS,0.508484848,0.473090909,0.196484848,0.255924242,27.04090909,71.34393939,49.01363636,52.23030303,8.653030303,10.05909091,13.60606061,101.7515152,107.0257576,84,CLE,0.506,0.464136364,0.237636364,0.310242424,28.72424242,72.37575758,49.74393939,57.6969697,7.740909091,6.256060606,13.69242424,101.8621212,109.7742424,94
201210300LAL,DAL,0.527970588,0.489029412,0.271352941,0.253705882,23.29264706,75.19852941,49.35,57.10441176,9.327941176,8.252941176,12.95,104.1955882,103.2176471,99,LAL,0.535029851,0.492552239,0.209970149,0.299776119,28.93880597,74.97462687,53.04925373,60.9880597,6.443283582,8.125373134,13.70298507,106.6970149,104.9358209,91
201210310TOR,IND,0.524823529,0.473294118,0.198720588,0.323411765,29.15147059,72.775,50.89558824,51.73088235,8.738235294,9.025,12.39117647,107.4308824,103.6558824,90,TOR,0.518863636,0.476454545,0.209333333,0.275833333,25.68939394,75.57878788,50.86515152,60.90606061,7.242424242,8.184848485,14.18636364,101.5727273,105.3212121,88
201210310PHI,DEN,0.555671642,0.515044776,0.243164179,0.32819403,27.69701493,74.37313433,51.67164179,61.53432836,8.565671642,8.035820896,13.70447761,109.7358209,107.038806,75,PHI,0.511626866,0.479507463,0.174014925,0.221925373,24.10447761,75.55820896,49.5358209,58.77910448,8.908955224,7.962686567,10.39104478,104.5910448,100.1477612,84
201210310DET,HOU,0.530651515,0.493409091,0.240363636,0.238515152,27.3469697,73.79090909,50.16515152,56.38181818,8.133333333,7.4,12.99090909,106.4090909,106.1030303,105,DET,0.511681818,0.469893939,0.175742424,0.284863636,28.19393939,73.17575758,49.87878788,53.57424242,7.806060606,6.853030303,14.11212121,102.1257576,107.4833333,96
201210310CHI,SAC,0.511363636,0.472848485,0.228984848,0.271818182,28.74393939,70.98787879,48.8469697,50.89393939,8.959090909,7.404545455,12.51969697,104.4575758,110.430303,87,CHI,0.525716418,0.492164179,0.204507463,0.258552239,32.45820896,74.48656716,53.85820896,61.77910448,7.726865672,8.611940299,12.76567164,108.241791,98.85522388,93
201210310POR,LAL,0.502,0.513,0.169,0.403,32.6,77.5,53.5,63.2,6.6,7.1,13.4,99.9,108.7,106,POR,0.531833333,0.487863636,0.256378788,0.267393939,26.14090909,72.76212121,49.03636364,56.05151515,8.710606061,7.762121212,13.07878788,106.5484848,107.2409091,116
201210310UTA,DAL,0.533,0.5,0.176,0.212,22.5,67.4,46.5,55,9.9,7.8,10.6,108.7,99.9,94,UTA,0.526492537,0.482462687,0.15341791,0.306044776,30.05373134,74.30298507,51.77313433,56.9880597,8.929850746,9.450746269,12.60447761,107.3850746,107.038806,113
201210310LAC,MEM,0.516731343,0.474791045,0.157208955,0.281522388,29.6761194,72.69850746,50.77313433,53.21343284,10.4,8.691044776,13.14477612,104.8865672,102.6940299,92,LAC,0.534507463,0.504447761,0.269044776,0.29138806,29.09104478,73.15970149,50.96567164,56.44477612,9.426865672,8.280597015,11.94626866,109.5134328,106.741791,101
201210310NOH,SAS,0.562716418,0.53,0.256567164,0.266059701,24.99253731,76.0761194,51.0880597,58.51044776,8.020895522,6.628358209,12.44626866,111.5104478,103.7552239,99,NOH,0.519651515,0.478393939,0.152363636,0.281515152,27.2969697,73.45757576,50.65757576,59.59242424,8.406060606,8.171212121,14.47878788,101.8166667,105.9757576,95
201210310PHO,GSW,0.540090909,0.506742424,0.248878788,0.229712121,22.62878788,69.17575758,46.12424242,59.02878788,8.628787879,8.778787879,12.9,105.9681818,109.6606061,87,PHO,0.536515152,0.500106061,0.238318182,0.259318182,25.55,71.92424242,49.04393939,59.81969697,7.065151515,8.356060606,12.83333333,106.9651515,107.0984848,85
201211010SAS,OKC,0.568764706,0.516779412,0.251558824,0.340338235,27.14558824,72.5,51.37352941,49.58676471,8.075,12.15294118,14.98382353,110.3235294,103.8897059,84,SAS,0.541,0.513,0.25,0.325,22.7,78.6,50,57.9,9.6,12.7,14.1,105.8,101.6,86
201211020BOS,MIL,0.521772727,0.482257576,0.22469697,0.254242424,27.58939394,71.07272727,48.71969697,61.43030303,8.881818182,7.956060606,12.58939394,106.069697,105.7272727,99,BOS,0.613,0.56,0.173,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,113.2,127,88
201211020ORL,DEN,0.404,0.398,0.205,0.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,80.8,90.4,89,ORL,0.531397059,0.503308824,0.345397059,0.294205882,26.14705882,75.48676471,50.475,58.00294118,7.591176471,6.761764706,13.80588235,105.3102941,104.7558824,102
201211020CHA,IND,0.529,0.506,0.141,0.205,25,71.2,52.3,59.5,3.3,13.5,17.5,98.8,96.6,89,CHA,0.483954545,0.440075758,0.168666667,0.280712121,23.25606061,71.15606061,46.37878788,60.37878788,6.601515152,8.418181818,13.11060606,95.85,111.2590909,90
201211020ATL,HOU,0.589,0.557,0.342,0.291,31.6,76.7,55.6,71.8,12.7,4.8,18.3,111,101.5,109,ATL,0.534746269,0.499955224,0.249671642,0.260164179,23.70149254,74.64328358,49.41940299,60.75522388,8.813432836,7.13880597,12.81791045,105.6104478,101.8179104,102
201211020GSW,MEM,0.464,0.395,0.163,0.349,35.4,77.1,53,72.7,14.4,6.8,15.4,94.5,103.7,104,GSW,0.453,0.413,0.198,0.267,34,74.4,52.7,57.6,9.6,5.1,15.8,92.8,90.6,94
201211020NYK,MIA,0.645,0.595,0.203,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,127,113.2,84,NYK,0.533205882,0.491161765,0.287779412,0.308147059,26.78382353,73.98529412,50.03235294,55.52941176,10.03970588,6.645588235,14.34705882,105.2397059,102.4661765,104
201211020CLE,CHI,0.497,0.43,0.114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,98,91.6,115,CLE,0.53,0.5,0.253,0.278,46.2,66.7,58.1,61.1,8,8.6,18.4,106.9,95.5,86
