GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201801280NOP,Los Angeles Clippers,38.91176471,84,10.55882353,28.41176471,18.32352941,25,9.294117647,33.13235294,42.42647059,21.19117647,7.338235294,4.176470588,12.91176471,20.52941176,106.7058824,112,New Orleans Pelicans,41.07692308,87.18461538,10.09230769,28.52307692,17.67692308,22.78461538,8.569230769,35.63076923,44.2,25.53846154,8.138461538,5.646153846,13.12307692,18.69230769,109.9230769,103
201801280OKC,Philadelphia 76ers,38.32307692,84.90769231,10.26153846,29.07692308,17.2,22.52307692,10.15384615,33.50769231,43.66153846,23.56923077,8.553846154,4.661538462,16.86153846,23.06153846,104.1076923,112,Oklahoma City Thunder,40.66666667,86.4057971,8.913043478,26.08695652,18.56521739,25.43478261,11.8115942,33.85507246,45.66666667,21.23188406,8.405797101,5.188405797,14.44927536,20.08695652,108.8115942,122
201801280SAS,Sacramento Kings,37.56521739,84.10144928,8.608695652,23.23188406,15.07246377,20.47826087,9.47826087,31.2173913,40.69565217,21.8115942,8.057971014,4.246376812,13.5942029,20.37681159,98.8115942,98,San Antonio Spurs,39.49275362,82.88405797,9.695652174,24.42028986,17,21.37681159,9.376811594,34.2173913,43.5942029,24.65217391,7.623188406,5.869565217,12.84057971,17.34782609,105.6811594,113
201801280TOR,Los Angeles Lakers,38.84375,87.875,8.78125,26.421875,16.96875,23.1875,11.25,32.53125,43.78125,20.78125,8.21875,4.328125,15.390625,22.125,103.4375,111,Toronto Raptors,40.74242424,86.13636364,9.924242424,26.25757576,19.68181818,24.71212121,10.92424242,33.84848485,44.77272727,20.72727273,7.727272727,5.878787879,12.12121212,20.84848485,111.0909091,123
201801290ATL,Minnesota Timberwolves,39.70588235,85.23529412,7.044117647,21.01470588,19.14705882,23.61764706,10.82352941,30.5,41.32352941,22.30882353,8.323529412,4.397058824,12.79411765,18.79411765,105.6029412,100,Atlanta Hawks,38.78571429,84.64285714,9.757142857,27.77142857,17.78571429,23.9,10.35714286,32.57142857,42.92857143,25.07142857,8.042857143,4.485714286,14.98571429,18.87142857,105.1142857,105
201801290DAL,Miami Heat,37.88235294,84.79411765,9.955882353,27.89705882,14.47058824,19.76470588,10.17647059,33.10294118,43.27941176,21.98529412,7.294117647,5.808823529,13.08823529,20.58823529,100.1911765,95,Dallas Mavericks,36.79710145,83.28985507,10.95652174,30.69565217,15.97101449,19.86956522,8.101449275,33.1884058,41.28985507,21.4057971,7.31884058,3.855072464,11.57971014,19.13043478,100.5217391,88
201801290DEN,Boston Celtics,38.11594203,84.42028986,11.71014493,32.97101449,17.08695652,21.63768116,8.594202899,33.28985507,41.88405797,22.76811594,7.420289855,3.811594203,12.37681159,20.84057971,105.0289855,111,Denver Nuggets,41.35820896,86.2238806,11,29.14925373,18.26865672,24.2238806,11.05970149,34.7761194,45.8358209,27.19402985,7.343283582,4.208955224,14.47761194,18.44776119,111.9850746,110
201801290IND,Charlotte Hornets,37.43548387,85.53225806,9.806451613,27.72580645,18.79032258,23.77419355,9.193548387,34.77419355,43.96774194,21.51612903,6.951612903,4.112903226,12.12903226,17.53225806,103.4677419,96,Indiana Pacers,40.61428571,85.3,9.2,24.3,16.72857143,21.27142857,9.042857143,33.64285714,42.68571429,22.04285714,7.8,5.314285714,12.57142857,18.92857143,107.1571429,105
201801290MEM,Phoenix Suns,38.92537313,87.47761194,8.164179104,24.44776119,19.86567164,25.82089552,11.20895522,32.40298507,43.6119403,20.46268657,8.164179104,4,14.92537313,23.70149254,105.880597,109,Memphis Grizzlies,35.97222222,82.76388889,9.097222222,26.18055556,18.65277778,23.625,10.70833333,32.31944444,43.02777778,21.25,7.583333333,5.180555556,13.25,22.86111111,99.69444444,120
201801290MIL,Philadelphia 76ers,38.28787879,84.86363636,10.13636364,29.03030303,17.25757576,22.53030303,10.15151515,33.5,43.65151515,23.54545455,8.5,4.651515152,16.81818182,22.96969697,103.969697,95,Milwaukee Bucks,38.91428571,80.95714286,8.542857143,23.31428571,18.74285714,23.98571429,8.028571429,31.11428571,39.14285714,23.78571429,8.428571429,5.257142857,12.97142857,20.71428571,105.1142857,107
201801300DET,Cleveland Cavaliers,38.58823529,84.19117647,12.79411765,34.07352941,18.13235294,23.10294118,9.117647059,33.39705882,42.51470588,21.08823529,6.529411765,3.691176471,13.86764706,19,108.1029412,114,Detroit Pistons,40.04615385,87.83076923,9.215384615,25.10769231,14.33846154,19.95384615,10.52307692,35.33846154,45.86153846,23.06153846,7.492307692,3.692307692,12.06153846,18.07692308,103.6461538,125
201801300HOU,Orlando Magic,39.36231884,87.05797101,9.594202899,28,15.43478261,20.44927536,9.144927536,32.23188406,41.37681159,23.49275362,7.086956522,4.463768116,13.37681159,19.95652174,103.7536232,107,Houston Rockets,40.24285714,86.5,14.82857143,41.47142857,21.45714286,28.12857143,10.61428571,34.1,44.71428571,24.47142857,8.557142857,4.428571429,13.68571429,19.77142857,116.7714286,114
201801300LAC,Portland Trail Blazers,38.57971014,86.24637681,9.608695652,26.53623188,18.47826087,23.24637681,10.20289855,34.11594203,44.31884058,19.65217391,7.115942029,5.376811594,13.62318841,21.60869565,105.2463768,104,Los Angeles Clippers,39.54929577,82.78873239,9.704225352,26.95774648,19.91549296,26.38028169,9.323943662,33.91549296,43.23943662,23,7.802816901,4.563380282,13.35211268,19.83098592,108.7183099,96
201801300NOP,Sacramento Kings,37.68571429,84.28571429,8.628571429,23.27142857,15.02857143,20.38571429,9.542857143,31.27142857,40.81428571,21.81428571,8.042857143,4.2,13.6,20.38571429,99.02857143,114,New Orleans Pelicans,41.04545455,87.03030303,10.07575758,28.46969697,17.65151515,22.77272727,8.46969697,35.60606061,44.07575758,25.54545455,8.121212121,5.681818182,13.15151515,18.68181818,109.8181818,103
201801300NYK,Brooklyn Nets,38.20895522,85.34328358,11.07462687,32.10447761,18.89552239,24.08955224,8.925373134,34.85074627,43.7761194,22.07462687,6.820895522,4.119402985,15.70149254,21.11940299,106.3880597,95,New York Knicks,40.43939394,86.63636364,8.787878788,23.93939394,16.27272727,20.75757576,11.53030303,33.59090909,45.12121212,21.75757576,7.242424242,5.393939394,13.98484848,20.24242424,105.9393939,111
201801300SAS,Denver Nuggets,39.6969697,87.77272727,10.36363636,29.5,17.40909091,22.31818182,12.3030303,33.60606061,45.90909091,22.22727273,7.121212121,4.257575758,14.8030303,18.75757576,107.1666667,104,San Antonio Spurs,39.58571429,83.01428571,9.685714286,24.41428571,16.82857143,21.14285714,9.428571429,34.15714286,43.58571429,24.77142857,7.571428571,5.914285714,12.88571429,17.31428571,105.6857143,106
201801300TOR,Minnesota Timberwolves,39.73913043,85.23188406,7.014492754,20.88405797,19.08695652,23.62318841,10.8115942,30.49275362,41.30434783,22.28985507,8.260869565,4.362318841,12.72463768,18.79710145,105.5797101,104,Toronto Raptors,40.71641791,86.05970149,9.910447761,26.29850746,19.71641791,24.73134328,10.89552239,33.79104478,44.68656716,20.8358209,7.656716418,5.850746269,12.05970149,20.80597015,111.0597015,109
201801300UTA,Golden State Warriors,42.4057971,86.89855072,11.53623188,31.24637681,18.39130435,23.14492754,8.898550725,34.91304348,43.8115942,29.14492754,9.31884058,6.652173913,14.50724638,20.39130435,114.7391304,99,Utah Jazz,37.22058824,79.47058824,10.60294118,27.83823529,17.44117647,22.98529412,8.558823529,33.79411765,42.35294118,20.08823529,7.779411765,4.617647059,13.05882353,19.14705882,102.4852941,129
201801300WAS,Oklahoma City Thunder,38.46376812,88.46376812,9.31884058,28.04347826,17.60869565,24.07246377,12.89855072,33.1884058,46.08695652,20.63768116,8.536231884,5.028985507,13.89855072,21.43478261,103.8550725,96,Washington Wizards,41.37681159,85.94202899,9.623188406,24.98550725,17.8115942,22.62318841,10.20289855,32.97101449,43.17391304,24.46376812,8.391304348,4.898550725,14.08695652,21.49275362,110.1884058,102
