120,,,,,,,,,,,
762,468,1230,0.619512195,,,,,125,1105,1230,0.101626016
736,494,1230,0.598373984,,,,,168,1062,1230,0.136585366
786,444,1230,0.63902439,,,,,136,1094,1230,0.110569106
786,444,1230,0.63902439,,,,,111,1119,1230,0.090243902
772,458,1230,0.627642276,,,,,126,1104,1230,0.102439024
786,444,1230,0.63902439,,,,,135,1095,1230,0.109756098
793,437,1230,0.644715447,,,,,106,1124,1230,0.086178862
770,460,1230,0.62601626,,,,,134,1096,1230,0.108943089
735,495,1230,0.597560976,,,,,174,1056,1230,0.141463415
771,459,1230,0.626829268,7697,12300,62.57723577,,125,1105,1230,0.101626016
,,,,,,,,,,,
130,,,,,,,,,,,
749,481,1230,0.608943089,,,,,156,1074,1230,0.126829268
784,446,1230,0.637398374,,,,,109,1121,1230,0.088617886
782,448,1230,0.635772358,,,,,114,1116,1230,0.092682927
797,433,1230,0.64796748,,,,,139,1091,1230,0.11300813
786,444,1230,0.63902439,,,,,115,1115,1230,0.093495935
790,440,1230,0.642276423,,,,,95,1135,1230,0.077235772
778,452,1230,0.632520325,,,,,148,1082,1230,0.120325203
788,442,1230,0.640650407,,,,,105,1125,1230,0.085365854
802,428,1230,0.65203252,,,,,114,1116,1230,0.092682927
790,440,1230,0.642276423,7846,12300,63.78861789,,119,1111,1230,0.096747967
,,,,,,,,,,,
140,,,,,,,,,,,
788,442,1230,0.640650407,,,,,102,1128,1230,0.082926829
792,438,1230,0.643902439,,,,,139,1091,1230,0.11300813
794,436,1230,0.645528455,,,,,128,1102,1230,0.104065041
784,446,1230,0.637398374,,,,,139,1091,1230,0.11300813
789,441,1230,0.641463415,,,,,96,1134,1230,0.07804878
796,434,1230,0.647154472,,,,,116,1114,1230,0.094308943
794,436,1230,0.645528455,,,,,133,1097,1230,0.108130081
787,443,1230,0.639837398,,,,,135,1095,1230,0.109756098
797,433,1230,0.64796748,,,,,99,1131,1230,0.080487805
800,430,1230,0.650406504,7921,12300,64.39837398,,127,1103,1230,0.103252033
,,,,,,,,,,,
150,,,,,,,,,,,
786,444,1230,0.63902439,,,,,99,1131,1230,0.080487805
783,447,1230,0.636585366,,,,,136,1094,1230,0.110569106
761,469,1230,0.618699187,,,,,150,1080,1230,0.12195122
797,433,1230,0.64796748,,,,,114,1116,1230,0.092682927
799,431,1230,0.649593496,,,,,113,1117,1230,0.091869919
799,431,1230,0.649593496,,,,,115,1115,1230,0.093495935
774,456,1230,0.629268293,,,,,124,1106,1230,0.100813008
749,481,1230,0.608943089,,,,,161,1069,1230,0.130894309
782,448,1230,0.635772358,,,,,99,1131,1230,0.080487805
770,460,1230,0.62601626,7800,12300,63.41463415,,145,1085,1230,0.117886179
,,,,,,,,,,,
160,,,,,,,,,,,
792,438,1230,0.643902439,,,,,119,1111,1230,0.096747967
789,441,1230,0.641463415,,,,,104,1126,1230,0.084552846
795,435,1230,0.646341463,,,,,134,1096,1230,0.108943089
794,436,1230,0.645528455,,,,,104,1126,1230,0.084552846
766,464,1230,0.622764228,,,,,126,1104,1230,0.102439024
783,447,1230,0.636585366,,,,,141,1089,1230,0.114634146
800,430,1230,0.650406504,,,,,96,1134,1230,0.07804878
798,432,1230,0.648780488,,,,,128,1102,1230,0.104065041
784,446,1230,0.637398374,,,,,96,1134,1230,0.07804878
789,441,1230,0.641463415,7890,12300,64.14634146,,104,1126,1230,0.084552846
