GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201410280LAL,HOU,31,73,12,29,34,50,14,33,47,22,7,3,13,30,108,108,LAL,28,79,3,10,31,39,11,25,36,16,7,3,11,32,90,90
201410280NOP,ORL,32,84,4,11,16,21,16,40,56,17,5,9,18,25,84,84,NOP,41,101,4,17,15,31,26,36,62,20,10,17,9,17,101,101
201410280SAS,DAL,38,78,8,21,16,19,9,24,33,17,9,3,10,20,100,100,SAS,37,70,14,28,13,16,9,29,38,23,5,3,20,20,101,101
201410290BOS,BRK,39,80,7,19,20,26,9,30,39,20,6,7,20,21,105,105,BOS,49,88,8,22,15,23,9,26,35,28,11,5,12,25,121,121
201410290CHO,MIL,39,80,7,14,21,24,3,32,35,25,9,10,14,25,106,106,CHO,41,101,6,21,20,29,15,35,50,27,8,9,10,20,108,108
201410290DEN,DET,31,84,6,26,11,19,8,37,45,15,4,5,15,27,79,79,DEN,30,85,6,24,23,31,14,37,51,17,7,4,15,21,89,89
201410290IND,PHI,34,89,6,21,17,30,15,27,42,17,10,5,11,29,91,91,IND,38,81,8,25,19,28,14,36,50,22,5,13,17,24,103,103
201410290MEM,MIN,39,86,6,12,17,23,19,28,47,20,8,4,23,21,101,101,MEM,43,82,4,15,15,20,10,23,33,21,10,5,17,21,105,105
201410290MIA,WAS,36,75,6,19,17,24,7,29,36,20,7,2,14,20,95,95,MIA,39,81,9,28,20,23,12,32,44,20,9,3,14,17,107,107
201410290NYK,CHI,36,71,7,24,25,30,10,37,47,21,9,4,15,18,104,104,NYK,31,85,3,17,15,17,14,24,38,19,9,5,11,22,80,80
201410290PHO,LAL,32.5,82.5,3.5,11.5,26,32,11.5,25.5,37,18,8,3,12,25,94.5,99,PHO,45,82,16,32,13,18,9,31,40,23,5,3,14,25,119,119
201410290POR,OKC,33,81,2,16,21,26,14,29,43,19,9,5,13,28,89,89,POR,39,87,11,29,17,22,13,29,42,23,4,9,10,19,106,106
201410290SAC,GSW,33,75,6,27,23,32,7,37,44,21,12,8,22,32,95,95,SAC,24,78,3,18,26,35,15,35,50,13,11,3,26,26,77,77
201410290TOR,ATL,40,80,13,22,9,17,10,32,42,26,6,8,17,24,102,102,TOR,37,90,8,26,27,33,16,32,48,26,13,9,9,22,109,109
201410290UTA,HOU,35.5,75,13,28,22,32,11,30,41,20,7,4.5,15.5,26.5,106,104,UTA,38,81,3,18,14,17,13,21,34,16,8,6,13,16,93,93
201410300CLE,NYK,34,77,4.5,14.5,15,17.5,11.5,25,36.5,24.5,9,3,13,24,87.5,95,CLE,32,70,9,24,17,20,11,22,33,22,5,2,19,15,90,90
201410300DAL,UTA,37,82,8.5,26.5,15,17.5,14,23,37,19,7,3,14.5,18.5,97.5,102,DAL,42.5,81.5,8,21,17,21,11,27.5,38.5,21,8.5,4,9.5,17.5,110,120
201410300LAC,OKC,30.5,73,4,18.5,24.5,30,11,34,45,21,7,3.5,17.5,27.5,89.5,90,LAC,34,87,7,30,18,25,14,19,33,17,10,4,11,27,93,93
201410300MIN,DET,34.5,87.5,6.5,23.5,9.5,16,11,34.5,45.5,17.5,3.5,5,13.5,25.5,85,91,MIN,38,81,5,11,18,25.5,14.5,30.5,45,19,8,3.5,17.5,21,99,97
201410300ORL,WAS,37.5,77.5,6.5,16,18.5,25,6.5,30,36.5,21,8.5,1,13,22.5,100,105,ORL,34.5,78,5,13,17,22.5,9.5,35,44.5,18.5,4.5,5,18,24,91,98
201410310CHI,CLE,36.5,87,6,19.5,23,26.5,15.5,27,42.5,20,6.5,3,14,16.5,102,114,CHI,38.5,80.5,10,27.5,19,23.5,10.5,34,44.5,23,6.5,9,17,23,106,108
201410310IND,MEM,39,80.5,5.5,17,17.5,23.5,10.5,26,36.5,20.5,10.5,3.5,13,21,101,97,IND,36,77.5,8,23,16,22,12.5,35.5,48,20.5,5,8,17.5,19.5,96,89
201410310LAL,LAC,34,79,9.5,31.5,28,34.5,10,24.5,34.5,21,8,3,12.5,26.5,105.5,118,LAL,35.66666667,82.33333333,4.666666667,14.33333333,24,30.66666667,10.66666667,27.33333333,38,20,7,2.666666667,12.66666667,28.33333333,100,111
201410310MIL,PHI,33,87.5,5.5,22,14.5,26,13.5,28.5,42,18.5,9.5,5,13.5,23.5,86,81,MIL,37.5,84,8,19,16.5,22.5,9,36,45,25,9.5,10.5,16,22,99.5,93
201410310PHO,SAS,34.5,74,11,26.5,15,19.5,7,34.5,41.5,21.5,4,3,16,22.5,95,89,PHO,40,84.5,9,25,17.5,22,10.5,34.5,45,19,3.5,4,10.5,23,106.5,94
201410310SAC,POR,36.5,85,10,27.5,17,20.5,11.5,28.5,40,21.5,4.5,8.5,10,22.5,100,94,SAC,29,79.5,3.5,14,28.5,35,14.5,35,49.5,13.5,8.5,2.5,18,25,90,103
201411010ATL,IND,34.33333333,78.66666667,9.333333333,26,16.66666667,21.66666667,12,34.66666667,46.66666667,22,5,7,17.66666667,21.66666667,94.66666667,92,ATL,37.5,74.5,10,21,17,25,6.5,33,39.5,26,8,7,14.5,22,102,102
201411010CHO,MEM,35.66666667,80.33333333,4.666666667,15,15,20,10,29.33333333,39.33333333,19,9.666666667,2.333333333,14.66666667,21.33333333,91,71,CHO,33.5,86.5,5,17.5,16.5,23.5,10,37,47,22,9,6.5,15,18,88.5,69
201411010DET,BRK,40.5,83.5,7,22.5,15.5,19.5,10.5,33,43.5,19,4.5,5,14,22,103.5,102,DET,33.66666667,83.66666667,4.666666667,21.33333333,14.66666667,22.33333333,10.66666667,33.33333333,44,18.66666667,3.333333333,4.333333333,11.33333333,22,86.66666667,90
201411010GSW,LAL,37,83.75,4.5,14.25,22.5,29.25,12.25,25.5,37.75,20.25,7.5,2.75,15,28,101,104,GSW,39.5,79,8.5,25,23.5,30,9.5,34,43.5,25.5,11,6,21,29,111,127
201411010HOU,BOS,43,93,4.5,23.5,15,20.5,11.5,28,39.5,24,10.5,6.5,11,25.5,105.5,90,HOU,34.33333333,75.33333333,12.66666667,30,24,34.66666667,10.66666667,33,43.66666667,20,7.666666667,5.666666667,16,25.66666667,105.3333333,104
201411010MIN,CHI,36.66666667,76.66666667,9.666666667,26,23,29,8.666666667,33.66666667,42.33333333,20.33333333,5.333333333,8.666666667,16,23.33333333,106,106,MIN,38,82.33333333,4.666666667,11.33333333,20.33333333,27.33333333,14,30,44,21.33333333,8.333333333,3.666666667,15,23.66666667,101,105
201411010NOP,DAL,43.66666667,84,7.333333333,22.33333333,15,20.33333333,11,29.33333333,40.33333333,22.33333333,7,4.666666667,10.33333333,20,109.6666667,109,NOP,39.5,95,5.5,18,18,29.5,20,34.5,54.5,22,9,10.5,11,18,102.5,104
201411010OKC,DEN,32.5,82.5,6.5,25,18.5,25.5,12.5,33.5,46,18,5.5,7,16,23.5,90,91,OKC,32.66666667,75.33333333,4.666666667,19,23.66666667,30.33333333,9.333333333,34.33333333,43.66666667,22,7.333333333,4.333333333,16,25,93.66666667,102
201411010ORL,TOR,35,86.5,6,23.5,32.5,40.5,15.5,33.5,49,19.5,8.5,6.5,8,21.5,108.5,108,ORL,35.66666667,79,5.666666667,15.33333333,15.33333333,23,9.333333333,33.66666667,43,20.66666667,4,5.666666667,16.66666667,28.33333333,92.33333333,95
201411010PHI,MIA,40,82,10.5,26,20,26,10.5,29,39.5,26.5,12.5,1.5,15,18.5,110.5,114,PHI,33.66666667,80.66666667,6,22.33333333,16,26,10.33333333,30,40.33333333,21.66666667,9.333333333,6.666666667,17,22.66666667,89.33333333,96
201411010UTA,PHO,38.66666667,85.33333333,8.333333333,27,15.66666667,19.66666667,9,32.33333333,41.33333333,18.33333333,5,5,10.66666667,22.66666667,101.3333333,91,UTA,38.66666667,84,8,26.33333333,19,22.66666667,13.66666667,28.33333333,42,19,8,4,14,17.33333333,104.3333333,118
201411010WAS,MIL,36.33333333,82.66666667,8.333333333,20,17.66666667,23,11.33333333,32.66666667,44,22.66666667,10,8,19.66666667,24,98.66666667,97,WAS,38.33333333,76,5.666666667,15,20.33333333,27.66666667,6.333333333,29.33333333,35.66666667,23.33333333,11.66666667,2.333333333,15,22,102.6666667,108
201411020LAC,SAC,30.66666667,75.66666667,3.333333333,12.66666667,28,34.33333333,12.66666667,35.66666667,48.33333333,16,7,5.333333333,18.33333333,24,92.66666667,98,LAC,33.66666667,82,9.333333333,31.33333333,24.33333333,30,10.33333333,24.33333333,34.66666667,21.66666667,8.666666667,4.333333333,11,26,101,92
201411020MIA,TOR,35.66666667,84,5.333333333,21,29.66666667,40,13.33333333,28.66666667,42,16.66666667,8.333333333,6,8.666666667,23.66666667,106.3333333,102,MIA,38.33333333,78,10,25.33333333,22.66666667,30,10.66666667,30,40.66666667,25,10.33333333,3,15.33333333,22,109.3333333,107
201411020NYK,CHO,33.33333333,81,5.333333333,16.66666667,18,25.33333333,9.333333333,34.66666667,44,21.33333333,8.333333333,5,14,17.33333333,90,93,NYK,35.66666667,77.33333333,5.666666667,15,13.33333333,17.33333333,10.33333333,25.66666667,36,24,7.666666667,2,12.66666667,24.66666667,90.33333333,96
201411020POR,GSW,38.33333333,79.66666667,7.666666667,23,21.33333333,27,8.666666667,34,42.66666667,24.33333333,11,6.333333333,19.66666667,24.66666667,105.6666667,95,POR,36.66666667,87.33333333,9,27.33333333,14.33333333,18.33333333,13.33333333,32,45.33333333,21,6,6.333333333,13,21.33333333,96.66666667,90
201411030BRK,OKC,32.5,77,5.5,20,21,28,10.75,33,43.75,20,6.25,4,16.25,23,91.5,85,BRK,41.66666667,83.66666667,8.333333333,22.66666667,16,19.33333333,10,33,43,21,6.666666667,4.333333333,12,21.66666667,107.6666667,116
201411030DAL,BOS,43.66666667,96,6.666666667,26,14,19,15,27.66666667,42.66666667,25.66666667,10,6.333333333,13,24,108,113,DAL,43.75,83.5,9,23,15.25,20.25,10,29.25,39.25,22.75,6.5,5.75,12,19.25,111.75,118
201411030DEN,SAC,31.5,77,3,11.75,31,37.5,13,35.75,48.75,17.25,7.25,5.25,17.5,25,97,110,DEN,33.66666667,86,6,24.66666667,21.66666667,28,13.33333333,31.33333333,44.66666667,19.33333333,5,7,15.66666667,27.33333333,95,105
201411030LAC,UTA,38,82.25,8.5,26.5,19,23,12.5,29.75,42.25,20.25,7,3.5,14.75,18,103.5,101,LAC,35.5,81.75,9.5,29.25,22,26.75,9,25.75,34.75,23.25,8,4.75,10.75,23.75,102.5,107
201411030MEM,NOP,36,92,5,20,18.33333333,29.33333333,18,34.66666667,52.66666667,19.33333333,7.666666667,8,11.33333333,22,95.33333333,81,MEM,34.5,79.25,4.5,14.75,18,24.25,9.75,32.75,42.5,19,8.5,3.25,13.75,22,91.5,93
201411030PHI,HOU,33.75,75.25,13.5,31,24,33.5,11.25,33.25,44.5,21.75,8.75,5.75,17.25,24.25,105,104,PHI,33.5,79,7.25,22.25,16,25.25,9.25,28.75,38,21,10,6,17,22,90.25,93
201411040CHI,ORL,36.25,81.25,5.75,15,13.5,20.75,10.5,33.75,44.25,20.75,4.5,5.75,15.25,26.75,91.75,90,CHI,36.25,76.25,9,23.25,22.5,28.5,9,33.75,42.75,21,5.5,8.75,15,22,104,98
201411040IND,MIL,36.5,82.75,8,20.25,14.75,19,10.75,32,42.75,22,10.5,7.25,17.75,23.5,95.75,87,IND,33.5,78.5,8.5,25.5,15.75,21.75,12.75,34,46.75,20,4.75,7.5,17.5,20.5,91.25,81
201411040LAL,PHO,39.25,86.75,7.75,24.75,17.75,22.5,10,34,44,20.75,5.25,5.5,11.25,24.25,104,112,LAL,36.6,84.6,4.8,14.6,24,31.6,13.4,26.6,40,19.4,7.4,3.8,14.4,27.4,102,106
201411040MIA,HOU,34,73.8,14.2,32.2,23.4,32.2,10.8,32.4,43.2,21.8,8.6,5.6,17,24.6,105.6,108,MIA,36.5,77,10.5,26,21.25,29.25,11.25,27.75,39,22.75,9.5,2.75,15.25,21.75,104.75,91
201411040NOP,CHO,34.25,80.75,5.5,17.75,16.25,22.25,8.5,33,41.5,21.75,7.75,4,13.5,16.75,90.25,91,NOP,36.5,89.25,5,19.5,18.5,26.75,16.25,35,51.25,21,7,7.5,11.5,21.25,96.5,100
201411040NYK,WAS,38.5,77,6.25,15.75,18.25,25.5,7.25,29.75,37,24,10.75,2.75,14.25,22.75,101.5,98,NYK,34.25,78.25,6.25,15,13.75,17.75,11.5,26.25,37.75,22,7,2.5,14,24.25,88.5,83
201411040POR,CLE,34.66666667,86.33333333,7,20,19,22.33333333,14.66666667,27.33333333,42,19.33333333,6,3,14,17.33333333,95.33333333,82,POR,36.75,84.25,8.75,26.75,15.5,20,12.25,33.75,46,21,6.25,5.75,12.5,21,97.75,101
201411040TOR,OKC,32.8,74.6,5.6,20.2,19.6,27.4,9.8,33.4,43.2,20.6,5.8,3.8,16.8,23.8,90.8,88,TOR,34.75,83.25,6,23.5,29.25,38.25,13,28.25,41.25,18.25,7.75,5.25,9,23.75,104.75,100
201411050BOS,TOR,36.2,84,6.2,22,27.2,35.2,11.6,26.2,37.8,18.2,8.4,5,8.6,22.6,105.8,110,BOS,42.75,91.5,7.5,26,14.75,18.75,15.5,30.25,45.75,24.75,8.75,5.5,16.5,24.25,107.75,107
201411050BRK,MIN,37.75,84.25,5.25,12.75,19.5,26,13.75,32,45.75,21.5,8.5,3.75,14,23,100.25,98,BRK,40.25,83.25,8.25,22.25,14.75,18.75,9.25,33.5,42.75,20,6.5,4.5,13.5,21.75,103.5,91
201411050CHO,MIA,35.2,77,9.2,25.2,22,29.6,10.2,28.2,38.4,22,8.8,3,13.8,22.4,101.6,89,CHO,34.4,81,5.4,17.8,17.2,23.6,9.4,33.6,43,22,7,5,13.2,18.2,91.4,96
201411050DET,NYK,35.2,80.6,6.8,16,12.6,16.2,11.4,27.4,38.8,22.6,6.2,3.8,13,24,89.8,95,DET,33.25,84.5,6.25,21.75,16.75,25,12.75,34,46.75,18.25,3.75,4.25,10.5,20.5,89.5,98
201411050GSW,LAC,36,81.8,9,27.2,21.8,26.8,8.2,25.6,33.8,23.8,8.8,4.2,11.4,21.8,102.8,104,GSW,39.5,78.25,9.5,23.5,21,25.25,7.5,34.25,41.75,25.5,10,5.5,20.5,24,109.5,121
