GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201801250GSW,MIN,39.82608696,84.30434783,7.869565217,22.69565217,19.86956522,24.2173913,9.869565217,31.2173913,41.08695652,21.82608696,8.826086957,4.130434783,13.04347826,18,107.3913043,126,GSW,43,83.81818182,11.22727273,28.95454545,17,19.90909091,8.181818182,34.54545455,42.72727273,31.40909091,8.272727273,7.954545455,15.72727273,19,114.2272727,123
201801250MIA,SAC,37.79166667,86.125,8.666666667,23.625,12.16666667,17.5,9.791666667,29.45833333,39.25,21.75,9.375,4.333333333,13.45833333,20.04166667,96.41666667,105,MIA,37.70833333,82.08333333,11.375,30.625,14.33333333,19.125,8.041666667,34.70833333,42.75,23.20833333,7.208333333,5.583333333,14.875,20.875,101.125,90
201801250OKC,WAS,37.4,85.05,10.15,26.55,18.6,24.85,10.05,31.9,41.95,22.75,7.05,4,12.85,21.55,103.55,75,OKC,39.76190476,89.52380952,11.38095238,30.52380952,14.23809524,20.57142857,12.9047619,32.57142857,45.47619048,21.95238095,10,4.904761905,13.04761905,20,105.1428571,148
201801260CHI,LAL,41.33333333,90.25,8.958333333,28.54166667,15,22.04166667,11.20833333,35.45833333,46.66666667,24.54166667,8.5,5,15.33333333,20.125,106.625,108,CHI,39.36,88.08,10.36,29.12,15.48,20.4,9.08,35.2,44.28,22.92,6.56,3,13.92,20.52,104.56,101
201801260CHO,ATL,38.57142857,83.23809524,11,30.04761905,15.71428571,19.9047619,9,31.57142857,40.57142857,26.04761905,7.380952381,4.285714286,14.28571429,19.47619048,103.8571429,93,CHO,38.5,87.07692308,9.153846154,25.92307692,20.30769231,27.65384615,10.46153846,36.76923077,47.23076923,20.38461538,6.576923077,5.461538462,13.03846154,17.53846154,106.4615385,96
201801260CLE,IND,40.18181818,84.31818182,10.18181818,26,15.09090909,20.09090909,9.545454545,33.72727273,43.27272727,21.72727273,7.590909091,4.363636364,13.59090909,18.18181818,105.6363636,116,CLE,38.34782609,83.47826087,12.39130435,33.65217391,18.69565217,22.56521739,9.173913043,33.2173913,42.39130435,21.91304348,7.217391304,3.52173913,13.91304348,18.82608696,107.7826087,102
201801260MEM,LAC,39.72,83.96,9.84,27.88,20.76,27.28,10.4,33.24,43.64,22.84,7.52,4.88,14.84,20.36,110.04,102,MEM,36.29166667,82.75,9.166666667,27.75,18.16666667,23.29166667,10.125,32.58333333,42.70833333,21.25,8,5.458333333,13.70833333,23.125,99.91666667,85
201801260NOP,HOU,38.38095238,86.0952381,16.04761905,44.61904762,17.76190476,22.04761905,9.571428571,35,44.57142857,22.04761905,8.523809524,4.904761905,14.14285714,19.19047619,110.5714286,104,NOP,40.30434783,85.2173913,10.82608696,29.73913043,16.69565217,22.52173913,8.826086957,34.95652174,43.7826087,24.69565217,7.173913043,5.391304348,15,19.69565217,108.1304348,101
201801260PHO,NYK,40,85.91304348,7.217391304,20.7826087,14.2173913,17.56521739,9.434782609,32.73913043,42.17391304,24.26086957,6.217391304,5.260869565,14.91304348,20,101.4347826,118,PHO,38.33333333,85.71428571,9.666666667,28,18.85714286,24.61904762,10.80952381,32.66666667,43.47619048,23.38095238,7.333333333,3.666666667,14.85714286,21.14285714,105.1904762,101
201801260SAS,PHI,41.0952381,88.47619048,10.0952381,29.47619048,17.66666667,23.0952381,12.04761905,36.38095238,48.42857143,26.61904762,8.523809524,5.714285714,16.14285714,22.04761905,109.952381,115,SAS,36.125,84.20833333,7.875,23.66666667,15.79166667,20.625,10.58333333,33.91666667,44.5,20.41666667,7.958333333,5.166666667,13.16666667,16.75,95.91666667,108
201801260TOR,UTA,36.75,83.58333333,10.5,29.58333333,15,18.875,8.666666667,31.91666667,40.58333333,21.625,9.125,4.958333333,14,19.45833333,99,98,TOR,39.375,84.58333333,11.29166667,32.54166667,20.04166667,24.625,9.5,32.08333333,41.58333333,22.58333333,9.041666667,5.208333333,14,23.66666667,110.0833333,108
201801270ATL,WAS,37.61904762,85.0952381,10.42857143,26.95238095,18.28571429,24.42857143,10.14285714,31.66666667,41.80952381,22.85714286,7.19047619,3.904761905,13.33333333,21.71428571,103.952381,112,ATL,38.9047619,86.57142857,11,28.76190476,15,19.14285714,9.952380952,31,40.95238095,22.42857143,8.857142857,4.380952381,15.95238095,21.14285714,103.8095238,110
201801270DEN,DAL,37.8,85.16,11.88,33.16,15.6,20.16,8,34.64,42.64,22.4,6.76,4.12,11.92,20.16,103.08,97,DEN,40.45454545,83.81818182,11.18181818,29.72727273,17.77272727,24.22727273,10.63636364,34.45454545,45.09090909,26.18181818,7.863636364,4.409090909,15.22727273,17.77272727,109.8636364,130
201801270DET,OKC,40,84.7826087,9.304347826,27.47826087,17.47826087,24.04347826,12.04347826,32.52173913,44.56521739,20.7826087,9.391304348,5.565217391,14.7826087,20.13043478,106.7826087,121,DET,38.9047619,85.14285714,11.28571429,28.57142857,14.80952381,19.95238095,9.571428571,33.95238095,43.52380952,23.14285714,8,3.571428571,13.57142857,17.80952381,103.9047619,95
201801270GSW,BOS,37.61904762,83.57142857,12.04761905,32.71428571,15.33333333,19.66666667,8.857142857,35,43.85714286,21.23809524,7.380952381,3.619047619,13.95238095,20.47619048,102.6190476,113,GSW,43.2173913,84.04347826,11.65217391,29.30434783,16.65217391,19.69565217,8.304347826,34.60869565,42.91304348,31.65217391,8.304347826,7.956521739,15.69565217,18.91304348,114.7391304,126
201801270IND,ORL,39.47368421,86.68421053,9.578947368,28.42105263,14.84210526,20.31578947,9.736842105,33.63157895,43.36842105,22.26315789,7.421052632,5.526315789,15.10526316,18.52631579,103.3684211,99,IND,41.86363636,87.40909091,8.863636364,23.90909091,13.63636364,16.90909091,8.5,31.72727273,40.22727273,23,8.863636364,3.5,12.40909091,18.68181818,106.2272727,108
201801270MIA,CHO,38.55555556,87.11111111,9.296296296,26.22222222,20.59259259,27.81481481,10.48148148,36.59259259,47.07407407,20.55555556,6.814814815,5.555555556,12.96296296,17.81481481,107,121,MIA,37.9,82.95,11.85,32.3,13.7,17.25,8.35,33.05,41.4,21,6.95,4.75,14.1,19.1,101.35,88
201801280CHI,MIL,38.56521739,79.52173913,8.217391304,23.95652174,19.2173913,24.52173913,7.347826087,30.34782609,37.69565217,22.7826087,8,5.304347826,12.7826087,21.43478261,104.5652174,109,CHI,38.47826087,88.82608696,11.95652174,32.69565217,13,16.82608696,9.130434783,36.13043478,45.26086957,24.69565217,7.695652174,4.391304348,12.60869565,17.86956522,101.9130435,103
201801280CLE,DET,38.90909091,85.09090909,11.31818182,28.77272727,14.95454545,20.13636364,9.727272727,33.77272727,43.5,23.18181818,7.818181818,3.545454545,13.68181818,17.90909091,104.0909091,108,CLE,40.66666667,83.9047619,11.19047619,31.47619048,18.04761905,22.9047619,7.904761905,33.14285714,41.04761905,25.19047619,7.476190476,4.047619048,14.33333333,17.9047619,110.5714286,115
201801280HOU,PHO,38.91304348,86.95652174,9.086956522,27.17391304,18.52173913,24.95652174,10.95652174,33.43478261,44.39130435,20.04347826,5.869565217,4.782608696,15.2173913,22.60869565,105.4347826,85,HOU,38.27272727,85.72727273,15.86363636,44.22727273,18.27272727,22.63636364,9.227272727,34.90909091,44.13636364,22.04545455,8.590909091,4.772727273,14.04545455,19.36363636,110.6818182,113
