GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS,WINNER
201712180CHI,PHI,40.21428571,87.92857143,10.64285714,30.10714286,17.82142857,23.75,11.78571429,37.03571429,48.82142857,26.42857143,8.25,4.928571429,17.25,23.60714286,108.8928571,117,CHI,37.42857143,87.64285714,10.28571429,29.85714286,13.03571429,17.85714286,9.571428571,35.17857143,44.75,22.28571429,6.964285714,3.5,13.03571429,19.14285714,98.17857143,115,0
201712180CHO,NYK,40.20689655,84.93103448,8.275862069,22.48275862,16.10344828,20.13793103,10.65517241,33.31034483,43.96551724,23.03448276,7.034482759,4.551724138,15.34482759,20.75862069,104.7931034,111,CHO,37.48275862,86.31034483,8.75862069,25.4137931,20.31034483,28,10.34482759,36.68965517,47.03448276,20.10344828,6.24137931,4.448275862,12.96551724,18.68965517,104.0344828,91,0
201712180DAL,PHO,39.22580645,87.96774194,8.516129032,25.58064516,19.70967742,25.90322581,11.29032258,34.51612903,45.80645161,20.09677419,6.774193548,5.032258065,15.41935484,22.06451613,106.6774194,108,DAL,36.96666667,84.26666667,11.43333333,31.66666667,14.3,18.56666667,7.933333333,33.56666667,41.5,21.4,6.666666667,3.533333333,12.73333333,19.6,99.66666667,96,0
201712180HOU,UTA,37.63333333,82.63333333,11.8,30.16666667,15.93333333,19.8,8.6,32.1,40.7,21.83333333,9.366666667,5.266666667,14.43333333,20.16666667,103,100,HOU,39.42857143,83.96428571,15.89285714,43.25,20.35714286,25.57142857,8.928571429,35,43.92857143,22.64285714,9.5,4.785714286,14.71428571,20.35714286,115.1071429,115,1
201712180IND,BOS,37.59375,83.34375,11.34375,30.96875,17.0625,22.09375,9.125,35.125,44.25,22.3125,7.75,4.46875,13.28125,19.53125,103.59375,102,IND,41.5,86.7,10.13333333,25.93333333,15.03333333,19.56666667,9.333333333,33.53333333,42.86666667,22.93333333,7.9,4.566666667,13.4,18.5,108.1666667,109,1
201712180LAL,GSW,44.10344828,85.51724138,12.27586207,30.51724138,16.34482759,20.27586207,8.206896552,36.48275862,44.68965517,30.79310345,8.482758621,8.517241379,15.86206897,20.27586207,116.8275862,112,LAL,40.77777778,89.40740741,8.592592593,26.81481481,16.18518519,23.03703704,10.85185185,35.74074074,46.59259259,23.14814815,8.222222222,5.62962963,16.66666667,22,106.3333333,112,1
201712180MIN,POR,37.65517241,84.96551724,9.344827586,24.82758621,18,22.20689655,9.827586207,35.75862069,45.5862069,17.96551724,6.413793103,5.275862069,14.20689655,20.03448276,102.6551724,93,MIN,40,85.16666667,8.166666667,22.9,19.46666667,24.66666667,10.73333333,31.3,42.03333333,22.73333333,9.066666667,3.966666667,12.93333333,17.9,107.6333333,106,1
201712180OKC,DEN,40.17241379,86.93103448,11.24137931,30.34482759,16.27586207,22.13793103,12.13793103,32.96551724,45.10344828,23.44827586,8,4.551724138,15.20689655,17.86206897,107.862069,117,OKC,37.86206897,87.31034483,10.4137931,29.82758621,16,22.55172414,12.37931034,31.82758621,44.20689655,20.93103448,9.896551724,4.862068966,14.4137931,20.86206897,102.137931,96,0
201712180SAS,LAC,37.78571429,84.57142857,10.39285714,29.53571429,17.78571429,23.75,10.89285714,32.75,43.64285714,20.32142857,7.857142857,4.678571429,14.42857143,21,103.75,85,SAS,38.26666667,84.03333333,8.9,25,15.8,20.23333333,10.66666667,33.83333333,44.5,22.43333333,7.3,5.866666667,13.46666667,17.3,101.2333333,98,1
201712190MIL,CLE,40.25806452,83.12903226,12.38709677,32.4516129,18.16129032,22.48387097,8.032258065,33.87096774,41.90322581,23.96774194,7.064516129,3.806451613,14,18.80645161,111.0645161,106,MIL,39.07142857,81.42857143,8.714285714,24.53571429,17.60714286,23.32142857,7.678571429,30.75,38.42857143,22.07142857,8.642857143,5.464285714,12.67857143,22.60714286,104.4642857,111,1
