GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201610250CLE,New York Knicks,32,87,9,27,15,20,13,29,42,17,6,6,18,22,88,88,Cleveland Cavaliers,45,94,13,35,14,19,11,40,51,31,12,5,14,22,117,117
201610250GSW,San Antonio Spurs,47,98,12,24,23,26,21,34,55,25,13,3,13,19,129,129,Golden State Warriors,40,85,7,33,13,18,8,27,35,24,11,6,16,19,100,100
201610250POR,Utah Jazz,40,82,8,24,16,16,6,25,31,19,9,5,11,19,104,104,Portland Trail Blazers,39,75,13,19,22,22,5,29,34,22,5,3,12,18,113,113
201610260MIL,Charlotte Hornets,40,89,7,23,20,24,11,40,51,27,5,10,10,22,107,107,Milwaukee Bucks,39,92,3,16,15,20,10,36,46,23,4,5,8,22,96,96
201610260BOS,Brooklyn Nets,43,97,15,44,16,20,15,29,44,22,8,3,16,19,117,117,Boston Celtics,48,89,11,32,15,18,12,35,47,36,13,9,19,20,122,122
201610260IND,Dallas Mavericks,45,104,18,48,13,18,10,39,49,26,8,8,15,27,121,121,Indiana Pacers,47,93,10,19,26,34,8,44,52,30,11,6,16,23,130,130
201610260PHI,Oklahoma City Thunder,39,94,6,22,19,26,13,40,53,19,7,3,10,23,103,103,Philadelphia 76ers,36,84,7,24,18,25,5,38,43,21,5,10,13,22,97,97
201610260TOR,Detroit Pistons,35,84,4,22,17,22,8,32,40,17,8,0,13,24,91,91,Toronto Raptors,41,86,3,18,24,29,14,37,51,17,8,0,11,22,109,109
201610260ORL,Miami Heat,47,97,4,16,10,16,16,36,52,27,5,7,10,22,108,108,Orlando Magic,34,89,6,18,22,28,15,30,45,20,5,4,11,15,96,96
201610260LAL,Houston Rockets,44,86,7,29,19,27,10,29,39,29,10,1,14,23,114,114,Los Angeles Lakers,45,89,12,35,18,22,11,28,39,21,10,4,15,24,120,120
201610260NOP,Denver Nuggets,37,83,8,24,25,33,11,47,58,18,7,4,24,22,107,107,New Orleans Pelicans,38,92,3,19,23,26,5,28,33,31,16,5,11,29,102,102
201610260PHO,Sacramento Kings,44,86,6,21,19,26,10,31,41,24,5,5,13,20,113,113,Phoenix Suns,36,77,4,16,18,27,10,31,41,20,6,3,18,29,94,94
201610260MEM,Minnesota Timberwolves,36,86,6,18,20,29,15,30,45,20,6,5,10,23,98,98,Memphis Grizzlies,36,80,11,24,19,27,11,34,45,19,6,11,13,25,102,102
201610270ATL,Washington Wizards,40,94,6,20,13,18,12,28,40,25,14,4,19,20,99,99,Atlanta Hawks,44,88,12,26,14,18,14,38,52,28,13,7,21,19,114,114
201610270CHI,Boston Celtics,38,76,8,23,15,24,3,33,36,22,6,6,11,25,99,99,Chicago Bulls,36,92,11,25,22,30,18,37,55,25,5,1,12,21,105,105
201610270POR,Los Angeles Clippers,37,91,8,29,32,46,15,33,48,12,10,4,7,25,114,114,Portland Trail Blazers,39,80,8.5,18.5,23,27,7,34,41,20,4.5,3.5,13,26,109.5,106
201610270SAC,San Antonio Spurs,41.5,88.5,9,21,23.5,26.5,15,32.5,47.5,24,11.5,5.5,11,22.5,115.5,102,Sacramento Kings,28,70,6,20,32,38,6,34,40,22,7,0,15,21,94,94
201610280TOR,Cleveland Cavaliers,33,79,12,32,16,22,9,31,40,20,8,3,17,15,94,94,Toronto Raptors,38,88,3.5,17,20.5,23.5,16,35,51,14.5,8.5,1.5,14.5,21,100,91
201610280BRK,Indiana Pacers,37,98,7,24,13,20,14,35,49,22,7,6,13,22,94,94,Brooklyn Nets,38,87,10,33,17,20,12,40,52,20,6,4,16,23,103,103
201610280DET,Orlando Magic,33,95,8,26,8,12,14,30,44,20,8,3,9,13,82,82,Detroit Pistons,48,95,7,19,5,6,9,44,53,27,8,4,12,11,108,108
201610280MIA,Charlotte Hornets,37.5,90.5,7,22.5,20,24,12,38,50,23.5,7.5,9.5,9,21,102,97,Miami Heat,32,86,14,34,13,20,11,41,52,19,2,4,19,23,91,91
201610280UTA,Los Angeles Lakers,32,84,9,23,16,21,11,32,43,16,6,7,14,29,89,89,Utah Jazz,31,75,6,25,28,40,13,34,47,14,4,7,14,18,96,96
201610280OKC,Phoenix Suns,42,94,5,28,21,32,7,37,44,15,11,3,15,29,110,110,Oklahoma City Thunder,40,96,5,21,28,38,14,43,57,13,11,3,22,24,113,113
201610280NOP,Golden State Warriors,44,91,9,28,25,28,9,40,49,32,8,2,14,22,122,122,New Orleans Pelicans,42.5,96,4,20.5,19,24.5,8.5,32.5,41,30,12,5,12,26.5,108,114
201610290MIL,Brooklyn Nets,40,90.5,13,39,19.5,24,13,31.5,44.5,22.5,10,4.5,17,20.5,112.5,108,Milwaukee Bucks,40,90,5.5,19,17.5,22,9,36,45,24,9,5,11,22.5,103,110
201610280DAL,Houston Rockets,38.5,78,11,30.5,22,29,7.5,32.5,40,25,8,1,16,22.5,110,106,Dallas Mavericks,35,80,8,29,20,24,6,28,34,13,11,2,9,21,98,98
201610290PHI,Atlanta Hawks,42,85,5,20,15,23,6,41,47,31,11,7,12,14,104,104,Philadelphia 76ers,32,82,6,21,14.5,20,4.5,36.5,41,18.5,7,7.5,16.5,21,84.5,72
201610290CHO,Boston Celtics,38.5,78.5,11.5,27,13,20.5,3.5,35.5,39,23.5,5,6,12,25.5,101.5,104,Charlotte Hornets,32,79,9,32,25,33,6,32,38,22,8,6,8,17,98,98
201610290CLE,Orlando Magic,35.5,89.5,8,27,11.5,19,13.5,33.5,47,20.5,7,4,14.5,18,90.5,99,Cleveland Cavaliers,40.5,91,12,36,18,24.5,12,33.5,45.5,24,10,5.5,11.5,24.5,111,105
201610290CHI,Indiana Pacers,40,93,7,21,10.5,14.5,11,30,41,28,7.5,6.5,13,19,97.5,101,Chicago Bulls,40.5,89,10,23,20.5,25.5,15.5,35.5,51,29.5,6.5,3.5,12,17.5,111.5,118
