Team,GAME_ID,AWAY_TEAM,MP,A_FG,A_FGA,FG%,A_3P,A_3PA,3P%,A_FT,A_FTA,FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_PTS,HOME_TEAM,MP,H_FG,H_FGA,FG%,H_3P,3H_PA,3P%,H_FT,H_FTA,FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_PTS,WINNER
10/29/2013,201310290IND,ORL,240,36,93,0.387,9,19,0.474,6,10,0.6,13,26,39,17,10,6,17,26,87,IND,240,34,71,0.479,7,17,0.412,22,32,0.688,10,34,44,17,4,18,20,13,97,
10/29/2013,201310290LAL,LAC,240,41,83,0.494,8,21,0.381,13,23,0.565,10,30,40,27,11,4,16,21,103,LAL,240,42,93,0.452,14,29,0.483,18,28,0.643,18,34,52,23,8,6,19,23,116,
10/29/2013,201310290MIA,CHI,240,35,83,0.422,7,26,0.269,18,23,0.783,11,30,41,23,11,4,18,27,95,MIA,240,37,72,0.514,11,20,0.55,22,29,0.759,5,35,40,26,10,7,18,21,107,
10/30/2013,201310300CLE,BRK,240,33,82,0.402,9,24,0.375,19,24,0.792,9,28,37,24,8,8,15,27,94,CLE,240,35,84,0.417,5,15,0.333,23,34,0.676,16,32,48,21,7,3,11,20,98,
10/30/2013,201310300DAL,ATL,240,37,76,0.487,8,24,0.333,27,35,0.771,5,28,33,27,16,5,17,20,109,DAL,240,44,77,0.571,11,24,0.458,19,24,0.792,7,35,42,31,7,2,20,22,118,
10/30/2013,201310300DET,WAS,240,34,78,0.436,10,25,0.4,24,32,0.75,13,25,38,23,5,3,16,30,102,DET,240,39,78,0.5,9,24,0.375,26,33,0.788,12,32,44,24,6,4,18,27,113,
10/30/2013,201310300GSW,LAL,240,35,89,0.393,8,18,0.444,16,21,0.762,9,30,39,19,5,4,16,22,94,GSW,240,46,86,0.535,15,27,0.556,18,23,0.783,7,41,48,34,8,9,15,22,125,
10/30/2013,201310300HOU,CHA,240,33,90,0.367,4,10,0.4,13,20,0.65,12,25,37,14,8,6,7,21,83,HOU,240,36,76,0.474,9,25,0.36,15,24,0.625,14,40,54,17,4,6,18,16,96,
10/30/2013,201310300MIN,ORL,265,47,100,0.47,10,27,0.37,11,18,0.611,14,40,54,21,7,6,18,29,115,MIN,265,42,100,0.42,8,25,0.32,28,34,0.824,14,35,49,27,7,3,14,19,120,
10/30/2013,201310300NOP,IND,240,30,70,0.429,10,23,0.435,25,30,0.833,6,31,37,19,5,12,16,18,95,NOP,240,34,85,0.4,5,11,0.455,17,21,0.81,15,28,43,17,7,5,15,29,90,
