GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201603180HOU,MIN,37.4057971,81,5.231884058,15.72463768,21.66666667,27.20289855,10.10144928,31.53623188,41.63768116,22.86956522,7.710144928,4.652173913,14.30434783,21.1884058,101.7101449,111,HOU,37.27536232,83,10.71014493,31.07246377,21.01449275,30.08695652,11.15942029,31.60869565,42.76811594,21.94202899,10.17391304,5.101449275,15.43478261,22.07246377,106.2753623,116
201603180LAL,PHO,36.97101449,85.13043478,8.942028986,25.46376812,17.36231884,23.08695652,11.02898551,32.91304348,43.94202899,20.36231884,7.739130435,3.797101449,16.10144928,22.63768116,100.2463768,95,LAL,35.28985507,84.55072464,7.884057971,24.79710145,19.27536232,24.95652174,10.60869565,32.33333333,42.94202899,18.24637681,7.101449275,4.246376812,12.94202899,20.27536232,97.73913043,90
201603180NOP,POR,38.5,85.65714286,10.44285714,28.4,16.87142857,22.6,11.48571429,34.1,45.58571429,21.14285714,6.485714286,4.357142857,13.98571429,22.04285714,104.3142857,117,NOP,38.66176471,86.54411765,8.632352941,24.33823529,17.23529412,22.08823529,9.455882353,33.07352941,42.52941176,21.91176471,7.808823529,4.617647059,12.66176471,20.89705882,103.1911765,112
201603180ORL,CLE,38.47058824,83.89705882,10.35294118,28.97058824,16.33823529,22.04411765,10.82352941,33.94117647,44.76470588,22.26470588,6.764705882,3.661764706,12.82352941,20.39705882,103.6323529,109,ORL,38.83823529,86.55882353,7.852941176,22.47058824,15.33823529,20.04411765,10.33823529,33.44117647,43.77941176,23.22058824,8.176470588,4.955882353,13.91176471,20.64705882,100.8676471,103
201603180PHI,OKC,41.15942029,86.43478261,8.043478261,22.97101449,19.73913043,25.02898551,12.92753623,35.69565217,48.62318841,22.88405797,7.15942029,6.115942029,15.33333333,20.71014493,110.1014493,111,PHI,36.26086957,83.13043478,8.739130435,26.14492754,15.79710145,22.89855072,9.449275362,31.66666667,41.11594203,21,8.492753623,6.202898551,16.34782609,22.01449275,97.05797101,97
201603180TOR,BOS,39.4057971,89.71014493,8.869565217,26.60869565,18.13043478,22.94202899,11.65217391,33.2173913,44.86956522,24.33333333,9.391304348,4.246376812,13.56521739,22.2173913,105.8115942,91,TOR,36.60294118,81.05882353,8.529411765,23.11764706,21.25,27.04411765,10.13235294,33.05882353,43.19117647,18.45588235,7.882352941,5.279411765,12.25,19.89705882,102.9852941,105
201603190ATL,HOU,37.21428571,83.01428571,10.62857143,30.95714286,21.08571429,30.1,11.21428571,31.67142857,42.88571429,21.84285714,10.18571429,5.071428571,15.45714286,22,106.1428571,97,ATL,38.58571429,83.98571429,9.714285714,27.74285714,15.7,20.05714286,8.328571429,33.51428571,41.84285714,25.55714286,9.328571429,5.685714286,14.6,19.08571429,102.5857143,109
201603190CHI,UTA,35.94202899,80.49275362,8.202898551,23.05797101,17.76811594,23.69565217,10.89855072,32.1884058,43.08695652,18.7826087,7.753623188,5.188405797,14.20289855,20.7826087,97.85507246,85,CHI,38.73529412,88,7.632352941,20.75,16.54411765,21.02941176,11.19117647,36.01470588,47.20588235,22.64705882,5.897058824,5.720588235,13.64705882,19.16176471,101.6470588,92
201603190CHO,DEN,37.88571429,85.52857143,7.928571429,23.37142857,18.71428571,24.35714286,11.52857143,33.2,44.72857143,22.51428571,7.514285714,4.542857143,14.18571429,21.15714286,102.4142857,101,CHO,36.88405797,84.49275362,10.55072464,29.47826087,18.82608696,23.94202899,9.101449275,34.82608696,43.92753623,21.33333333,7.028985507,5.31884058,12.04347826,18.49275362,103.1449275,93
201603190DET,BRK,38.27536232,83.79710145,6.304347826,17.79710145,15.43478261,20.2173913,10.23188406,32,42.23188406,22.13043478,7.420289855,4.028985507,14.28985507,17.97101449,98.28985507,103,DET,38.32857143,86.95714286,8.957142857,26.11428571,16.65714286,25.4,12.57142857,33.54285714,46.11428571,19.21428571,7.2,3.6,13,19.44285714,102.2714286,115
