Team,GAME_ID,AWAY_TEAM,MP,A_FG,A_FGA,FG%,A_3P,A_3PA,3P%,A_FT,A_FTA,FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_PTS,HOME_TEAM,MP,H_FG,H_FGA,FG%,H_3P,3H_PA,3P%,H_FT,H_FTA,FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_PTS,WINNER
12/3/2014,201412030HOU,MEM,240,39,76,0.513,2,13,0.154,16,27,0.593,10,29,39,26,9,7,20,15,96,HOU,240,41,93,0.441,10,28,0.357,13,20,0.65,23,29,52,22,14,8,19,26,105,
12/3/2014,201412030LAC,ORL,240,33,79,0.418,7,20,0.35,13,25,0.52,6,28,34,21,11,2,16,24,86,LAC,240,42,78,0.538,12,31,0.387,18,25,0.72,6,38,44,32,11,6,17,17,114,
12/3/2014,201412030MIA,ATL,240,40,74,0.541,12,25,0.48,20,23,0.87,5,25,30,25,9,1,16,24,112,MIA,240,36,64,0.563,6,16,0.375,24,32,0.75,4,26,30,25,10,5,18,24,102,
12/3/2014,201412030MIL,DAL,240,42,92,0.457,8,27,0.296,15,22,0.682,17,29,46,20,8,6,16,23,107,MIL,240,38,73,0.521,7,11,0.636,22,32,0.688,8,31,39,24,11,2,18,24,105,
12/3/2014,201412030MIN,PHI,240,32,82,0.39,5,24,0.208,16,25,0.64,13,36,49,15,12,7,18,17,85,MIN,240,30,84,0.357,3,17,0.176,14,17,0.824,11,39,50,17,8,5,18,21,77,
12/3/2014,201412030UTA,TOR,240,45,79,0.57,12,21,0.571,21,24,0.875,8,29,37,15,7,3,9,16,123,UTA,240,42,87,0.483,8,28,0.286,12,15,0.8,13,22,35,21,7,5,8,15,104,
12/3/2014,201412030WAS,LAL,240,33,85,0.388,12,29,0.414,17,21,0.81,9,34,43,16,8,6,13,20,95,WAS,240,45,93,0.484,6,19,0.316,15,19,0.789,12,41,53,33,6,3,11,15,111,
12/4/2014,201412040GSW,NOP,240,37,89,0.416,3,15,0.2,8,13,0.615,10,37,47,23,8,4,17,15,85,GSW,240,47,100,0.47,10,22,0.455,8,17,0.471,18,38,56,31,11,8,9,8,112,
12/4/2014,201412040NYK,CLE,240,32,70,0.457,5,18,0.278,21,26,0.808,6,27,33,19,8,1,17,16,90,NYK,240,37,88,0.42,8,26,0.308,5,6,0.833,17,30,47,26,11,3,21,25,87,
12/4/2014,201412040POR,IND,240,36,91,0.396,5,18,0.278,5,8,0.625,11,40,51,19,5,5,17,19,82,POR,240,33,83,0.398,4,21,0.19,18,23,0.783,5,43,48,20,9,5,12,16,88,
12/5/2014,201412050BOS,LAL,240,38,92,0.413,6,16,0.375,14,19,0.737,7,31,38,14,2,4,12,18,96,BOS,240,46,90,0.511,8,20,0.4,13,22,0.591,10,44,54,29,6,2,16,19,113,
12/5/2014,201412050BRK,ATL,240,35,81,0.432,13,34,0.382,15,24,0.625,6,40,46,22,12,4,10,22,98,BRK,240,30,80,0.375,3,18,0.167,12,19,0.632,9,42,51,16,4,2,17,21,75,
12/5/2014,201412050CHO,NYK,240,37,79,0.468,10,22,0.455,18,22,0.818,4,30,34,23,5,4,6,21,102,CHO,240,42,88,0.477,4,18,0.222,15,18,0.833,10,31,41,19,2,7,7,20,103,
12/5/2014,201412050DAL,PHO,240,45,80,0.563,13,26,0.5,15,17,0.882,7,34,41,27,5,3,13,25,118,DAL,240,40,88,0.455,4,19,0.211,22,30,0.733,16,28,44,13,5,1,11,16,106,
12/5/2014,201412050MEM,SAS,240,40,84,0.476,14,25,0.56,13,16,0.813,12,32,44,25,5,8,14,22,107,MEM,240,37,80,0.463,5,12,0.417,22,26,0.846,7,30,37,19,4,7,10,19,101,
12/5/2014,201412050MIL,MIA,240,30,68,0.441,7,18,0.389,18,27,0.667,3,17,20,21,16,3,18,22,85,MIL,240,39,69,0.565,9,16,0.563,22,26,0.846,12,33,45,21,11,3,24,26,109,
