0,80,43,0.650406504,50,73,-0.026733672
1,84,39,0.682926829,43,80,0.063675326
2,71,52,0.577235772,52,71,0.059496866
3,78,45,0.634146341,47,76,0.09199075
4,83,40,0.674796748,50,73,0.099025096
5,83,40,0.674796748,50,73,0.06421521
6,76,47,0.617886179,56,67,0.057806943
7,71,52,0.577235772,52,71,-0.029958525
8,79,44,0.642276423,45,78,0.045911658
9,75,48,0.609756098,56,67,0.053319956
,780,450,63.41463415,,,0.047874961
