0,83,44,0.653543307
1,83,44,0.653543307
2,83,44,0.653543307
3,76,51,0.598425197
4,79,48,0.622047244
5,83,44,0.653543307
6,81,46,0.637795276
7,85,42,0.669291339
8,80,47,0.62992126
9,79,48,0.622047244
,812,458,63.93700787
-,,,
0,212,166,0.560846561
1,228,150,0.603174603
2,208,170,0.55026455
3,235,143,0.621693122
4,226,152,0.597883598
5,239,139,0.632275132
6,238,140,0.62962963
7,216,162,0.571428571
8,227,151,0.600529101
9,228,150,0.603174603
,2257,1523,59.70899471
-,,,
0,214,164,0.5661375661375662
1,218,160,0.5767195767195767
2,201,177,0.5317460317460317
3,227,151,0.6005291005291006
0,207,171,0.5476190476190477
