0,87,36,0.707317073,458.7500565,1230,0.372967526,469.0909091,1230,0.381374723
1,79,44,0.642276423,144.5743872,1230,0.117540152,335.4545455,1230,0.272727273
2,78,45,0.634146341,98.69503517,1230,0.080239866,182.7272727,1230,0.148558758
3,83,40,0.674796748,260.6556374,1230,0.211915152,-27.27272727,1230,-0.022172949
4,82,41,0.666666667,403.6831825,1230,0.328197709,68.18181818,1230,0.055432373
5,93,30,0.756097561,421.1209766,1230,0.342374778,87.27272727,1230,0.070953437
6,84,39,0.682926829,89.6884767,1230,0.072917461,-122.7272727,1230,-0.099778271
7,62,61,0.504065041,-134.0412976,1230,-0.108976665,87.27272727,1230,0.070953437
8,81,42,0.658536585,62.56867965,1230,0.050868845,-46.36363636,1230,-0.037694013
9,81,42,0.658536585,158.0184522,1230,0.128470286,10.90909091,1230,0.00886918
0,88,35,0.715447154,513.4246597,1230,0.417418422,430.9090909,1230,0.350332594
1,83,40,0.674796748,230.3124825,1230,0.187245921,163.6363636,1230,0.133037694
2,71,52,0.577235772,237.9548699,1230,0.193459244,87.27272727,1230,0.070953437
3,82,41,0.666666667,294.583561,1230,0.23949883,-180,1230,-0.146341463
4,85,38,0.691056911,312.8080422,1230,0.254315481,-8.181818182,1230,-0.006651885
5,92,31,0.74796748,353.6209766,1230,0.287496729,-65.45454545,1230,-0.053215078
6,82,41,0.666666667,50.48482953,1230,0.041044577,-65.45454545,1230,-0.053215078
7,64,59,0.520325203,249.7977674,1230,0.203087616,201.8181818,1230,0.164079823
8,80,43,0.650406504,51.42582251,1230,0.041809612,144.5454545,1230,0.11751663
9,78,45,0.634146341,100.1148499,1230,0.081394187,-141.8181818,1230,-0.115299335
0,87,36,0.707317073,458.7500565,1230,0.372967526,602.7272727,1230,0.490022173
1,82,41,0.666666667,216.7410539,1230,0.176212239,49.09090909,1230,0.039911308
2,78,45,0.634146341,74.20819307,1230,0.060331864,106.3636364,1230,0.086474501
3,81,42,0.658536585,200.6556374,1230,0.163134665,-180,1230,-0.146341463
4,85,38,0.691056911,184.2791356,1230,0.149820435,-84.54545455,1230,-0.068736142
5,88,35,0.715447154,208.3837971,1230,0.169417721,-27.27272727,1230,-0.022172949
6,77,46,0.62601626,9.813031554,1230,0.007978074,-46.36363636,1230,-0.037694013
7,63,60,0.512195122,142.5847348,1230,0.115922549,163.6363636,1230,0.133037694
8,80,43,0.650406504,51.42582251,1230,0.041809612,49.09090909,1230,0.039911308
9,81,42,0.658536585,356.1123405,1230,0.289522228,-122.7272727,1230,-0.099778271
0,87,36,0.707317073,485.226247,1230,0.394492884,564.5454545,1230,0.458980044
1,80,43,0.650406504,215.0300149,1230,0.17482115,201.8181818,1230,0.164079823
2,74,49,0.601626016,242.4835014,1230,0.197141058,201.8181818,1230,0.164079823
3,76,47,0.617886179,193.4681764,1230,0.1572912,-332.7272727,1230,-0.270509978
4,86,37,0.699186992,203.4192322,1230,0.16538149,87.27272727,1230,0.070953437
5,91,32,0.739837398,256.4799509,1230,0.208520285,30,1230,0.024390244
6,84,39,0.682926829,99.1884767,1230,0.080641038,-27.27272727,1230,-0.022172949
7,66,57,0.536585366,-81.14676818,1230,-0.065972982,-27.27272727,1230,-0.022172949
8,79,44,0.642276423,23.42582251,1230,0.019045384,-84.54545455,1230,-0.068736142
9,72,51,0.585365854,8.966220739,1230,0.00728961,-46.36363636,1230,-0.037694013
0,88,35,0.715447154,513.226247,1230,0.417257111,392.7272727,1230,0.319290466
1,70,53,0.569105691,181.9482538,1230,0.14792541,182.7272727,1230,0.148558758
2,76,47,0.617886179,39.4128053,1230,0.032042931,106.3636364,1230,0.086474501
3,82,41,0.666666667,260.583561,1230,0.211856554,-141.8181818,1230,-0.115299335
4,75,48,0.609756098,6.472458653,1230,0.005262162,87.27272727,1230,0.070953437
5,79,44,0.642276423,235.8980727,1230,0.191787051,49.09090909,1230,0.039911308
6,85,38,0.691056911,114.1884767,1230,0.09283616,-27.27272727,1230,-0.022172949
7,63,60,0.512195122,-74.44274402,1230,-0.060522556,182.7272727,1230,0.148558758
8,81,42,0.658536585,65.59248918,1230,0.053327227,-27.27272727,1230,-0.022172949
9,83,40,0.674796748,182.9881492,1230,0.148770853,-65.45454545,1230,-0.053215078
0,89,34,0.723577236,528.1865644,1230,0.429419971,564.5454545,1230,0.458980044
1,80,43,0.650406504,237.3828932,1230,0.192994222,259.0909091,1230,0.210643016
2,81,42,0.658536585,154.2081931,1230,0.125372515,163.6363636,1230,0.133037694
3,83,40,0.674796748,320.583561,1230,0.260637041,-141.8181818,1230,-0.115299335
4,86,37,0.699186992,206.0508313,1230,0.167521001,-27.27272727,1230,-0.022172949
5,80,43,0.650406504,95.24025641,1230,0.077431103,10.90909091,1230,0.00886918
6,84,39,0.682926829,90.6884767,1230,0.073730469,-160.9090909,1230,-0.130820399
7,64,59,0.520325203,86.4083058,1230,0.070250655,106.3636364,1230,0.086474501
8,77,46,0.62601626,24.55029878,1230,0.019959593,-27.27272727,1230,-0.022172949
9,80,43,0.650406504,134.2398499,1230,0.109138089,-46.36363636,1230,-0.037694013
0,84,39,0.682926829,435.5243576,1230,0.354084844,583.6363636,1230,0.474501109
1,75,48,0.609756098,201.0347743,1230,0.163442906,182.7272727,1230,0.148558758
2,71,52,0.577235772,229.0865226,1230,0.186249205,68.18181818,1230,0.055432373
3,69,54,0.56097561,86.81354673,1230,0.070580119,-84.54545455,1230,-0.068736142
4,85,38,0.691056911,188.9747878,1230,0.153638039,49.09090909,1230,0.039911308
