Predicted Spread,Actual Spread,Spread Profit,Away ML,Home ML,ML Profit,Over/Under,Over/Under Profit
5,-14,0,105,-125,-10,233,9.090909091
4,35,0,450,-650,1.538461538,234,9.090909091
8,2,0,-190,160,16,210.5,9.090909091
10,30,0,225,-275,3.636363636,231,9.090909091
2,-7,0,280,-360,-10,209,9.090909091
4,13,0,240,-300,3.333333333,228,9.090909091
5,8,0,100,-120,8.333333333,203,9.090909091
0,-5,0,130,-150,13,218,9.090909091
16,16,0,1000,-2000,0.5,219,9.090909091
-1,-4,0,-110,-110,9.090909091,212,
7,11,0,190,-240,4.166666667,228,
2,-1,0,130,-150,-10,216,
2,6,0,140,-160,6.25,236,
0,2,0,150,-180,-10,212,9.090909091
-4,-13,0,135,-155,13.5,217,9.090909091
7,11,0,600,-900,1.111111111,232,9.090909091
6,19,0,-125,105,10.5,225.5,9.090909091
-1,-22,0,-140,120,7.142857143,219.5,9.090909091
4,15,0,-130,110,11,230,
4,-5,0,-120,100,-10,222.5,9.090909091
-1,-9,0,-280,230,3.571428571,219.5,9.090909091
1,-6,0,125,-145,-10,216,9.090909091
8,4,0,220,-270,3.703703704,237,9.090909091
5,2,0,-160,140,14,205.5,
0,7,0,-105,-115,-10,215.5,
8,9,0,550,-800,1.25,230.5,9.090909091
-3,-7,0,-155,135,6.451612903,211.5,9.090909091
-2,-9,0,-550,400,1.818181818,233.5,9.090909091
3,15,0,400,-550,1.818181818,218.5,
3,-23,0,220,-270,-10,238.5,
3,18,0,-210,175,17.5,214.5,
0,-7,0,-500,375,2,211,
6,11,0,180,-220,4.545454545,225.5,
0,-15,0,-250,200,4,223.5,
4,-2,0,350,-450,-10,209.5,9.090909091
3,-8,0,-135,115,-10,209.5,9.090909091
-3,9,0,-170,145,-10,216.5,
3,1,0,190,-240,4.166666667,5115,9.090909091
4,11,0,-135,115,11.5,234.5,9.090909091
3,8,0,220,-270,3.703703704,210,9.090909091
4,1,0,170,-200,5,212.5,9.090909091
9,15,0,105,-125,8,216,
10,16,0,300,-400,2.5,226.5,9.090909091
0,2,0,-190,160,-10,231.5,9.090909091
5,6,0,170,-200,5,210,9.090909091
1,-6,0,145,-170,-10,225.5,
12,20,0,375,-500,2,228,9.090909091
-3,-15,0,-250,200,4,240,9.090909091
1,7,0,-170,145,14.5,208,
11,16,0,1000,-2000,0.5,218.5,9.090909091
-3,-7,0,140,-160,14,220,9.090909091
-1,-10,0,120,-140,12,221,
1,12,0,125,-145,6.896551724,209,
6,1,0,550,-800,1.25,239,9.090909091
0,-26,0,142,-165,14.2,207.5,
7,6,0,110,-130,7.692307692,214,
2,-5,0,-140,120,-10,211,
-2,5,0,-170,145,-10,232,9.090909091
0,-8,0,-170,145,5.882352941,205.5,
3,-10,0,120,-140,-10,223,
6,7,0,145,-170,5.882352941,222,
9,17,0,300,-400,2.5,208,9.090909091
-1,5,0,-140,120,-10,220,9.090909091
4,-16,0,400,-550,-10,230,9.090909091
1,8,0,280,-360,2.777777778,220.5,
-2,24,0,-450,350,-10,218.5,9.090909091
4,-10,0,150,-180,-10,212.5,
7,7,0,650,-1000,1,234,9.090909091
5,29,0,800,-1400,0.714285714,210,9.090909091
2,-13,0,-135,115,-10,218.5,9.090909091
9,50,0,-220,180,18,215.5,
5,9,0,115,-135,7.407407407,228,
16,-3,0,400,-550,-10,217.5,9.090909091
2,7,0,-130,110,11,237.5,9.090909091
8,25,0,320,-420,2.380952381,213,9.090909091
0,5,0,-240,190,-10,220,9.090909091
0,20,0,-250,200,-10,211.5,
6,-2,0,400,-550,-10,222,
8,24,0,700,-1100,0.909090909,219.5,9.090909091
5,45,0,850,-1500,0.666666667,221,
-5,21,0,160,-190,-10,220,9.090909091
6,5,0,230,-280,3.571428571,219.5,9.090909091
0,7,0,115,-135,-10,214,9.090909091
-2,8,0,180,-220,-10,212,
-6,8,0,225,-275,-10,212,9.090909091
13,19,0,1000,-2000,0.5,223,
5,16,0,100,-120,8.333333333,223.5,
9,5,0,500,-700,1.428571429,227.5,9.090909091
9,6,0,125,-145,6.896551724,216.5,9.090909091
3,-11,0,220,-270,-10,220.5,9.090909091
3,-12,0,155,-185,-10,208.5,9.090909091
2,-8,0,-180,150,-10,221,9.090909091
-6,-39,0,-600,425,1.666666667,216.5,
8,-3,0,125,-145,-10,226,
1,3,0,-135,115,11.5,216.5,9.090909091
-3,20,0,750,-1200,-10,218.5,9.090909091
0,8,0,550,-800,-10,219,9.090909091
9,10,0,-110,-110,9.090909091,225,9.090909091
-4,13,0,-185,155,-10,222,
1,-10,0,-200,170,-10,217.5,9.090909091
-1,-16,0,-115,-105,8.695652174,228,9.090909091
8,-13,0,175,-210,-10,213,9.090909091
2,14,0,170,-200,5,213,9.090909091
-3,12,0,135,-155,-10,217,
1,-10,0,-125,105,-10,224,
-1,-8,0,-275,225,3.636363636,228,
8,5,0,-180,150,15,216,9.090909091
7,11,0,400,-550,1.818181818,211,
3,27,0,-180,150,15,203,9.090909091
3,10,0,135,-155,6.451612903,205,
11,6,0,200,-250,4,228.5,9.090909091
