GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
201811100MIA,145,-170,3,225.5
201811100NOP,375,-500,10,228
201811100SAC,-250,200,5.5,240
201811100SAS,-170,145,pk,208
201811100TOR,1000,-2000,14,218.5
201811110DEN,140,-160,2,220
201811110DET,120,-140,2,221
201811110HOU,125,-145,2.5,209
201811110LAL,550,-800,11.5,239
201811110NYK,142,-165,1.5,207.5
201811110POR,110,-130,2.5,214
201811120CHI,-140,120,1,211
201811120LAC,-170,145,2,232
201811120MEM,-170,145,2,205.5
201811120MIA,120,-140,1,223
201811120MIN,145,-170,2.5,222
201811120OKC,300,-400,8.5,208
201811120SAC,-140,120,3.5,220
201811120TOR,400,-550,8.5,230
201811120WAS,280,-360,8.5,220.5
201811130CLE,-450,350,6.5,218.5
201811130DEN,150,-180,4,212.5
201811130GSW,650,-1000,13,234
201811140BOS,800,-1400,12,210
201811140BRK,-135,115,1.5,218.5
201811140DAL,-220,180,3.5,215.5
201811140LAL,115,-135,1,228
201811140MIL,400,-550,9.5,217.5
201811140MIN,-130,110,1,237.5
201811140OKC,320,-420,9,213
201811140ORL,-240,190,6,220
201811140PHO,-250,200,5,211.5
201811140TOR,400,-550,10,222
201811140WAS,700,-1100,11,219.5
201811150DEN,850,-1500,12.5,221
201811150HOU,160,-190,pk,220
201811150LAC,230,-280,5,219.5
201811160BOS,115,-135,1.5,214
201811160IND,180,-220,4.5,212
201811160MEM,225,-275,6,212
201811160MIL,1000,-2000,13.5,223
201811160MIN,100,-120,1,223.5
201811160NOP,500,-700,10,227.5
201811160PHI,125,-145,2.5,216.5
201811160WAS,220,-270,6.5,220.5
201811170BOS,155,-185,4.5,208.5
201811170BRK,-180,150,6,221
201811170CHI,-600,425,9,216.5
201811170CHO,125,-145,2,226
201811170DAL,-135,115,3.5,216.5
201811170HOU,750,-1200,11.5,218.5
201811170IND,550,-800,12.5,219
201811170NOP,-110,-110,1,225
201811170ORL,-185,155,5,222
201811170PHO,-200,170,6.5,217.5
201811180MIA,-115,-105,1.5,228
201811180MIN,175,-210,3.5,213
201811180ORL,170,-200,4,213
201811180SAS,135,-155,1.5,217
201811180WAS,-125,105,1,224
201811190ATL,-275,225,7.5,228
201811190CHO,-180,150,1,216
201811190DET,400,-550,10,211
201811190IND,-180,150,1,203
201811190MEM,135,-155,3.5,205
201811190MIL,200,-250,5,228.5
201811190NOP,260,-330,7.5,225
201811190PHI,600,-900,12.5,220
201811190SAC,-200,170,2.5,223
201811200MIA,125,-145,3,215.5
201811200NYK,-300,240,7.5,222.5
201811200ORL,-330,260,6.5,222.5
201811200WAS,-110,-110,1,230
201811210ATL,-400,300,9.5,230
201811210BOS,1000,-2000,14,216.5
201811210CHI,-120,100,2,211.5
201811210CHO,142,-165,2.5,215.5
201811210CLE,-500,375,9,220
201811210DAL,180,-220,7,216.5
